Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",114.81,115.69,113.98,115.00,115.00,337100
"Apr 02, 2020",115.91,118.12,115.72,117.82,117.82,292600
"Apr 01, 2020",118.00,119.33,116.50,116.71,116.71,398100
"Mar 31, 2020",120.20,122.16,119.55,119.95,119.95,356600
"Mar 30, 2020",124.42,125.29,123.00,125.22,125.22,274400
"Mar 27, 2020",125.10,129.25,125.01,127.24,127.24,329700
"Mar 26, 2020",122.02,126.56,122.02,126.34,126.34,377300
"Mar 25, 2020",121.64,123.20,118.46,121.29,121.29,486900
"Mar 24, 2020",114.03,116.97,112.52,116.35,116.35,407400
"Mar 23, 2020",113.72,114.41,108.61,111.10,111.10,487900
"Mar 20, 2020",120.00,121.85,116.46,116.46,116.46,317000
"Mar 19, 2020",118.12,120.41,116.96,118.23,118.23,481000
"Mar 18, 2020",115.87,119.28,112.04,116.07,116.07,579800
"Mar 17, 2020",115.61,119.71,113.70,118.89,118.89,743300
"Mar 16, 2020",110.00,112.51,108.01,108.50,108.50,409400
"Mar 13, 2020",117.18,117.27,111.59,116.23,116.23,448700
"Mar 12, 2020",118.78,118.78,111.48,112.20,112.20,536300
"Mar 11, 2020",125.16,126.23,122.61,122.79,122.79,565500
"Mar 10, 2020",126.29,127.00,123.24,126.99,126.99,462100
"Mar 09, 2020",122.60,125.69,122.24,122.79,122.79,435200
"Mar 06, 2020",127.42,127.88,126.20,127.11,127.11,292200
"Mar 05, 2020",129.50,129.83,128.80,129.20,129.20,401900
"Mar 04, 2020",129.50,131.99,129.00,131.85,131.85,244600
"Mar 03, 2020",132.45,133.99,130.02,130.95,130.95,289000
"Mar 02, 2020",131.00,132.98,130.14,132.71,132.71,264200
"Feb 28, 2020",128.85,130.80,128.00,130.75,130.75,367900
"Feb 27, 2020",133.16,133.73,131.23,131.40,131.40,304700
"Feb 26, 2020",135.20,136.28,134.62,135.13,135.13,316800
"Feb 25, 2020",136.26,136.26,133.30,134.03,134.03,317700
"Feb 24, 2020",135.12,135.31,134.01,134.49,134.49,398800
"Feb 21, 2020",139.30,139.81,138.64,139.04,139.04,150600
"Feb 20, 2020",138.63,139.41,138.24,139.11,139.11,241000
"Feb 19, 2020",137.63,138.68,137.52,137.84,137.84,315200
"Feb 18, 2020",139.06,140.00,138.58,139.38,139.38,275800
"Feb 14, 2020",140.60,140.99,139.76,140.15,140.15,139200
"Feb 13, 2020",141.00,141.46,140.78,141.10,141.10,135900
"Feb 12, 2020",142.00,142.66,141.95,142.43,142.43,99100
"Feb 11, 2020",141.99,142.34,141.70,142.11,142.11,151200
"Feb 10, 2020",140.93,141.90,140.71,141.28,141.28,135800
"Feb 07, 2020",142.99,143.16,142.26,142.34,142.34,98000
"Feb 06, 2020",144.00,144.39,143.06,143.85,143.85,204600
"Feb 05, 2020",142.20,142.20,141.46,141.72,141.72,104100
"Feb 04, 2020",140.74,141.63,140.53,140.95,140.95,208100
"Feb 03, 2020",138.68,139.88,138.55,138.92,138.92,160600
"Jan 31, 2020",140.05,140.60,138.51,138.84,138.84,281600
"Jan 30, 2020",140.50,141.19,139.73,141.08,141.08,111400
"Jan 29, 2020",142.58,142.58,141.55,141.55,141.55,116900
"Jan 28, 2020",141.67,142.59,141.67,142.58,142.58,234500
"Jan 27, 2020",141.44,141.54,140.68,141.06,141.06,186800
