Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",509.50,515.49,468.39,480.01,480.01,22514700
"Apr 02, 2020",481.03,494.26,446.40,454.47,454.47,19858400
"Apr 01, 2020",504.00,513.95,475.10,481.56,481.56,13353200
"Mar 31, 2020",501.25,542.96,497.00,524.00,524.00,17771500
"Mar 30, 2020",510.26,516.65,491.23,502.13,502.13,11998100
"Mar 27, 2020",505.00,525.80,494.03,514.36,514.36,14377400
"Mar 26, 2020",547.39,560.00,512.25,528.16,528.16,17380700
"Mar 25, 2020",545.25,557.00,511.11,539.25,539.25,21222700
"Mar 24, 2020",477.30,513.69,474.00,505.00,505.00,22895200
"Mar 23, 2020",433.60,442.00,410.50,434.29,434.29,16454500
"Mar 20, 2020",438.20,477.00,425.79,427.53,427.53,28285500
"Mar 19, 2020",374.70,452.00,358.46,427.64,427.64,30195500
"Mar 18, 2020",389.00,404.86,350.51,361.22,361.22,23786200
"Mar 17, 2020",440.01,471.85,396.00,430.20,430.20,23994600
"Mar 16, 2020",469.50,494.87,442.17,445.07,445.07,20489500
"Mar 13, 2020",595.00,607.57,502.00,546.62,546.62,22640300
"Mar 12, 2020",580.89,594.50,546.25,560.55,560.55,18909100
"Mar 11, 2020",640.20,653.58,613.00,634.23,634.23,13322500
"Mar 10, 2020",659.43,668.00,608.00,645.33,645.33,15594400
"Mar 09, 2020",605.39,663.00,605.00,608.00,608.00,17073700
"Mar 06, 2020",690.00,707.00,684.27,703.48,703.48,12662900
"Mar 05, 2020",723.77,745.75,718.07,724.54,724.54,10852700
"Mar 04, 2020",763.96,766.52,724.73,749.50,749.50,15049000
"Mar 03, 2020",805.00,806.98,716.11,745.51,745.51,25784000
"Mar 02, 2020",711.26,743.69,686.67,743.62,743.62,20195000
"Feb 28, 2020",629.70,690.52,611.52,667.99,667.99,24564200
"Feb 27, 2020",730.00,739.77,669.00,679.00,679.00,24277200
"Feb 26, 2020",782.50,813.31,776.11,778.80,778.80,14085500
"Feb 25, 2020",849.00,856.60,787.00,799.91,799.91,17290500
"Feb 24, 2020",839.00,863.50,822.20,833.79,833.79,15192200
"Feb 21, 2020",906.98,913.06,880.45,901.00,901.00,14314800
"Feb 20, 2020",911.95,912.00,859.94,899.41,899.41,17634900
"Feb 19, 2020",923.50,944.78,901.02,917.42,917.42,25423000
"Feb 18, 2020",841.60,860.00,832.36,858.40,858.40,16381700
"Feb 14, 2020",787.22,812.97,785.50,800.03,800.03,15693700
"Feb 13, 2020",741.84,818.00,735.00,804.00,804.00,26289300
"Feb 12, 2020",777.87,789.75,763.37,767.29,767.29,12022500
"Feb 11, 2020",768.79,783.51,758.00,774.38,774.38,11697500
"Feb 10, 2020",800.00,819.99,752.40,771.28,771.28,24689200
"Feb 07, 2020",730.55,769.75,730.00,748.07,748.07,17063500
"Feb 06, 2020",699.92,795.83,687.00,748.96,748.96,39880800
"Feb 05, 2020",823.26,845.98,704.11,734.70,734.70,48423800
"Feb 04, 2020",882.96,968.99,833.88,887.06,887.06,60938800
"Feb 03, 2020",673.69,786.14,673.52,780.00,780.00,47233500
"Jan 31, 2020",640.00,653.00,632.52,650.57,650.57,15719300
"Jan 30, 2020",632.42,650.88,618.00,640.81,640.81,29005700
"Jan 29, 2020",575.69,589.80,567.43,580.99,580.99,17801500
"Jan 28, 2020",568.49,576.81,558.08,566.90,566.90,11788500
"Jan 27, 2020",541.99,564.44,539.28,558.02,558.02,13608100
"Jan 24, 2020",570.63,573.86,554.26,564.82,564.82,14353600
"Jan 23, 2020",564.25,582.00,555.60,572.20,572.20,19651000
"Jan 22, 2020",571.89,594.50,559.10,569.56,569.56,31369000
"Jan 21, 2020",530.25,548.58,528.41,547.20,547.20,17803500
"Jan 17, 2020",507.61,515.67,503.16,510.50,510.50,13629100
"Jan 16, 2020",493.75,514.46,492.17,513.49,513.49,21736700
"Jan 15, 2020",529.76,537.84,516.79,518.50,518.50,17368800
"Jan 14, 2020",544.26,547.41,524.90,537.92,537.92,28996200
"Jan 13, 2020",493.50,525.63,492.00,524.86,524.86,26517600
