Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",48.70,49.77,48.12,48.88,48.88,3672300
"Apr 02, 2020",48.19,50.84,47.80,49.12,49.12,3393000
"Apr 01, 2020",51.12,51.74,47.94,48.68,48.68,3775200
"Mar 31, 2020",59.06,59.60,53.74,54.08,54.08,3254500
"Mar 30, 2020",57.83,60.41,57.05,59.75,59.75,2829700
"Mar 27, 2020",57.87,59.45,57.02,57.79,57.79,2568800
"Mar 26, 2020",58.09,62.44,57.64,61.93,61.93,3228500
"Mar 25, 2020",53.16,60.39,52.02,58.05,58.05,3709000
"Mar 24, 2020",48.96,52.97,48.18,52.43,52.43,3026400
"Mar 23, 2020",50.67,51.94,45.07,45.99,45.99,4546900
"Mar 20, 2020",57.56,58.18,51.59,52.78,52.78,4461900
"Mar 19, 2020",54.79,58.54,53.05,57.08,57.08,5305600
"Mar 18, 2020",55.72,57.57,52.25,57.30,57.30,4013900
"Mar 17, 2020",56.59,62.70,54.45,60.68,60.68,4618100
"Mar 16, 2020",53.77,58.08,51.25,55.72,55.72,4363200
"Mar 13, 2020",58.10,59.63,54.95,59.54,59.54,3136300
"Mar 12, 2020",59.00,60.02,53.19,55.35,55.35,4128800
"Mar 11, 2020",63.26,64.68,62.18,62.72,62.72,4547900
"Mar 10, 2020",64.52,65.23,60.87,65.16,65.16,3563200
"Mar 09, 2020",65.09,65.45,62.02,62.39,62.39,3356700
"Mar 09, 2020",0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend
"Mar 06, 2020",69.47,71.68,68.68,70.13,69.65,3433000
"Mar 05, 2020",73.07,73.07,70.54,71.57,71.08,3251100
"Mar 04, 2020",72.36,74.40,70.79,74.31,73.80,3392500
"Mar 03, 2020",74.87,76.14,70.80,71.51,71.02,5683200
"Mar 02, 2020",72.50,74.76,70.76,74.65,74.14,5197200
"Feb 28, 2020",71.09,73.11,70.00,72.00,71.51,7248400
"Feb 27, 2020",74.91,76.75,73.20,73.20,72.70,4158300
"Feb 26, 2020",77.60,78.83,76.37,76.39,75.87,3554500
"Feb 25, 2020",82.18,82.31,77.04,77.24,76.71,3876200
"Feb 24, 2020",80.75,82.60,80.60,81.83,81.27,2964700
"Feb 21, 2020",83.51,84.11,82.87,83.72,83.15,2529500
"Feb 20, 2020",83.45,84.10,82.60,83.99,83.42,2701300
"Feb 19, 2020",82.98,83.76,82.67,83.40,82.83,2323400
"Feb 18, 2020",83.30,83.77,82.48,82.67,82.10,3911600
"Feb 14, 2020",84.28,84.40,83.10,83.66,83.09,1812200
"Feb 13, 2020",83.53,84.26,83.16,84.05,83.47,1672900
"Feb 12, 2020",83.58,84.36,83.24,83.93,83.36,2233100
"Feb 11, 2020",83.00,83.55,82.70,82.96,82.39,2011600
"Feb 10, 2020",82.83,83.61,82.63,83.33,82.76,2011000
"Feb 07, 2020",83.35,84.10,82.87,82.96,82.39,1954700
"Feb 06, 2020",84.94,85.33,84.01,84.08,83.50,2328400
"Feb 05, 2020",84.37,85.12,83.83,84.60,84.02,2324200
"Feb 04, 2020",84.11,84.93,83.86,83.95,83.38,3143800
"Feb 03, 2020",83.30,84.55,82.86,82.91,82.34,3163500
"Jan 31, 2020",84.13,84.24,82.85,82.97,82.40,3498500
"Jan 30, 2020",83.96,84.61,83.26,84.56,83.98,4023900
"Jan 29, 2020",83.91,84.40,83.66,84.06,83.48,4054000
"Jan 28, 2020",82.97,83.79,82.29,83.63,83.06,4187400
"Jan 27, 2020",82.79,83.82,82.24,82.51,81.95,4136800
"Jan 24, 2020",85.76,86.13,84.08,84.53,83.95,4766300
"Jan 23, 2020",87.80,88.75,84.88,85.41,84.83,9031700
"Jan 22, 2020",94.61,95.15,94.26,94.57,93.92,2245600
"Jan 21, 2020",94.07,94.98,93.84,94.63,93.98,2661000
"Jan 17, 2020",94.65,94.77,93.45,94.27,93.62,4608100
"Jan 16, 2020",96.40,96.63,95.00,95.13,94.48,3285300
"Jan 15, 2020",96.44,96.89,95.27,95.71,95.05,1491100
"Jan 14, 2020",96.00,97.32,95.75,96.53,95.87,1704100
"Jan 13, 2020",95.32,96.22,95.20,95.93,95.27,1992600
"Jan 10, 2020",96.18,96.42,94.91,95.06,94.41,2499800
"Jan 09, 2020",97.14,97.34,95.48,95.78,95.12,2582000
"Jan 08, 2020",98.00,98.18,96.81,97.04,96.38,2980000
"Jan 07, 2020",99.17,99.97,98.56,98.72,98.04,1766100
"Jan 06, 2020",99.00,99.43,98.60,99.21,98.53,1967600
"Jan 03, 2020",98.90,99.94,98.76,99.60,98.92,1966200
"Jan 02, 2020",99.67,100.25,99.48,100.23,99.54,2555100
"Dec 31, 2019",99.36,99.77,99.13,99.66,98.98,1694100
"Dec 30, 2019",99.86,100.23,99.32,99.56,98.88,1694600
"Dec 27, 2019",100.00,100.19,99.64,99.96,99.28,1308600
"Dec 26, 2019",98.90,99.42,98.80,99.40,98.72,1179600
"Dec 24, 2019",98.55,99.14,98.35,98.90,98.22,678900
"Dec 23, 2019",97.55,98.44,97.23,98.35,97.68,1831600
"Dec 20, 2019",97.83,98.04,96.77,97.24,96.57,4825300
"Dec 19, 2019",96.50,96.97,96.20,96.90,96.24,2029400
"Dec 18, 2019",95.22,96.52,95.13,96.50,95.84,2170600
"Dec 17, 2019",94.22,95.20,93.85,95.02,94.37,2213100
"Dec 16, 2019",93.73,94.51,93.08,94.04,93.40,1891700
"Dec 13, 2019",92.94,93.40,91.93,93.15,92.51,1758100
