Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",67.95,68.69,66.75,67.62,67.62,4720800
"Apr 02, 2020",64.78,68.69,64.71,68.17,68.17,5676700
"Apr 01, 2020",64.75,65.85,64.09,65.55,65.55,4247700
"Mar 31, 2020",66.01,66.49,64.96,66.36,66.36,5784400
"Mar 30, 2020",65.99,66.93,64.97,66.58,66.58,4950500
"Mar 27, 2020",64.03,66.63,63.36,65.26,65.26,6366500
"Mar 26, 2020",60.36,64.34,60.19,63.82,63.82,9053300
"Mar 25, 2020",60.76,62.22,59.01,59.89,59.89,10375500
"Mar 24, 2020",61.11,65.88,59.61,61.18,61.18,9887200
"Mar 23, 2020",62.09,63.47,58.49,60.47,60.47,8306800
"Mar 20, 2020",66.74,66.85,61.39,62.08,62.08,9168300
"Mar 19, 2020",67.98,68.99,65.06,66.65,66.65,8926800
"Mar 18, 2020",67.80,72.14,65.35,67.69,67.69,9189300
"Mar 17, 2020",64.19,70.43,63.31,70.20,70.20,9389100
"Mar 16, 2020",62.16,66.31,62.04,62.34,62.34,8849300
"Mar 13, 2020",66.43,69.21,64.20,69.10,69.10,11952900
"Mar 12, 2020",64.93,67.45,63.20,63.89,63.89,9772200
"Mar 11, 2020",70.14,70.81,67.78,68.90,68.90,6860400
"Mar 10, 2020",71.62,72.01,68.09,71.81,71.81,7521500
"Mar 09, 2020",69.30,71.61,69.00,69.99,69.99,7399300
"Mar 06, 2020",70.37,72.76,69.51,72.51,72.51,6339600
"Mar 05, 2020",73.71,74.33,71.80,72.34,72.34,5877500
"Mar 04, 2020",73.90,75.47,73.01,75.37,75.37,7174700
"Mar 03, 2020",72.55,74.11,71.24,71.78,71.78,7487800
"Mar 02, 2020",68.51,72.56,68.51,72.44,72.44,7940800
"Feb 28, 2020",68.99,69.36,66.32,67.57,67.57,11130900
"Feb 27, 2020",73.06,73.72,70.13,70.15,70.15,6181100
"Feb 26, 2020",74.00,74.47,72.90,72.92,72.92,4188700
"Feb 25, 2020",74.40,74.99,73.52,73.80,73.80,5739500
"Feb 24, 2020",71.71,75.72,71.19,74.42,74.42,5584400
"Feb 21, 2020",75.19,76.54,75.11,76.27,76.27,5341500
"Feb 20, 2020",75.46,75.65,74.25,75.16,75.16,3350900
"Feb 19, 2020",76.00,76.27,75.50,75.54,75.54,2686700
"Feb 18, 2020",76.61,76.69,76.05,76.07,76.07,4370500
"Feb 14, 2020",76.36,76.70,76.11,76.69,76.69,2820400
"Feb 13, 2020",75.72,76.61,75.63,76.37,76.37,2907800
"Feb 12, 2020",76.21,76.32,75.50,75.95,75.95,3735400
"Feb 11, 2020",77.24,77.29,76.10,76.11,76.11,3992600
"Feb 10, 2020",75.96,77.41,75.96,77.35,77.35,4418400
"Feb 07, 2020",76.40,76.52,75.90,76.03,76.03,3222700
"Feb 06, 2020",75.97,76.60,75.83,76.31,76.31,4663900
"Feb 05, 2020",75.25,75.87,74.51,75.73,75.73,4282900
"Feb 04, 2020",75.28,76.20,75.19,75.40,75.40,4671800
"Feb 03, 2020",74.06,75.46,74.06,74.93,74.93,7725400
"Jan 31, 2020",73.64,74.97,73.37,73.78,73.78,13592300
