Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",289.16,292.34,285.80,288.65,288.65,2649100
"Apr 02, 2020",284.38,292.78,282.82,291.48,291.48,3500600
"Apr 01, 2020",282.36,288.80,280.90,286.78,286.78,3745800
"Mar 31, 2020",287.42,291.52,284.00,285.13,285.13,5618600
"Mar 30, 2020",287.49,291.68,285.84,291.12,291.12,4396000
"Mar 27, 2020",287.13,293.49,283.33,284.33,284.33,4250400
"Mar 26, 2020",281.34,293.73,280.86,292.30,292.30,5463100
"Mar 25, 2020",284.21,290.72,279.21,280.86,280.86,5639600
"Mar 24, 2020",294.59,297.35,282.83,284.94,284.94,7124200
"Mar 23, 2020",292.01,295.67,278.42,285.53,285.53,5646400
"Mar 20, 2020",307.92,308.01,287.02,290.42,290.42,6581200
"Mar 19, 2020",310.41,313.85,302.63,305.22,305.22,5429500
"Mar 18, 2020",298.00,318.00,296.00,307.50,307.50,6701800
"Mar 17, 2020",289.00,307.19,286.30,306.99,306.99,7170600
"Mar 16, 2020",281.83,299.53,279.51,283.18,283.18,5465500
"Mar 13, 2020",288.83,303.25,278.27,302.27,302.27,6100100
"Mar 12, 2020",280.44,295.63,276.34,279.85,279.85,7307600
"Mar 11, 2020",300.86,307.79,294.19,297.43,297.43,3622700
"Mar 10, 2020",307.97,309.73,294.42,309.40,309.40,4245500
"Mar 09, 2020",295.85,310.33,293.00,301.98,301.98,5203100
"Mar 06, 2020",312.14,317.49,302.75,311.34,311.34,6185500
"Mar 05, 2020",315.77,324.51,313.20,315.76,315.76,6407700
"Mar 04, 2020",308.29,320.97,305.02,320.74,320.74,4219300
"Mar 03, 2020",309.14,314.17,301.03,302.73,302.73,5131400
"Mar 02, 2020",294.44,309.51,291.38,309.14,309.14,7563800
"Feb 28, 2020",285.25,287.33,271.28,281.14,281.14,7096600
"Feb 27, 2020",301.98,305.00,293.00,293.13,293.13,3625300
"Feb 26, 2020",307.55,311.30,304.68,305.69,305.69,2236000
"Feb 25, 2020",315.00,316.57,304.40,304.87,304.87,2881800
"Feb 24, 2020",315.50,320.00,313.26,313.62,313.62,2300400
"Feb 21, 2020",322.56,325.26,321.03,321.95,321.95,2239000
"Feb 20, 2020",322.32,325.07,321.01,324.08,324.08,1427500
"Feb 19, 2020",322.08,324.53,321.73,323.02,323.02,1413600
"Feb 18, 2020",319.00,323.48,318.61,322.05,322.05,1547100
"Feb 14, 2020",318.87,319.81,316.95,318.31,318.31,1113400
"Feb 13, 2020",314.85,318.79,313.54,318.20,318.20,1438000
"Feb 12, 2020",310.77,315.48,310.77,315.12,315.12,1384600
"Feb 11, 2020",314.03,314.43,310.47,310.68,310.68,2047500
"Feb 10, 2020",313.76,316.94,312.60,313.79,313.79,2336300
"Feb 07, 2020",310.00,313.81,309.12,313.63,313.63,1903500
"Feb 06, 2020",309.35,311.84,307.85,310.61,310.61,1917900
"Feb 06, 2020",0.65 Dividend,0.65 Dividend,0.65 Dividend,0.65 Dividend,0.65 Dividend,0.65 Dividend
"Feb 05, 2020",307.00,309.59,305.40,308.95,308.30,1731800
"Feb 04, 2020",304.57,305.91,302.76,304.90,304.26,1982300
"Feb 03, 2020",307.00,308.58,301.67,302.00,301.36,2817500
"Jan 31, 2020",308.55,309.18,304.56,305.52,304.88,1837000
"Jan 30, 2020",308.84,309.64,306.67,309.47,308.82,1232600
"Jan 29, 2020",310.86,311.97,309.39,309.58,308.93,1713700
"Jan 28, 2020",310.51,311.71,309.10,310.85,310.20,1571700
"Jan 27, 2020",306.15,311.77,305.65,309.45,308.80,2265100
"Jan 24, 2020",314.02,314.28,309.10,310.51,309.86,1986100
"Jan 23, 2020",312.02,313.40,310.73,312.88,312.22,1535900
"Jan 22, 2020",313.40,313.56,310.21,311.89,311.23,2218900
"Jan 21, 2020",306.20,313.34,305.76,313.26,312.60,3585900
"Jan 17, 2020",303.40,305.30,303.03,304.68,304.04,2506500
"Jan 16, 2020",301.39,304.06,300.98,303.03,302.39,1758600
"Jan 15, 2020",298.35,301.04,298.04,300.82,300.19,1604000
"Jan 14, 2020",299.25,301.00,298.58,299.75,299.12,1459900
"Jan 13, 2020",296.92,300.65,296.80,299.87,299.24,1778600
"Jan 10, 2020",300.00,300.27,296.66,297.24,296.61,2024200
"Jan 09, 2020",298.55,301.96,297.71,299.42,298.79,3261200
"Jan 08, 2020",290.99,295.48,290.50,294.69,294.07,2492800
"Jan 07, 2020",291.32,291.69,289.28,291.35,290.74,1963400
"Jan 06, 2020",290.55,292.07,288.62,291.81,291.20,2655100
"Jan 03, 2020",290.05,292.90,289.33,291.73,291.12,1926000
"Jan 02, 2020",294.06,294.58,291.00,291.49,290.88,2103600
"Dec 31, 2019",295.00,295.45,292.18,293.92,293.30,1550700
"Dec 30, 2019",294.20,295.61,293.66,295.14,294.52,1238900
"Dec 27, 2019",296.22,296.30,293.18,294.11,293.49,1439100
"Dec 26, 2019",294.49,295.73,293.90,295.73,295.11,1101800
"Dec 24, 2019",293.91,294.45,293.36,294.23,293.61,543600
"Dec 23, 2019",294.91,295.31,293.03,293.31,292.69,1309800
"Dec 20, 2019",293.85,295.02,292.78,294.83,294.21,4866500
"Dec 19, 2019",292.06,293.81,291.50,293.71,293.09,2333600
"Dec 18, 2019",295.99,296.36,291.82,291.87,291.26,3309800
"Dec 17, 2019",293.50,296.30,292.75,295.55,294.93,2474100
"Dec 16, 2019",293.03,294.46,292.85,293.50,292.88,2410000
"Dec 13, 2019",294.64,295.00,289.10,291.87,291.26,5195600
"Dec 12, 2019",295.27,297.76,294.12,297.34,296.71,2742700
"Dec 11, 2019",296.00,296.35,293.05,295.30,294.68,1749800
"Dec 10, 2019",296.03,296.69,294.55,295.78,295.16,1565900
"Dec 09, 2019",295.00,297.19,294.55,295.16,294.54,1960000
"Dec 06, 2019",294.98,295.99,294.26,294.95,294.33,1462000
"Dec 05, 2019",297.13,297.13,292.50,293.10,292.48,1941100
"Dec 04, 2019",296.04,297.16,295.15,296.52,295.90,1742000
"Dec 03, 2019",295.13,296.19,292.70,295.67,295.05,1921400
"Dec 02, 2019",299.75,300.20,294.27,297.39,296.76,2705500
"Nov 29, 2019",300.82,300.89,299.66,299.81,299.18,981600
"Nov 27, 2019",301.82,302.79,300.57,300.76,300.13,1906500
"Nov 26, 2019",299.26,301.35,298.82,301.24,300.61,3359100
"Nov 25, 2019",300.29,300.63,297.55,299.05,298.42,1613000
"Nov 22, 2019",301.94,301.94,297.23,299.31,298.68,1277300
"Nov 21, 2019",300.69,301.87,299.52,300.27,299.64,1302500
"Nov 20, 2019",302.44,303.17,298.01,300.57,299.94,1979500
"Nov 19, 2019",304.50,304.64,301.45,302.24,301.60,1761400
"Nov 18, 2019",303.11,306.38,302.75,304.54,303.90,1241300
"Nov 15, 2019",305.31,305.44,301.60,303.66,303.02,1706100
"Nov 14, 2019",304.39,305.89,302.27,304.59,303.95,1336400
"Nov 13, 2019",300.18,304.00,299.52,302.90,302.26,1517900
"Nov 12, 2019",300.83,302.73,298.66,300.50,299.87,1540800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
