Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",120.62,122.01,120.12,121.24,121.24,628200
"Apr 02, 2020",121.78,123.95,121.35,123.69,123.69,565400
"Apr 01, 2020",122.25,123.67,121.17,121.51,121.51,675100
"Mar 31, 2020",125.93,129.61,125.57,127.12,127.12,628200
"Mar 30, 2020",126.92,129.47,125.64,128.80,128.80,715400
"Mar 27, 2020",121.75,128.07,121.52,125.71,125.71,747200
"Mar 26, 2020",121.52,130.82,121.39,130.37,130.37,1339600
"Mar 25, 2020",112.80,120.68,112.42,118.34,118.34,1007300
"Mar 24, 2020",109.53,114.51,109.26,114.39,114.39,1198700
"Mar 23, 2020",107.56,108.64,100.52,102.59,102.59,1502300
"Mar 20, 2020",113.32,116.01,109.27,109.56,109.56,1088300
"Mar 19, 2020",103.45,114.93,102.32,111.58,111.58,1364900
"Mar 18, 2020",104.75,106.43,101.43,104.04,104.04,1868400
"Mar 17, 2020",110.55,113.61,107.44,113.41,113.41,1602400
"Mar 16, 2020",112.92,118.56,112.00,114.32,114.32,1186100
"Mar 13, 2020",125.79,128.04,120.81,127.72,127.72,1854800
"Mar 12, 2020",121.43,128.49,118.00,125.54,125.54,1923500
"Mar 11, 2020",135.65,136.19,129.41,131.36,131.36,1157700
"Mar 10, 2020",137.77,139.33,134.06,138.78,138.78,881200
"Mar 09, 2020",135.76,139.29,134.62,134.65,134.65,1554100
"Mar 06, 2020",141.21,144.50,140.71,144.04,144.04,645800
"Mar 05, 2020",143.79,145.33,143.11,144.01,144.01,582400
"Mar 04, 2020",145.00,147.80,144.24,147.79,147.79,573500
"Mar 03, 2020",145.04,146.50,143.18,143.92,143.92,914800
"Mar 02, 2020",142.62,145.64,142.29,145.64,145.64,723700
"Feb 28, 2020",140.61,142.86,138.91,141.91,141.91,1178500
"Feb 27, 2020",146.93,147.28,143.91,144.04,144.04,850100
"Feb 27, 2020",1.43552 Dividend,1.43552 Dividend,1.43552 Dividend,1.43552 Dividend,1.43552 Dividend,1.43552 Dividend
"Feb 26, 2020",149.94,151.88,149.66,149.67,148.23,596900
"Feb 25, 2020",154.84,155.50,152.31,152.60,151.14,444900
"Feb 24, 2020",155.07,156.40,155.07,155.41,153.92,622900
"Feb 21, 2020",161.47,161.67,160.52,161.40,159.85,241100
"Feb 20, 2020",160.88,161.75,160.58,161.43,159.88,320200
"Feb 19, 2020",163.19,163.20,162.12,162.28,160.72,222300
"Feb 18, 2020",162.01,162.44,161.72,161.77,160.22,311600
"Feb 14, 2020",160.23,160.97,159.52,160.86,159.32,272100
"Feb 13, 2020",159.67,161.02,159.34,160.46,158.92,347000
