Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",158.60,162.80,158.60,162.20,162.20,2733800
"Apr 02, 2020",153.50,161.33,152.83,159.70,159.70,3624900
"Apr 01, 2020",148.24,157.98,148.24,153.16,153.16,2906900
"Mar 31, 2020",146.19,156.88,146.19,151.01,151.01,5278200
"Mar 30, 2020",149.35,149.79,146.27,146.77,146.77,2490400
"Mar 27, 2020",138.17,147.72,137.52,146.12,146.12,3686300
"Mar 26, 2020",136.90,142.87,135.26,140.52,140.52,3471800
"Mar 25, 2020",141.54,143.42,136.69,137.23,137.23,3661100
"Mar 24, 2020",145.17,149.67,137.71,141.82,141.82,3251800
"Mar 23, 2020",139.88,145.29,137.02,139.87,139.87,2985000
"Mar 20, 2020",142.39,144.91,135.04,140.13,140.13,4530700
"Mar 19, 2020",149.17,151.30,141.44,143.00,143.00,4064400
"Mar 18, 2020",145.50,157.65,137.90,148.74,148.74,4848500
"Mar 17, 2020",137.90,156.48,137.59,154.53,154.53,4964700
"Mar 16, 2020",134.19,139.60,125.00,136.10,136.10,3806800
"Mar 13, 2020",148.71,148.99,138.49,145.81,145.81,6266700
"Mar 12, 2020",152.01,157.07,140.15,141.97,141.97,6710500
"Mar 11, 2020",163.09,165.73,156.69,157.63,157.63,3847200
"Mar 10, 2020",162.63,167.44,160.12,166.25,166.25,3791300
"Mar 09, 2020",150.79,162.04,150.05,159.28,159.28,3253600
"Mar 06, 2020",154.26,158.92,152.17,158.38,158.38,1836900
"Mar 05, 2020",158.28,161.02,155.50,157.48,157.48,1970600
"Mar 04, 2020",157.89,160.51,156.51,160.16,160.16,1664700
"Mar 03, 2020",159.52,163.28,154.36,156.42,156.42,2573800
"Mar 02, 2020",150.36,159.75,150.25,159.60,159.60,2581600
"Feb 28, 2020",155.73,156.22,147.56,150.30,150.30,3858700
"Feb 27, 2020",161.15,162.51,157.44,157.66,157.66,3596000
"Feb 26, 2020",162.05,164.49,161.21,162.67,162.67,2126900
"Feb 25, 2020",165.67,166.90,161.05,161.50,161.50,2335900
"Feb 24, 2020",163.53,166.51,163.53,164.86,164.86,2282300
"Feb 21, 2020",165.89,167.04,165.03,166.88,166.88,1455100
"Feb 20, 2020",163.79,166.03,163.16,165.73,165.73,1101600
"Feb 19, 2020",162.02,164.38,161.57,163.79,163.79,1540300
"Feb 18, 2020",158.30,162.35,157.75,161.71,161.71,1604100
"Feb 14, 2020",159.31,160.12,157.46,158.03,158.03,1434000
"Feb 13, 2020",158.43,160.24,157.77,159.85,159.85,984100
"Feb 12, 2020",156.50,158.94,155.64,158.66,158.66,1093500
"Feb 11, 2020",156.22,156.66,155.52,155.95,155.95,916600
"Feb 10, 2020",154.08,155.65,153.83,155.59,155.59,1102500
"Feb 07, 2020",155.30,155.76,154.02,154.97,154.97,814500
"Feb 06, 2020",157.76,157.97,155.19,155.47,155.47,1118600
"Feb 05, 2020",156.60,157.76,156.47,157.26,157.26,1037500
"Feb 04, 2020",155.91,157.62,155.63,155.99,155.99,1429500
"Feb 03, 2020",154.28,157.14,154.00,154.77,154.77,1109800
"Jan 31, 2020",157.04,157.29,152.91,153.41,153.41,1974700
"Jan 30, 2020",154.96,157.00,154.37,156.99,156.99,1528100
"Jan 29, 2020",157.00,157.43,155.71,155.75,155.75,720000
"Jan 28, 2020",156.42,157.64,155.87,156.66,156.66,1118000
"Jan 27, 2020",153.11,156.91,152.62,155.86,155.86,1539800
"Jan 24, 2020",154.92,155.00,153.41,154.34,154.34,1050700
"Jan 23, 2020",153.85,155.51,153.38,155.14,155.14,1283200
"Jan 22, 2020",157.95,158.32,154.19,154.50,154.50,1458700
"Jan 21, 2020",157.35,158.70,157.23,157.54,157.54,1381600
"Jan 17, 2020",158.63,160.41,157.53,157.99,157.99,1486800
"Jan 16, 2020",157.53,158.53,156.92,158.27,158.27,1472500
"Jan 15, 2020",155.34,157.34,155.21,156.59,156.59,2638000
"Jan 14, 2020",155.07,158.96,155.07,157.98,157.98,2837100
"Jan 13, 2020",151.96,154.83,151.43,154.12,154.12,2011800
"Jan 10, 2020",153.17,154.12,152.49,153.22,153.22,2747900
"Jan 09, 2020",151.80,153.76,151.78,152.58,152.58,2832600
"Jan 08, 2020",152.00,152.63,151.13,151.55,151.55,3208400
"Jan 07, 2020",154.19,154.76,152.14,152.21,152.21,2832000
"Jan 06, 2020",154.41,154.72,152.10,154.54,154.54,2295600
"Jan 06, 2020",0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend
"Jan 03, 2020",155.30,156.36,154.66,155.39,155.07,1715300
"Jan 02, 2020",156.95,157.12,155.24,156.54,156.22,1918500
"Dec 31, 2019",157.17,157.45,155.23,155.98,155.66,1097200
"Dec 30, 2019",156.15,158.19,155.38,157.35,157.03,1350400
"Dec 27, 2019",155.48,156.75,155.24,156.65,156.33,974400
"Dec 26, 2019",156.22,156.22,154.20,155.31,154.99,1001300
"Dec 24, 2019",155.79,156.60,155.25,156.25,155.93,500700
"Dec 23, 2019",157.03,157.16,155.00,155.16,154.84,1266800
"Dec 20, 2019",157.84,158.12,156.45,156.71,156.39,2695100
"Dec 19, 2019",155.46,157.10,154.95,157.00,156.68,2368100
"Dec 18, 2019",155.74,155.80,154.57,155.30,154.98,1919500
"Dec 17, 2019",153.38,155.64,153.13,155.18,154.86,2153700
"Dec 16, 2019",154.84,155.16,152.54,152.77,152.46,2471900
"Dec 13, 2019",155.07,155.25,152.95,154.63,154.31,2243700
"Dec 12, 2019",154.16,156.29,154.13,155.58,155.26,1895300
"Dec 11, 2019",154.22,154.84,153.86,154.51,154.19,1921200
"Dec 10, 2019",154.38,155.54,153.89,154.37,154.05,1877500
"Dec 09, 2019",154.26,155.54,153.20,154.82,154.50,2480000
"Dec 06, 2019",155.91,156.50,153.80,154.72,154.40,3190600
"Dec 05, 2019",155.56,156.05,152.00,155.10,154.78,5711900
"Dec 04, 2019",154.63,155.73,153.18,153.55,153.23,3610300
"Dec 03, 2019",153.41,154.02,152.72,153.00,152.68,4647100
"Dec 02, 2019",158.28,158.43,154.53,154.68,154.36,3709500
"Nov 29, 2019",157.99,158.31,157.09,157.36,157.04,1105500
"Nov 27, 2019",158.65,159.01,157.60,158.42,158.09,1834000
"Nov 26, 2019",156.29,160.32,155.42,158.47,158.14,3973300
"Nov 25, 2019",159.89,161.01,159.72,159.92,159.59,2652100
"Nov 22, 2019",161.35,161.74,159.77,159.79,159.46,1300900
"Nov 21, 2019",160.49,162.05,160.25,160.78,160.45,1332400
"Nov 20, 2019",159.82,162.10,159.22,160.95,160.62,1974600
"Nov 19, 2019",159.13,160.19,157.18,158.43,158.10,1619000
"Nov 18, 2019",160.07,160.73,159.37,159.98,159.65,1230300
"Nov 15, 2019",160.36,160.36,158.00,160.14,159.81,2034400
"Nov 14, 2019",158.50,160.91,157.94,159.49,159.16,1564700
"Nov 13, 2019",156.34,158.06,154.59,157.99,157.66,2194400
"Nov 12, 2019",156.96,162.53,156.50,156.98,156.66,1373600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
