Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",148.57,154.39,147.16,154.08,154.08,1589400
"Apr 02, 2020",151.81,155.12,147.34,149.21,149.21,1888700
"Apr 01, 2020",153.03,155.53,151.06,153.38,153.38,1822200
"Mar 31, 2020",163.55,163.62,158.49,159.34,159.34,2209200
"Mar 30, 2020",160.38,167.92,160.13,165.23,165.23,1890000
"Mar 27, 2020",167.48,168.79,159.07,160.68,160.68,1882100
"Mar 26, 2020",169.60,176.48,166.17,172.98,172.98,2553700
"Mar 25, 2020",158.89,174.82,156.65,167.76,167.76,2988000
"Mar 24, 2020",151.08,159.73,147.27,157.83,157.83,2702900
"Mar 23, 2020",149.78,151.97,140.32,144.38,144.38,2868200
"Mar 20, 2020",158.55,159.25,148.97,151.00,151.00,3681100
"Mar 19, 2020",150.53,163.09,139.84,156.51,156.51,4292300
"Mar 18, 2020",143.18,157.00,137.01,156.24,156.24,4214500
"Mar 17, 2020",151.41,159.45,140.94,153.74,153.74,3612800
"Mar 16, 2020",150.50,156.49,146.98,148.98,148.98,3512100
"Mar 13, 2020",165.29,172.55,157.11,172.22,172.22,2880600
"Mar 12, 2020",159.80,166.68,152.47,157.35,157.35,3958500
"Mar 11, 2020",182.51,184.55,169.56,172.51,172.51,3040400
"Mar 10, 2020",182.87,187.69,177.51,187.38,187.38,2340300
"Mar 09, 2020",179.40,182.36,174.93,177.90,177.90,3035900
"Mar 06, 2020",184.45,193.12,183.28,191.95,191.95,2384600
"Mar 05, 2020",189.17,193.14,187.45,189.62,189.62,2851600
"Mar 04, 2020",192.28,193.62,186.82,193.40,193.40,2815600
"Mar 03, 2020",192.63,195.64,186.83,188.39,188.39,3149900
"Mar 02, 2020",185.02,193.78,182.62,193.33,193.33,3350100
"Feb 28, 2020",176.77,183.73,176.44,183.60,183.60,4084300
"Feb 27, 2020",185.08,188.74,182.24,182.28,182.28,4176000
"Feb 27, 2020",0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend,0.48 Dividend
"Feb 26, 2020",194.00,196.03,189.15,189.29,188.81,2982500
"Feb 25, 2020",199.56,201.22,190.72,191.43,190.94,2767800
"Feb 24, 2020",199.56,203.90,198.31,198.78,198.28,2494300
"Feb 21, 2020",209.96,210.63,208.67,209.27,208.74,1709000
"Feb 20, 2020",212.64,213.86,208.88,211.32,210.78,2379900
"Feb 19, 2020",212.50,213.48,210.42,213.12,212.58,1768500
"Feb 18, 2020",214.84,214.88,211.18,211.44,210.90,2122600
"Feb 14, 2020",215.47,215.61,213.82,215.01,214.46,1442800
"Feb 13, 2020",213.74,216.18,212.97,214.89,214.35,1818700
"Feb 12, 2020",211.36,215.01,211.16,214.79,214.25,2141100
"Feb 11, 2020",210.42,211.35,209.04,209.82,209.29,1468700
"Feb 10, 2020",207.57,209.04,205.94,208.68,208.15,1689900
"Feb 07, 2020",209.87,210.00,204.64,208.96,208.43,3386200
"Feb 06, 2020",210.98,213.45,205.11,211.53,210.99,4056300
"Feb 05, 2020",203.60,204.25,200.55,201.32,200.81,2293800
"Feb 04, 2020",199.40,202.22,198.46,200.42,199.91,2252200
"Feb 03, 2020",195.68,199.31,195.04,196.20,195.70,2301600
"Jan 31, 2020",197.60,198.79,194.67,195.16,194.67,1620600
"Jan 30, 2020",197.68,198.99,195.13,198.67,198.17,1497600
"Jan 29, 2020",198.66,200.31,197.95,198.73,198.23,1446100
"Jan 28, 2020",197.96,199.13,195.10,197.11,196.61,2035600
"Jan 27, 2020",192.01,198.24,191.07,196.99,196.49,4042600
"Jan 24, 2020",209.00,209.59,204.33,205.34,204.82,2420800
"Jan 23, 2020",209.09,211.58,206.71,208.87,208.34,2781200
"Jan 22, 2020",216.26,217.62,211.53,212.64,212.10,2528600
"Jan 21, 2020",215.41,217.93,212.73,217.73,217.18,2104100
"Jan 17, 2020",219.06,220.42,218.40,219.88,219.32,1147000
"Jan 16, 2020",218.49,219.29,217.20,217.94,217.39,1623800
"Jan 15, 2020",216.00,219.11,216.00,218.49,217.94,1696500
"Jan 14, 2020",213.75,216.58,213.27,215.70,215.15,1434500
"Jan 13, 2020",211.62,213.53,210.45,213.47,212.93,1235500
"Jan 10, 2020",212.13,212.13,210.24,211.62,211.08,1212800
"Jan 09, 2020",209.04,212.02,207.11,211.96,211.42,1277100
"Jan 08, 2020",207.48,209.39,206.00,207.72,207.19,1614300
"Jan 07, 2020",206.01,207.21,205.18,206.05,205.53,1180600
"Jan 06, 2020",203.81,207.50,203.45,207.36,206.83,2428900
"Jan 03, 2020",204.53,206.55,203.73,204.70,204.18,1076200
"Jan 02, 2020",206.54,207.86,205.81,206.26,205.74,1138700
"Dec 31, 2019",205.70,207.11,205.59,206.54,206.02,541500
"Dec 30, 2019",207.93,208.33,205.96,206.40,205.88,680600
"Dec 27, 2019",207.62,208.26,206.82,207.95,207.42,495000
"Dec 26, 2019",206.00,207.56,205.64,207.24,206.71,1092600
"Dec 24, 2019",205.88,206.26,205.25,205.45,204.93,327800
"Dec 23, 2019",207.47,207.47,205.36,205.97,205.45,1240200
"Dec 20, 2019",204.58,207.98,204.58,206.86,206.34,3176800
"Dec 19, 2019",204.71,205.92,203.59,204.29,203.77,1213600
"Dec 18, 2019",203.17,204.83,202.93,203.94,203.42,1223100
"Dec 17, 2019",202.75,202.82,198.47,202.43,201.92,1901000
"Dec 16, 2019",204.77,205.73,202.80,204.03,203.51,1273000
