Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",54.20,56.90,54.01,56.71,56.71,6876900
"Apr 02, 2020",52.60,55.02,52.50,54.88,54.88,4961400
"Apr 01, 2020",51.74,53.97,51.51,53.12,53.12,4669300
"Mar 31, 2020",53.99,54.49,52.30,52.77,52.77,5795300
"Mar 30, 2020",52.53,54.15,52.48,54.10,54.10,7425700
"Mar 27, 2020",48.99,52.50,48.90,51.82,51.82,6662000
"Mar 26, 2020",47.81,50.50,47.38,50.00,50.00,5600200
"Mar 25, 2020",48.12,49.20,46.95,47.65,47.65,6019500
"Mar 24, 2020",49.03,50.18,47.11,48.23,48.23,7348200
"Mar 23, 2020",52.34,53.36,46.88,47.28,47.28,8448300
"Mar 20, 2020",53.00,54.28,51.22,53.37,53.37,11007300
"Mar 19, 2020",58.19,58.73,53.19,53.68,53.68,7293600
"Mar 18, 2020",57.65,59.96,54.06,57.75,57.75,11170500
"Mar 17, 2020",53.96,60.00,52.93,59.67,59.67,17279000
"Mar 16, 2020",49.40,55.86,48.75,53.38,53.38,13060100
"Mar 13, 2020",52.95,53.75,50.02,53.48,53.48,9723900
"Mar 12, 2020",49.20,50.87,47.53,50.00,50.00,9145700
"Mar 11, 2020",52.86,53.35,51.35,52.87,52.87,8693500
"Mar 10, 2020",54.67,55.68,51.87,54.09,54.09,7927800
"Mar 09, 2020",51.67,55.02,51.63,54.14,54.14,8204100
"Mar 06, 2020",52.60,55.02,52.44,54.77,54.77,6130000
"Mar 05, 2020",53.44,54.46,53.19,54.30,54.30,5406600
"Mar 04, 2020",52.49,54.17,52.30,54.17,54.17,4298100
"Mar 03, 2020",51.40,53.06,51.06,51.65,51.65,7073000
"Mar 02, 2020",49.21,51.41,48.86,51.41,51.41,7603400
"Feb 28, 2020",48.87,49.01,46.59,49.00,49.00,10113600
"Feb 27, 2020",51.81,52.26,50.13,50.14,50.14,5097500
"Feb 26, 2020",52.76,53.60,52.14,52.14,52.14,3366700
"Feb 25, 2020",53.68,53.96,52.48,52.53,52.53,3947500
"Feb 24, 2020",53.32,53.92,53.00,53.72,53.72,4159600
"Feb 21, 2020",54.03,55.18,53.88,53.92,53.92,5010600
"Feb 20, 2020",53.20,54.16,53.01,54.13,54.13,4830500
"Feb 19, 2020",53.56,53.57,52.83,53.24,53.24,4543100
"Feb 18, 2020",52.50,53.78,52.50,53.54,53.54,3181500
"Feb 14, 2020",53.17,53.77,53.05,53.31,53.31,2525400
"Feb 13, 2020",52.90,53.03,52.52,52.99,52.99,2405900
"Feb 12, 2020",52.75,53.05,52.54,52.93,52.93,3174200
"Feb 11, 2020",52.41,52.87,52.26,52.76,52.76,2731900
"Feb 10, 2020",51.90,52.48,51.84,52.36,52.36,2147900
"Feb 07, 2020",51.77,51.96,51.48,51.90,51.90,2470800
"Feb 06, 2020",52.32,52.50,51.56,51.71,51.71,4006900
"Feb 05, 2020",52.62,52.94,52.06,52.56,52.56,4967400
"Feb 04, 2020",53.35,53.65,52.55,52.55,52.55,3889800
"Feb 03, 2020",52.61,53.04,52.44,52.99,52.99,4367100
"Jan 31, 2020",53.61,53.76,52.09,52.22,52.22,4695800
"Jan 30, 2020",53.05,53.82,53.00,53.73,53.73,2802500
"Jan 29, 2020",53.02,53.48,52.83,53.03,53.03,2680000
"Jan 28, 2020",53.13,53.54,52.96,53.01,53.01,2553700
"Jan 27, 2020",53.33,53.73,53.16,53.22,53.22,2547000
