Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",23.74,23.92,23.42,23.80,23.80,3995000
"Apr 02, 2020",23.35,23.96,23.29,23.86,23.86,4718200
"Apr 02, 2020",0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend
"Apr 01, 2020",23.70,24.19,23.43,23.66,23.51,3029700
"Mar 31, 2020",24.41,24.76,24.19,24.27,24.12,2426900
"Mar 30, 2020",24.59,24.87,24.03,24.78,24.62,3701000
"Mar 27, 2020",24.06,24.79,23.86,24.38,24.23,2859400
"Mar 26, 2020",24.84,25.88,24.34,24.79,24.63,5624000
"Mar 25, 2020",23.95,25.70,23.64,25.00,24.84,4848500
"Mar 24, 2020",24.09,24.77,23.29,23.89,23.74,6757500
"Mar 23, 2020",23.28,23.74,22.81,23.18,23.03,4999400
"Mar 20, 2020",24.57,25.02,22.72,23.53,23.38,6202700
"Mar 19, 2020",19.90,24.64,19.90,24.32,24.17,7464000
"Mar 18, 2020",19.31,20.15,18.98,19.91,19.78,6961900
"Mar 17, 2020",20.02,20.43,19.03,20.32,20.19,8502400
"Mar 16, 2020",21.07,21.89,19.56,19.60,19.48,5986800
"Mar 13, 2020",23.75,24.06,22.55,23.47,23.32,6647800
"Mar 12, 2020",23.45,24.05,22.26,22.99,22.84,8118600
"Mar 11, 2020",24.72,25.08,24.05,24.51,24.35,5671100
"Mar 10, 2020",25.13,25.41,23.37,25.25,25.09,6805500
"Mar 09, 2020",25.74,26.09,21.38,24.45,24.29,7682500
"Mar 06, 2020",26.37,26.66,26.11,26.63,26.46,7347000
"Mar 05, 2020",27.11,27.27,26.50,27.00,26.83,23735700
"Mar 04, 2020",27.92,28.11,27.44,27.77,27.59,9166200
"Mar 03, 2020",28.26,28.51,27.50,27.55,27.38,5727000
"Mar 02, 2020",27.90,28.29,27.44,28.26,28.08,4619000
"Feb 28, 2020",27.84,28.00,26.77,27.88,27.70,4177300
"Feb 27, 2020",27.70,28.84,27.50,28.24,28.06,7680500
"Feb 26, 2020",29.06,29.42,28.50,28.73,28.55,3278400
"Feb 25, 2020",29.22,29.38,28.40,28.92,28.74,3449300
"Feb 24, 2020",29.20,29.42,28.98,29.14,28.96,1488600
"Feb 21, 2020",29.33,29.55,29.07,29.50,29.31,1480700
"Feb 20, 2020",28.83,29.33,28.80,29.30,29.11,1646400
"Feb 19, 2020",28.91,29.06,28.80,28.85,28.67,1469300
"Feb 18, 2020",28.78,29.17,28.78,28.87,28.69,3361200
"Feb 14, 2020",28.65,28.98,28.58,28.87,28.69,1161500
"Feb 13, 2020",28.45,28.78,28.44,28.58,28.40,2146200
"Feb 12, 2020",28.66,28.76,28.47,28.64,28.46,1537000
"Feb 11, 2020",28.75,28.86,28.64,28.67,28.49,1377500
"Feb 10, 2020",28.50,28.75,28.45,28.71,28.53,2560700
"Feb 07, 2020",28.50,28.64,28.46,28.57,28.39,1676300
"Feb 06, 2020",28.76,28.97,28.43,28.56,28.38,1757900
"Feb 05, 2020",28.80,28.96,28.63,28.69,28.51,905700
"Feb 04, 2020",28.93,29.02,28.67,28.67,28.49,1261500
"Feb 03, 2020",28.48,28.80,28.44,28.68,28.50,1246600
"Jan 31, 2020",28.70,28.87,28.48,28.53,28.35,2895100
"Jan 30, 2020",28.51,28.81,28.46,28.66,28.48,2450400
"Jan 29, 2020",28.57,28.84,28.49,28.55,28.37,2287700
"Jan 28, 2020",28.05,28.57,28.01,28.54,28.36,3022600
"Jan 27, 2020",27.66,28.12,27.64,28.03,27.85,3130200
"Jan 24, 2020",27.85,28.13,27.63,28.04,27.86,4623300
"Jan 23, 2020",27.54,27.82,27.14,27.77,27.59,5988100
"Jan 22, 2020",27.16,28.11,27.16,28.03,27.85,8292600
