Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.39,25.48,24.39,25.32,25.32,9217500
"Apr 02, 2020",23.48,24.79,23.36,24.64,24.64,7376700
"Apr 01, 2020",24.02,24.39,23.50,23.68,23.68,6098600
"Mar 31, 2020",25.11,25.49,24.40,24.74,24.74,7037500
"Mar 30, 2020",24.64,25.30,24.04,25.17,25.17,8008400
"Mar 27, 2020",24.00,25.18,23.61,24.24,24.24,8529400
"Mar 26, 2020",23.24,27.38,22.98,24.77,24.77,12900700
"Mar 25, 2020",23.39,24.32,22.88,22.96,22.96,15683100
"Mar 24, 2020",21.79,23.36,21.53,22.99,22.99,11706200
"Mar 23, 2020",22.29,23.30,20.67,20.77,20.77,14829300
"Mar 20, 2020",22.45,23.24,21.78,22.28,22.28,12908300
"Mar 19, 2020",23.16,23.56,21.92,22.28,22.28,12585300
"Mar 18, 2020",22.34,24.00,21.93,23.69,23.69,11805700
"Mar 17, 2020",22.21,23.91,20.84,23.83,23.83,12594400
"Mar 16, 2020",20.90,23.57,19.99,22.02,22.02,14821500
"Mar 13, 2020",21.24,23.99,20.70,23.97,23.97,15014300
"Mar 12, 2020",21.90,22.07,20.04,20.06,20.06,15386400
"Mar 12, 2020",0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend
"Mar 11, 2020",23.91,24.24,23.31,23.66,23.26,11763400
"Mar 10, 2020",24.67,24.89,23.49,24.50,24.09,12339200
"Mar 09, 2020",24.08,24.70,23.67,23.96,23.55,16231400
"Mar 06, 2020",25.66,26.39,25.62,26.03,25.59,8694600
"Mar 05, 2020",25.83,26.75,25.73,26.65,26.20,12581900
"Mar 04, 2020",25.93,26.48,25.60,26.45,26.00,8588100
"Mar 03, 2020",26.00,26.52,25.25,25.50,25.07,11011400
"Mar 02, 2020",24.75,26.08,24.57,26.07,25.63,14470800
"Feb 28, 2020",24.55,24.81,24.01,24.77,24.35,16285200
"Feb 27, 2020",25.38,25.49,24.76,24.97,24.55,14102800
"Feb 26, 2020",26.23,26.24,25.36,25.64,25.21,11768200
"Feb 25, 2020",26.62,26.70,25.75,26.07,25.63,11732200
"Feb 24, 2020",26.96,27.14,26.26,26.63,26.18,12622200
"Feb 21, 2020",27.20,27.51,27.17,27.26,26.80,6716800
"Feb 20, 2020",27.27,27.78,27.15,27.42,26.96,7005900
"Feb 19, 2020",27.36,27.45,27.11,27.31,26.85,7947900
"Feb 18, 2020",26.77,27.45,26.30,27.33,26.87,16772400
"Feb 14, 2020",27.85,27.92,26.46,26.88,26.43,23915700
"Feb 13, 2020",29.12,29.23,27.36,27.77,27.30,37333600
"Feb 12, 2020",30.17,30.55,29.94,30.04,29.53,8096300
"Feb 11, 2020",29.89,30.15,29.62,30.01,29.50,7123300
"Feb 10, 2020",29.65,29.85,29.40,29.69,29.19,5775800
"Feb 07, 2020",28.96,30.30,28.71,29.54,29.04,13268800
"Feb 06, 2020",29.32,29.60,28.92,29.06,28.57,6544800
"Feb 05, 2020",29.36,29.95,29.11,29.37,28.87,9092800
"Feb 04, 2020",29.50,29.62,29.09,29.15,28.66,7607100
"Feb 03, 2020",29.20,29.38,28.92,29.15,28.66,6306500
"Jan 31, 2020",29.90,29.92,29.03,29.20,28.71,8211800
"Jan 30, 2020",29.61,29.99,29.27,29.94,29.43,6169800
"Jan 29, 2020",30.11,30.11,29.59,29.62,29.12,9042600
"Jan 28, 2020",30.45,30.67,30.08,30.13,29.62,5645000
"Jan 27, 2020",30.15,30.48,29.85,30.35,29.84,5806100
"Jan 24, 2020",30.70,30.73,30.09,30.41,29.90,5951500
"Jan 23, 2020",30.53,30.79,30.34,30.68,30.16,4280600
"Jan 22, 2020",31.08,31.08,30.50,30.67,30.15,4535000
"Jan 21, 2020",30.96,31.12,30.41,31.01,30.49,7106600
"Jan 17, 2020",31.80,31.86,30.95,31.03,30.51,6645600
"Jan 16, 2020",31.70,32.02,31.65,31.73,31.19,3950400
"Jan 15, 2020",31.69,31.96,31.54,31.60,31.07,4243700
"Jan 14, 2020",31.13,31.75,31.12,31.73,31.19,6794100
"Jan 13, 2020",30.91,31.17,30.70,31.16,30.63,4269100
"Jan 10, 2020",30.59,30.87,30.57,30.70,30.18,4578200
"Jan 09, 2020",30.67,30.69,29.94,30.58,30.06,8938400
"Jan 08, 2020",30.74,30.94,30.35,30.59,30.07,5802900
"Jan 07, 2020",31.25,31.28,30.51,30.76,30.24,7165700
"Jan 06, 2020",31.17,31.47,30.90,31.31,30.78,4714700
"Jan 03, 2020",31.50,31.65,31.22,31.24,30.71,5012700
"Jan 02, 2020",32.29,32.42,31.50,31.61,31.08,6008700
"Dec 31, 2019",31.70,32.31,31.54,32.13,31.59,6069400
"Dec 30, 2019",31.67,31.81,31.56,31.71,31.17,3856500
"Dec 27, 2019",31.72,31.89,31.53,31.62,31.09,4089700
"Dec 26, 2019",31.95,31.98,31.50,31.63,31.10,3957800
"Dec 24, 2019",31.93,32.08,31.86,31.98,31.44,1594400
"Dec 23, 2019",32.20,32.30,31.82,31.92,31.38,6822800
"Dec 20, 2019",32.03,32.25,31.78,32.22,31.68,12601700
"Dec 19, 2019",31.86,32.11,31.61,31.90,31.36,7941000
"Dec 18, 2019",31.70,31.90,31.62,31.75,31.21,6317600
"Dec 17, 2019",31.69,31.78,31.35,31.62,31.09,6137700
"Dec 16, 2019",31.76,32.00,31.55,31.74,31.20,4744400
"Dec 13, 2019",32.00,32.12,31.41,31.60,31.07,5174500
"Dec 12, 2019",31.65,32.13,31.62,31.94,31.40,5689800
"Dec 11, 2019",31.94,32.13,31.59,31.60,31.07,5443200
"Dec 10, 2019",32.05,32.23,31.82,31.88,31.34,5544500
"Dec 09, 2019",31.24,32.24,31.14,31.93,31.39,8128000
"Dec 06, 2019",31.28,31.35,30.95,31.09,30.56,6496100
"Dec 05, 2019",31.28,31.68,31.09,31.25,30.72,4606300
"Dec 04, 2019",30.79,31.28,30.75,31.03,30.51,5448200
"Dec 03, 2019",30.83,30.90,30.47,30.80,30.28,5573200
"Dec 02, 2019",30.50,30.95,30.33,30.95,30.43,5816500
"Nov 29, 2019",30.32,30.56,30.16,30.50,29.98,2442200
"Nov 27, 2019",30.71,30.85,30.33,30.37,29.86,4407500
"Nov 26, 2019",31.20,31.25,30.28,30.47,29.95,8846200
"Nov 25, 2019",30.62,31.13,30.40,31.06,30.53,7140600
"Nov 22, 2019",30.35,30.64,30.22,30.54,30.02,4664400
"Nov 21, 2019",31.00,31.00,30.16,30.24,29.73,8815000
"Nov 20, 2019",31.15,31.44,30.96,31.09,30.56,5271400
"Nov 19, 2019",31.11,31.49,31.03,31.30,30.77,6661500
"Nov 18, 2019",31.24,31.30,30.41,31.01,30.49,7257300
"Nov 15, 2019",30.96,31.50,30.92,31.30,30.77,6952100
"Nov 14, 2019",32.49,32.49,30.61,30.96,30.44,14509400
"Nov 14, 2019",0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend
"Nov 13, 2019",32.87,33.42,32.72,33.30,32.34,5227000
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
