Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",43.58,44.34,43.31,43.83,43.83,14204300
"Apr 02, 2020",42.22,44.19,41.86,43.95,43.95,17621900
"Apr 01, 2020",42.48,43.65,41.80,42.12,42.12,21936400
"Mar 31, 2020",45.07,45.51,44.06,44.25,44.25,25373900
"Mar 30, 2020",43.04,45.56,43.04,45.00,45.00,23446000
"Mar 27, 2020",43.66,44.03,42.40,42.81,42.81,23297900
"Mar 26, 2020",42.84,45.27,42.45,44.29,44.29,37821700
"Mar 25, 2020",40.63,43.45,39.91,41.61,41.61,42511700
"Mar 24, 2020",41.22,41.40,38.83,39.45,39.45,49096200
"Mar 23, 2020",38.76,38.89,36.27,37.56,37.56,44978500
"Mar 20, 2020",41.95,42.07,37.51,38.30,38.30,51513500
"Mar 19, 2020",44.36,44.66,41.04,41.83,41.83,41956900
"Mar 18, 2020",44.74,45.15,41.59,44.85,44.85,35408300
"Mar 17, 2020",45.88,47.50,45.37,47.18,47.18,32106700
"Mar 16, 2020",42.24,47.88,41.17,45.26,45.26,28682300
"Mar 13, 2020",49.51,49.56,46.61,48.47,48.47,33697200
"Mar 13, 2020",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Mar 12, 2020",48.54,49.93,46.69,47.16,46.75,31913100
"Mar 11, 2020",52.35,52.65,51.14,52.21,51.76,22653900
"Mar 10, 2020",53.22,53.80,51.17,53.66,53.19,27457400
"Mar 09, 2020",52.05,53.58,51.48,51.86,51.41,27898300
"Mar 06, 2020",54.94,55.91,53.98,55.26,54.78,22353900
"Mar 05, 2020",57.80,58.17,56.19,56.74,56.25,17948500
"Mar 04, 2020",56.41,59.00,56.41,58.92,58.41,20526100
"Mar 03, 2020",56.76,57.49,55.64,56.06,55.57,27099200
"Mar 02, 2020",53.93,55.96,53.70,55.92,55.43,25698600
"Feb 28, 2020",53.83,53.89,51.58,53.49,53.02,40891800
"Feb 27, 2020",57.15,57.89,54.88,54.93,54.45,23754000
"Feb 26, 2020",57.98,58.47,57.48,57.60,57.10,15837800
"Feb 25, 2020",58.70,59.20,57.62,57.82,57.32,15915100
"Feb 24, 2020",59.11,59.80,58.57,58.65,58.14,14415500
"Feb 21, 2020",59.51,60.13,59.43,60.13,59.61,10842400
"Feb 20, 2020",59.68,59.86,59.11,59.72,59.20,7597200
"Feb 19, 2020",59.51,60.00,59.47,59.77,59.25,6265700
"Feb 18, 2020",59.81,59.93,59.45,59.53,59.01,10075700
"Feb 14, 2020",59.63,60.07,59.62,59.95,59.43,9965500
"Feb 13, 2020",59.38,59.84,59.21,59.61,59.09,8173200
"Feb 12, 2020",59.48,59.77,59.32,59.41,58.89,9179100
"Feb 11, 2020",59.72,59.80,59.32,59.59,59.07,7431200
"Feb 10, 2020",59.32,59.84,59.29,59.75,59.23,7984900
"Feb 07, 2020",58.88,59.32,58.85,59.19,58.68,8757800
"Feb 06, 2020",58.98,59.34,58.84,58.99,58.48,9347000
"Feb 05, 2020",58.90,59.08,58.54,58.85,58.34,11414900
"Feb 04, 2020",58.75,59.45,58.62,58.84,58.33,15417900
"Feb 03, 2020",58.75,58.97,58.52,58.58,58.07,12336800
"Jan 31, 2020",58.97,59.08,58.15,58.40,57.89,17685200
"Jan 30, 2020",57.93,58.98,57.76,58.86,58.35,20225600
"Jan 29, 2020",57.00,57.26,56.66,57.01,56.51,13163600
"Jan 28, 2020",57.45,57.75,56.97,57.01,56.51,15240200
"Jan 27, 2020",57.21,57.85,57.13,57.48,56.98,14359900
"Jan 24, 2020",57.85,57.87,57.46,57.68,57.18,8594300
"Jan 23, 2020",57.38,57.85,57.24,57.83,57.33,12858900
"Jan 22, 2020",57.25,57.64,57.18,57.61,57.11,12869600
"Jan 21, 2020",56.85,57.25,56.57,57.17,56.67,11968900
"Jan 17, 2020",56.87,57.15,56.80,56.94,56.44,14264300
"Jan 16, 2020",56.85,56.95,56.61,56.82,56.33,10234100
"Jan 15, 2020",56.00,56.98,56.00,56.70,56.21,17735400
"Jan 14, 2020",56.24,56.29,55.83,56.00,55.51,16345300
"Jan 13, 2020",55.53,56.23,55.42,56.13,55.64,14302900
"Jan 10, 2020",55.48,55.93,55.45,55.53,55.05,13040100
"Jan 09, 2020",55.00,55.40,54.84,55.34,54.86,15398000
"Jan 08, 2020",54.27,54.64,54.15,54.35,53.88,10676000
"Jan 07, 2020",54.45,54.60,54.15,54.25,53.78,9973900
"Jan 06, 2020",54.65,54.91,54.52,54.67,54.19,14698300
"Jan 03, 2020",54.32,54.99,54.09,54.69,54.21,11354500
"Jan 02, 2020",55.32,55.43,54.76,54.99,54.51,11867700
"Dec 31, 2019",55.20,55.38,54.98,55.35,54.87,7982600
"Dec 30, 2019",55.18,55.39,55.06,55.27,54.79,6431700
"Dec 27, 2019",55.01,55.45,55.00,55.35,54.87,6895500
"Dec 26, 2019",54.92,55.02,54.79,55.02,54.54,6228500
"Dec 24, 2019",54.80,55.00,54.64,54.71,54.23,3359300
"Dec 23, 2019",55.00,55.24,54.84,54.91,54.43,9300800
"Dec 20, 2019",54.94,55.20,54.47,54.97,54.49,23832800
"Dec 19, 2019",54.04,54.34,53.92,54.32,53.85,13385900
"Dec 18, 2019",54.53,54.75,53.89,53.91,53.44,15132100
"Dec 17, 2019",54.40,54.58,54.29,54.42,53.95,9230000
"Dec 16, 2019",54.69,54.83,54.37,54.42,53.95,9538100
"Dec 13, 2019",53.94,54.55,53.84,54.42,53.95,13072200
"Dec 12, 2019",54.01,54.45,53.94,54.14,53.67,11233300
"Dec 11, 2019",53.94,54.15,53.66,53.95,53.48,8879100
"Dec 10, 2019",54.04,54.07,53.73,53.77,53.30,8993900
"Dec 09, 2019",54.30,54.51,54.02,54.07,53.60,13887200
"Dec 06, 2019",54.31,54.50,54.17,54.42,53.95,7843500
"Dec 05, 2019",54.21,54.29,53.83,54.19,53.72,14068100
"Dec 04, 2019",53.80,54.31,53.72,54.29,53.82,13624000
"Dec 03, 2019",53.71,53.84,53.40,53.80,53.33,14498300
"Dec 02, 2019",53.32,53.75,52.85,53.75,53.28,13173800
"Nov 29, 2019",53.70,53.73,53.22,53.40,52.94,7222300
"Nov 29, 2019",0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend,0.4 Dividend
"Nov 27, 2019",53.93,54.10,53.60,53.95,53.08,9595200
"Nov 26, 2019",53.31,53.94,53.22,53.90,53.04,13219800
"Nov 25, 2019",53.28,53.39,52.77,53.22,52.37,10963500
"Nov 22, 2019",52.96,53.19,52.75,53.03,52.18,9113300
"Nov 21, 2019",53.11,53.34,52.78,52.96,52.11,7856100
"Nov 20, 2019",53.10,53.40,53.01,53.22,52.37,11970300
"Nov 19, 2019",53.15,53.31,52.87,53.08,52.23,12679500
"Nov 18, 2019",52.68,53.44,52.67,53.03,52.18,13782000
"Nov 15, 2019",52.64,52.68,52.38,52.67,51.82,8982400
"Nov 14, 2019",52.53,52.67,52.35,52.63,51.79,8660300
"Nov 13, 2019",52.18,52.45,51.96,52.41,51.57,12257900
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
