Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",39.01,39.30,37.73,38.48,38.48,171900
"Apr 02, 2020",37.95,40.23,37.87,39.35,39.35,125600
"Apr 01, 2020",39.23,39.23,37.95,38.09,38.09,131800
"Mar 31, 2020",39.66,41.74,39.42,40.23,40.23,122400
"Mar 30, 2020",39.40,39.65,38.07,39.46,39.46,117100
"Mar 27, 2020",41.00,41.20,38.62,38.82,38.82,255800
"Mar 26, 2020",41.25,42.84,40.81,42.15,42.15,169100
"Mar 25, 2020",39.45,42.32,38.72,40.90,40.90,168400
"Mar 24, 2020",39.44,40.68,38.00,39.03,39.03,190800
"Mar 23, 2020",40.68,40.68,38.06,38.44,38.44,199800
"Mar 20, 2020",43.79,44.16,40.46,41.05,41.05,302900
"Mar 19, 2020",43.03,43.97,42.10,43.63,43.63,201700
"Mar 18, 2020",44.89,45.09,42.76,43.29,43.29,150500
"Mar 17, 2020",44.06,48.12,43.19,46.79,46.79,246700
"Mar 16, 2020",44.57,44.57,42.29,43.35,43.35,196400
"Mar 13, 2020",47.23,48.00,44.15,47.55,47.55,359300
"Mar 12, 2020",46.25,46.25,43.03,45.30,45.30,257300
"Mar 11, 2020",48.12,48.86,47.32,47.55,47.55,336400
"Mar 10, 2020",49.58,50.04,48.32,49.12,49.12,183700
"Mar 09, 2020",51.98,52.50,47.49,48.58,48.58,340700
"Mar 06, 2020",53.73,54.34,53.73,53.98,53.98,214600
"Mar 05, 2020",55.43,55.72,54.68,54.99,54.99,199700
"Mar 04, 2020",56.45,56.57,55.47,56.47,56.47,91400
"Mar 03, 2020",56.27,57.73,55.24,55.68,55.68,167100
"Mar 02, 2020",55.46,57.18,55.36,56.39,56.39,167900
"Feb 28, 2020",56.52,56.71,54.68,55.53,55.53,303400
"Feb 27, 2020",60.32,60.32,57.83,57.94,57.94,242600
"Feb 26, 2020",61.05,61.37,60.33,60.52,60.52,120800
"Feb 25, 2020",62.21,62.34,61.15,61.22,61.22,172000
"Feb 24, 2020",62.30,62.33,61.32,62.02,62.02,117400
"Feb 21, 2020",62.20,64.37,61.76,64.09,64.09,272900
"Feb 20, 2020",64.23,64.23,62.27,62.46,62.46,111700
"Feb 19, 2020",64.66,64.69,64.20,64.22,64.22,99500
"Feb 18, 2020",64.46,64.83,64.25,64.47,64.47,97000
"Feb 14, 2020",64.51,64.58,63.97,64.46,64.46,68900
"Feb 13, 2020",64.20,64.52,63.56,64.13,64.13,78400
"Feb 12, 2020",65.10,65.49,64.31,64.52,64.52,168400
"Feb 11, 2020",64.24,65.18,64.16,64.95,64.95,65300
"Feb 10, 2020",64.11,64.49,64.06,64.28,64.28,222500
"Feb 07, 2020",63.83,64.32,63.12,64.08,64.08,85200
"Feb 06, 2020",63.53,64.31,63.02,63.79,63.79,166000
"Feb 05, 2020",62.97,64.08,62.97,63.52,63.52,180400
"Feb 04, 2020",62.35,63.14,62.10,62.78,62.78,173500
"Feb 03, 2020",61.39,62.13,61.17,61.61,61.61,90200
"Jan 31, 2020",61.65,61.65,60.26,60.95,60.95,154700
"Jan 30, 2020",61.72,61.72,60.84,61.56,61.56,66300
"Jan 29, 2020",61.61,62.20,60.90,61.91,61.91,92500
"Jan 28, 2020",61.02,61.75,60.96,61.59,61.59,64800
"Jan 27, 2020",61.76,61.96,60.76,60.79,60.79,50200
"Jan 24, 2020",63.10,63.26,62.72,62.72,62.72,56600
"Jan 23, 2020",63.89,63.89,62.67,62.80,62.80,142900
"Jan 22, 2020",62.61,64.09,62.61,64.00,64.00,181300
"Jan 21, 2020",61.80,62.73,61.73,61.98,61.98,152700
"Jan 17, 2020",61.50,62.18,61.06,61.95,61.95,233300
"Jan 16, 2020",60.39,61.25,60.39,61.04,61.04,146300
"Jan 15, 2020",60.88,61.11,60.36,60.42,60.42,68500
"Jan 14, 2020",60.91,60.91,60.32,60.70,60.70,80000
"Jan 13, 2020",60.61,60.88,60.29,60.78,60.78,102500
"Jan 10, 2020",60.78,61.10,60.44,60.56,60.56,66300
"Jan 09, 2020",61.70,61.70,60.50,60.60,60.60,85500
"Jan 08, 2020",61.53,61.59,60.94,61.12,61.12,83200
"Jan 07, 2020",61.75,61.84,60.95,61.13,61.13,120700
"Jan 06, 2020",61.50,61.58,60.98,61.29,61.29,42300
"Jan 03, 2020",61.10,61.55,60.91,61.37,61.37,159300
"Jan 02, 2020",60.71,61.39,60.71,61.35,61.35,74500
"Dec 31, 2019",60.43,60.93,60.43,60.62,60.62,84900
"Dec 30, 2019",60.83,60.89,60.42,60.47,60.47,69800
"Dec 27, 2019",61.01,61.65,60.73,60.95,60.95,71400
"Dec 26, 2019",60.64,61.01,60.41,60.77,60.77,26600
"Dec 24, 2019",60.74,60.85,60.42,60.58,60.58,34600
"Dec 23, 2019",62.32,62.32,60.28,60.74,60.74,97300
"Dec 20, 2019",61.59,62.04,60.63,61.75,61.75,156000
"Dec 19, 2019",61.94,61.94,61.30,61.56,61.56,75800
"Dec 18, 2019",60.42,62.09,60.39,61.94,61.94,75700
"Dec 17, 2019",60.28,60.89,60.17,60.59,60.59,73400
"Dec 16, 2019",60.74,60.74,59.99,60.35,60.35,49000
"Dec 13, 2019",59.23,60.90,59.23,60.57,60.57,79800
"Dec 12, 2019",58.72,59.59,58.72,59.19,59.19,37800
"Dec 11, 2019",57.97,59.38,57.84,58.91,58.91,110800
"Dec 10, 2019",57.85,58.42,57.66,57.76,57.76,101200
"Dec 09, 2019",57.44,58.34,57.44,58.18,58.18,61900
"Dec 06, 2019",57.62,57.66,56.98,57.49,57.49,72000
"Dec 05, 2019",57.53,57.86,56.98,57.30,57.30,117500
"Dec 04, 2019",57.13,57.55,57.02,57.28,57.28,90300
"Dec 03, 2019",57.18,57.58,56.92,56.96,56.96,123100
"Dec 02, 2019",58.07,58.13,57.06,57.40,57.40,219600
"Nov 29, 2019",57.78,58.06,57.51,57.81,57.81,67800
"Nov 27, 2019",57.88,58.05,57.35,57.74,57.74,181100
"Nov 26, 2019",57.93,58.26,57.50,57.80,57.80,198400
"Nov 25, 2019",57.63,58.49,57.63,58.07,58.07,70200
"Nov 22, 2019",57.93,58.30,57.55,57.71,57.71,83100
"Nov 21, 2019",57.92,58.40,57.53,58.22,58.22,95400
"Nov 20, 2019",57.51,58.40,57.27,57.68,57.68,129700
"Nov 19, 2019",57.89,58.33,57.73,57.78,57.78,151000
"Nov 18, 2019",59.00,59.15,57.90,58.06,58.06,97300
"Nov 15, 2019",58.69,59.35,58.69,58.89,58.89,134200
"Nov 14, 2019",57.60,58.46,57.60,58.30,58.30,68700
"Nov 13, 2019",57.39,57.80,57.30,57.72,57.72,82200
"Nov 12, 2019",58.04,58.04,57.65,57.66,57.66,97500
"Nov 11, 2019",57.80,57.95,57.54,57.91,57.91,46000
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
