Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",50.36,51.14,49.83,50.79,50.79,7788500
"Apr 02, 2020",48.25,50.68,48.05,50.38,50.38,6818100
"Apr 01, 2020",48.38,49.90,48.00,48.68,48.68,9069100
"Mar 31, 2020",51.41,51.43,49.93,50.08,50.08,9248700
"Mar 30, 2020",48.81,51.41,48.21,51.13,51.13,8356600
"Mar 30, 2020",0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend
"Mar 27, 2020",47.42,49.27,47.12,47.89,47.60,8254400
"Mar 26, 2020",46.11,49.24,46.00,48.90,48.61,11595300
"Mar 25, 2020",46.46,47.76,45.81,46.11,45.84,12419800
"Mar 24, 2020",44.08,47.26,42.95,46.66,46.38,12476200
"Mar 23, 2020",43.32,45.02,41.19,41.93,41.68,13466900
"Mar 20, 2020",46.06,46.21,42.85,43.32,43.06,16245900
"Mar 19, 2020",46.91,47.29,43.19,45.47,45.20,15194400
"Mar 18, 2020",45.37,48.12,43.19,46.55,46.27,15316300
"Mar 17, 2020",45.85,49.72,44.73,48.82,48.53,15149300
"Mar 16, 2020",46.41,47.39,44.74,45.10,44.83,12679500
"Mar 13, 2020",49.64,50.94,47.21,50.92,50.62,15074300
"Mar 12, 2020",49.23,50.52,46.57,47.51,47.23,15533000
"Mar 11, 2020",53.41,53.69,51.41,52.34,52.03,14984300
"Mar 10, 2020",54.99,55.49,52.33,54.91,54.58,16742300
"Mar 09, 2020",52.55,54.86,52.07,53.94,53.62,15615200
"Mar 06, 2020",54.47,55.98,54.29,55.66,55.33,9781200
"Mar 05, 2020",56.82,57.30,56.08,56.86,56.52,10517000
"Mar 04, 2020",55.62,58.13,55.49,58.01,57.66,12787200
"Mar 03, 2020",55.42,56.90,54.39,54.79,54.46,13008200
"Mar 02, 2020",52.63,55.63,52.49,55.60,55.27,12252600
"Feb 28, 2020",53.17,53.32,51.56,52.80,52.49,14447200
"Feb 27, 2020",56.54,57.22,54.42,54.46,54.14,14101000
"Feb 26, 2020",57.32,58.00,56.80,56.86,56.52,9745500
"Feb 25, 2020",57.72,58.27,56.87,57.02,56.68,7636500
"Feb 24, 2020",58.19,58.72,57.61,57.74,57.40,6232200
"Feb 21, 2020",58.85,59.20,58.65,58.75,58.40,5709000
"Feb 20, 2020",58.93,59.34,58.53,59.04,58.69,5008600
"Feb 19, 2020",59.85,59.96,59.24,59.30,58.95,5448300
"Feb 18, 2020",58.96,59.89,58.94,59.66,59.30,6972600
"Feb 14, 2020",59.17,59.73,58.85,59.68,59.32,4959000
"Feb 13, 2020",58.93,59.06,58.55,59.03,58.68,5872000
"Feb 12, 2020",59.08,59.53,58.31,58.95,58.60,7041400
"Feb 11, 2020",59.02,59.16,58.72,58.87,58.52,4446600
"Feb 10, 2020",58.47,59.11,58.40,58.97,58.62,5561900
"Feb 07, 2020",58.48,59.22,58.37,58.66,58.31,5942000
"Feb 06, 2020",57.53,58.52,57.50,58.42,58.07,5181000
"Feb 05, 2020",57.76,58.18,57.52,57.92,57.58,7629300
"Feb 04, 2020",57.91,58.00,57.32,57.43,57.09,7231700
"Feb 03, 2020",57.79,57.84,57.13,57.55,57.21,7686400
"Jan 31, 2020",58.47,59.43,57.16,57.38,57.04,14070000
"Jan 30, 2020",56.02,58.93,55.86,58.80,58.45,18286100
"Jan 29, 2020",54.88,55.00,54.50,54.56,54.24,5570500
"Jan 28, 2020",54.56,55.13,54.56,54.85,54.52,7426100
"Jan 27, 2020",54.87,55.15,54.59,54.69,54.36,5602900
"Jan 24, 2020",55.53,55.74,54.86,55.09,54.76,5916400
"Jan 23, 2020",55.35,55.65,55.10,55.44,55.11,6536600
"Jan 22, 2020",55.74,55.94,55.44,55.47,55.14,4505300
"Jan 21, 2020",54.96,55.84,54.84,55.54,55.21,9152600
"Jan 17, 2020",55.14,55.38,55.02,55.16,54.83,9336300
"Jan 16, 2020",54.83,55.34,54.79,55.19,54.86,5481700
"Jan 15, 2020",54.53,54.98,54.31,54.74,54.41,5681700
"Jan 14, 2020",54.63,54.67,54.04,54.19,53.87,5984200
"Jan 13, 2020",54.36,54.61,54.32,54.59,54.27,7528600
"Jan 10, 2020",54.47,54.48,54.14,54.25,53.93,4639000
"Jan 09, 2020",54.09,54.38,53.93,54.19,53.87,5653900
"Jan 08, 2020",54.03,54.42,53.91,54.05,53.73,5435400
"Jan 07, 2020",54.05,54.08,53.57,53.92,53.60,6716300
"Jan 06, 2020",54.39,54.48,53.85,54.15,53.83,5906400
"Jan 03, 2020",54.00,54.57,53.96,54.24,53.92,6791700
"Jan 02, 2020",55.06,55.35,54.11,54.33,54.01,7272900
"Dec 31, 2019",55.05,55.14,54.76,55.08,54.75,5039500
"Dec 30, 2019",54.92,55.07,54.57,55.00,54.67,3104000
"Dec 30, 2019",0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend
"Dec 27, 2019",54.93,55.33,54.80,55.28,54.67,4229300
"Dec 26, 2019",54.97,55.07,54.72,54.85,54.24,3565400
"Dec 24, 2019",54.94,55.18,54.74,54.99,54.38,1833800
"Dec 23, 2019",55.47,55.48,54.64,54.73,54.12,7173500
"Dec 20, 2019",55.11,55.53,55.00,55.40,54.79,12464400
"Dec 19, 2019",54.77,55.29,54.56,55.15,54.54,6582700
"Dec 18, 2019",54.40,54.81,54.40,54.53,53.93,6938900
"Dec 17, 2019",53.66,54.14,53.54,54.09,53.49,7114600
"Dec 16, 2019",53.48,53.75,53.35,53.71,53.12,6690600
"Dec 13, 2019",52.86,53.51,52.57,53.24,52.65,6456200
"Dec 12, 2019",53.83,53.89,52.74,52.98,52.39,8056300
"Dec 11, 2019",54.22,54.28,53.80,53.93,53.33,5247300
"Dec 10, 2019",54.32,54.46,54.02,54.06,53.46,4258100
"Dec 09, 2019",53.85,54.31,53.85,54.17,53.57,5842800
"Dec 06, 2019",53.90,54.12,53.70,53.84,53.24,5047200
"Dec 05, 2019",53.40,53.87,53.21,53.81,53.21,5356100
"Dec 04, 2019",52.88,53.45,52.77,53.34,52.75,5537500
"Dec 03, 2019",53.03,53.15,52.48,53.13,52.54,8440100
"Dec 02, 2019",52.40,52.85,52.12,52.84,52.25,6162000
"Nov 29, 2019",53.10,53.10,52.23,52.54,51.96,4424700
"Nov 27, 2019",52.73,53.04,52.44,52.73,52.15,5210900
"Nov 26, 2019",52.10,52.65,51.95,52.62,52.04,7632300
"Nov 25, 2019",51.85,52.08,51.70,52.04,51.46,5633900
"Nov 22, 2019",52.31,52.33,51.43,51.80,51.23,3863500
"Nov 21, 2019",52.26,52.34,51.95,52.07,51.49,3848400
"Nov 20, 2019",52.67,52.79,52.16,52.41,51.83,4382000
"Nov 19, 2019",53.03,53.22,52.57,52.71,52.13,4760600
"Nov 18, 2019",52.63,53.41,52.63,53.08,52.49,5052600
"Nov 15, 2019",53.06,53.10,52.38,52.82,52.23,5060000
"Nov 14, 2019",52.74,52.93,52.52,52.90,52.31,5393300
"Nov 13, 2019",52.08,52.83,51.84,52.70,52.12,5811800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
