Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",54.52,54.93,53.67,54.22,54.22,2787100
"Apr 02, 2020",52.71,55.20,52.39,55.06,55.06,3088100
"Apr 01, 2020",54.37,54.48,52.73,53.10,53.10,3815900
"Mar 31, 2020",56.08,58.00,55.96,56.26,56.26,2879400
"Mar 30, 2020",56.17,58.32,55.60,58.00,58.00,3625200
"Mar 27, 2020",56.09,58.09,56.00,56.39,56.39,3997900
"Mar 26, 2020",54.00,58.33,53.82,57.84,57.84,5455200
"Mar 25, 2020",53.71,55.10,52.66,53.66,53.66,4715900
"Mar 24, 2020",53.53,54.47,51.39,53.73,53.73,7752300
"Mar 23, 2020",52.11,53.34,50.75,50.97,50.97,5705700
"Mar 20, 2020",55.05,55.83,50.06,52.10,52.10,5791700
"Mar 19, 2020",55.71,57.15,51.51,54.32,54.32,6263100
"Mar 18, 2020",57.63,57.63,50.51,55.89,55.89,6467000
"Mar 17, 2020",58.83,60.45,57.61,59.74,59.74,6056400
"Mar 16, 2020",56.20,60.87,54.78,57.44,57.44,6075200
"Mar 13, 2020",59.80,62.50,58.59,62.39,62.39,7748600
"Mar 12, 2020",58.00,60.79,56.63,57.39,57.39,7600500
"Mar 11, 2020",64.00,64.74,60.49,61.81,61.81,6512700
"Mar 10, 2020",63.50,66.21,62.91,66.13,66.13,8481000
"Mar 09, 2020",62.07,62.97,61.05,61.86,61.86,5468900
"Mar 06, 2020",64.83,66.45,64.34,66.19,66.19,6143800
"Mar 05, 2020",66.37,68.83,66.08,67.13,67.13,5455400
"Mar 04, 2020",65.02,68.14,64.53,68.05,68.05,6529900
"Mar 03, 2020",64.29,66.17,63.13,63.78,63.78,5292000
"Mar 02, 2020",62.12,64.84,61.28,64.77,64.77,4547200
"Feb 28, 2020",64.82,65.04,61.22,62.41,62.41,7217500
"Feb 27, 2020",65.74,65.94,63.44,63.74,63.74,7126500
"Feb 26, 2020",67.11,67.75,65.87,65.88,65.88,3500500
"Feb 25, 2020",68.38,68.51,66.44,66.62,66.62,2842300
"Feb 24, 2020",69.67,70.19,67.79,68.19,68.19,3311000
"Feb 21, 2020",70.02,70.20,69.45,69.74,69.74,2973300
"Feb 20, 2020",69.83,70.45,69.00,70.40,70.40,3325100
"Feb 19, 2020",69.72,70.52,69.60,70.08,70.08,3222400
"Feb 18, 2020",69.43,69.97,69.36,69.60,69.60,2386600
"Feb 14, 2020",69.68,69.94,69.40,69.86,69.86,2659300
"Feb 13, 2020",69.25,69.83,69.15,69.69,69.69,1945100
"Feb 12, 2020",69.19,69.60,68.61,69.25,69.25,1562900
"Feb 11, 2020",69.26,69.45,68.80,69.15,69.15,2160600
"Feb 10, 2020",68.82,69.48,68.82,69.17,69.17,3272400
"Feb 07, 2020",69.31,69.66,68.88,68.91,68.91,2392900
"Feb 06, 2020",69.42,69.54,68.80,69.45,69.45,4301000
"Feb 05, 2020",69.25,69.74,68.80,68.95,68.95,2919200
"Feb 04, 2020",67.62,69.44,67.62,68.88,68.88,5786000
"Feb 03, 2020",68.87,68.93,67.39,67.42,67.42,4519500
"Jan 31, 2020",66.83,67.48,66.21,66.60,66.60,3366300
"Jan 30, 2020",66.30,67.14,65.80,67.01,67.01,2494300
"Jan 29, 2020",66.74,66.91,66.26,66.55,66.55,1849300
"Jan 28, 2020",66.61,67.11,66.61,66.88,66.88,2714700
"Jan 27, 2020",66.56,67.06,66.33,66.60,66.60,2239500
"Jan 24, 2020",68.00,68.01,66.93,67.10,67.10,2349400
"Jan 23, 2020",67.34,67.95,67.15,67.77,67.77,2238500
"Jan 22, 2020",66.94,67.50,66.72,67.49,67.49,1989900
"Jan 21, 2020",67.29,67.41,66.40,66.82,66.82,2375500
"Jan 17, 2020",67.20,67.62,66.69,67.31,67.31,4423100
"Jan 16, 2020",66.15,67.17,65.97,67.10,67.10,2614400
"Jan 15, 2020",65.61,66.16,65.22,65.88,65.88,2947100
"Jan 14, 2020",65.54,65.87,65.29,65.58,65.58,2884400
"Jan 13, 2020",65.40,65.71,64.66,65.53,65.53,2709900
"Jan 10, 2020",64.68,66.19,64.50,65.34,65.34,4468200
"Jan 09, 2020",64.16,64.34,63.72,64.25,64.25,3306500
"Jan 08, 2020",63.70,64.06,63.37,63.82,63.82,3026800
"Jan 07, 2020",63.87,64.14,63.54,63.69,63.69,3367800
"Jan 06, 2020",62.99,63.53,62.99,63.38,63.38,2234600
"Jan 03, 2020",63.12,63.61,62.87,63.28,63.28,1741100
"Jan 02, 2020",63.96,64.02,63.31,63.70,63.70,1783000
"Dec 31, 2019",63.46,63.75,63.18,63.55,63.55,1670900
"Dec 30, 2019",63.42,63.74,63.02,63.36,63.36,1655300
"Dec 27, 2019",63.94,64.07,63.48,63.57,63.57,2265000
"Dec 26, 2019",63.76,63.93,63.45,63.88,63.88,1638500
"Dec 24, 2019",63.53,63.80,63.39,63.47,63.47,660200
"Dec 23, 2019",64.14,64.14,63.32,63.36,63.36,2485200
"Dec 20, 2019",63.62,64.02,63.21,63.92,63.92,7353900
"Dec 19, 2019",62.76,63.58,62.65,63.47,63.47,2824800
"Dec 18, 2019",63.06,63.29,62.40,62.86,62.86,2733200
"Dec 17, 2019",62.46,62.90,61.82,62.77,62.77,1905300
"Dec 16, 2019",62.44,62.80,62.02,62.49,62.49,1676200
"Dec 13, 2019",62.10,62.48,61.80,62.21,62.21,2191500
"Dec 12, 2019",62.28,62.70,61.91,62.24,62.24,2865600
"Dec 11, 2019",61.62,62.51,61.32,62.43,62.43,3247000
"Dec 10, 2019",60.75,61.55,60.57,61.51,61.51,5684400
"Dec 09, 2019",60.10,60.66,59.57,60.49,60.49,2668400
"Dec 06, 2019",60.07,60.41,59.72,60.04,60.04,2616900
"Dec 05, 2019",60.27,60.29,59.44,59.92,59.92,2949100
"Dec 04, 2019",58.89,60.47,58.89,60.39,60.39,2491200
"Dec 03, 2019",59.24,59.78,58.46,58.99,58.99,2663900
"Dec 02, 2019",59.76,59.88,59.37,59.81,59.81,2182300
"Nov 29, 2019",59.96,60.11,59.56,59.82,59.82,1099400
"Nov 27, 2019",59.82,60.28,59.70,60.09,60.09,1726900
"Nov 26, 2019",58.79,60.00,58.48,59.64,59.64,2585500
"Nov 25, 2019",58.85,59.23,58.28,58.66,58.66,1587400
"Nov 22, 2019",58.57,58.90,57.96,58.63,58.63,1483300
"Nov 21, 2019",57.92,58.41,57.59,58.40,58.40,2087800
"Nov 20, 2019",58.67,58.97,57.92,58.00,58.00,2484800
"Nov 19, 2019",59.16,59.34,58.56,58.56,58.56,1712000
"Nov 18, 2019",58.54,59.65,58.13,59.03,59.03,2890800
"Nov 15, 2019",59.24,59.38,58.09,58.64,58.64,2521100
"Nov 14, 2019",59.15,59.16,58.68,58.93,58.93,2543900
"Nov 13, 2019",58.29,59.15,58.05,58.95,58.95,2532800
"Nov 12, 2019",57.50,58.49,57.17,58.40,58.40,3551200
"Nov 11, 2019",58.01,58.64,57.10,58.03,58.03,2694300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
