Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",36.61,37.70,36.15,37.41,37.41,10336900
"Apr 02, 2020",36.13,36.55,35.34,36.22,36.22,14393600
"Apr 01, 2020",36.85,37.98,36.69,37.61,37.61,18310500
"Mar 31, 2020",36.76,38.96,36.75,38.67,38.67,15865800
"Mar 30, 2020",36.88,37.92,36.37,37.31,37.31,18352900
"Mar 27, 2020",34.50,38.04,34.05,36.64,36.64,14679500
"Mar 26, 2020",34.64,36.82,34.64,36.64,36.64,14403400
"Mar 25, 2020",32.23,36.14,31.71,34.37,34.37,21540900
"Mar 24, 2020",32.13,33.34,31.77,32.38,32.38,21746000
"Mar 24, 2020",0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend
"Mar 23, 2020",32.92,33.26,30.95,31.38,30.54,24246000
"Mar 20, 2020",36.16,36.98,34.14,34.28,33.36,21595700
"Mar 19, 2020",37.63,37.63,34.83,37.10,36.11,15889800
"Mar 18, 2020",37.50,39.00,35.00,38.32,37.29,18217800
"Mar 17, 2020",38.90,40.58,38.13,39.85,38.78,16972000
"Mar 16, 2020",35.93,41.26,34.38,38.22,37.20,18032100
"Mar 13, 2020",38.25,40.20,36.73,40.07,39.00,16308900
"Mar 12, 2020",37.47,38.60,35.78,36.42,35.45,19322800
"Mar 11, 2020",40.85,41.55,40.14,40.48,39.40,16557300
"Mar 10, 2020",41.47,42.52,40.42,42.15,41.02,20532700
"Mar 09, 2020",39.80,41.77,39.44,40.34,39.26,16480100
"Mar 06, 2020",41.86,42.45,41.12,42.15,41.02,15485300
"Mar 05, 2020",42.73,43.88,42.54,43.16,42.00,11502300
"Mar 04, 2020",42.40,43.95,42.09,43.93,42.75,12612900
"Mar 03, 2020",42.16,43.60,41.47,41.90,40.78,18031600
"Mar 02, 2020",40.46,42.08,40.06,42.07,40.94,14560000
"Feb 28, 2020",39.37,40.50,38.57,40.37,39.29,24002300
"Feb 27, 2020",41.85,42.47,40.30,40.30,39.22,13884500
"Feb 26, 2020",42.39,43.10,42.11,42.12,40.99,14293000
"Feb 25, 2020",43.71,44.26,42.32,42.49,41.35,12475900
"Feb 24, 2020",45.29,45.69,43.58,43.80,42.63,18907800
"Feb 21, 2020",45.39,46.22,45.32,45.89,44.66,9367800
"Feb 20, 2020",45.09,45.65,44.94,45.56,44.34,5242900
"Feb 19, 2020",45.25,45.48,44.94,45.14,43.93,5888600
"Feb 18, 2020",45.10,45.53,45.02,45.22,44.01,12033800
"Feb 14, 2020",45.72,45.78,44.91,45.17,43.96,9026000
"Feb 13, 2020",45.42,45.91,44.97,45.65,44.43,6111300
"Feb 12, 2020",45.57,45.65,44.86,45.40,44.18,10533000
"Feb 11, 2020",46.08,46.19,45.46,45.57,44.35,9814000
"Feb 10, 2020",46.15,46.68,45.94,46.20,44.96,6272100
"Feb 07, 2020",46.66,46.67,45.73,46.22,44.98,7138300
"Feb 06, 2020",46.50,46.96,46.42,46.66,45.41,8763500
"Feb 05, 2020",46.52,47.14,46.15,46.28,45.04,13515300
"Feb 04, 2020",47.12,47.23,46.50,46.52,45.27,10126000
"Feb 03, 2020",47.52,47.70,46.19,46.26,45.02,10197600
"Jan 31, 2020",48.25,48.80,47.24,47.53,46.26,11794000
"Jan 30, 2020",49.07,49.15,46.33,48.00,46.72,17717800
"Jan 29, 2020",50.37,50.77,50.08,50.11,48.77,6318000
"Jan 28, 2020",49.69,50.30,49.45,50.17,48.83,9545300
"Jan 27, 2020",49.72,50.08,49.61,49.77,48.44,7419900
"Jan 24, 2020",50.49,50.60,50.03,50.25,48.90,10049500
"Jan 23, 2020",50.82,51.04,50.39,50.56,49.21,5699000
"Jan 22, 2020",51.04,51.47,51.01,51.03,49.66,7300100
"Jan 21, 2020",50.91,51.31,50.51,51.09,49.72,10192400
"Jan 17, 2020",51.16,51.37,50.83,51.02,49.65,11468200
"Jan 16, 2020",51.33,51.46,50.99,51.09,49.72,7159100
"Jan 15, 2020",50.85,51.78,50.77,51.25,49.88,6748300
"Jan 14, 2020",50.69,50.91,50.56,50.87,49.51,8455900
"Jan 13, 2020",50.15,51.12,50.00,50.76,49.40,7776400
"Jan 10, 2020",50.94,51.07,50.21,50.22,48.88,6049700
"Jan 09, 2020",50.30,50.67,50.06,50.57,49.22,6449500
"Jan 08, 2020",49.79,50.28,49.58,50.08,48.74,5987200
"Jan 07, 2020",49.56,49.93,49.32,49.57,48.24,6423600
"Jan 06, 2020",49.63,50.07,49.43,49.83,48.50,6532500
"Jan 03, 2020",49.17,49.95,49.16,49.63,48.30,7850700
"Jan 02, 2020",50.19,50.34,49.05,49.25,47.93,8717200
"Dec 31, 2019",49.80,49.98,49.62,49.91,48.57,5978800
"Dec 30, 2019",50.32,50.47,49.75,49.89,48.55,6691000
"Dec 27, 2019",50.31,50.51,50.12,50.40,49.05,7700500
"Dec 26, 2019",50.31,50.80,50.27,50.40,49.05,7351000
"Dec 24, 2019",50.76,50.80,50.26,50.28,48.93,3684500
"Dec 24, 2019",0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend,0.84 Dividend
"Dec 23, 2019",51.25,51.63,51.12,51.55,49.35,8046000
"Dec 20, 2019",51.46,51.73,51.05,51.13,48.95,21655800
"Dec 19, 2019",51.45,51.55,50.70,50.79,48.62,9876200
"Dec 18, 2019",50.90,51.40,50.78,51.36,49.17,8097800
"Dec 17, 2019",50.55,51.09,50.44,50.83,48.66,9646600
"Dec 16, 2019",50.72,50.96,50.35,50.60,48.44,10791400
"Dec 13, 2019",49.90,50.38,49.90,50.16,48.02,6103700
"Dec 12, 2019",50.24,50.72,49.91,49.93,47.80,6433200
"Dec 11, 2019",50.00,50.51,50.00,50.30,48.16,6415000
"Dec 10, 2019",50.08,50.40,49.77,50.05,47.92,6073500
"Dec 09, 2019",50.38,50.90,50.30,50.53,48.38,5337000
"Dec 06, 2019",50.39,50.76,50.27,50.41,48.26,5144100
"Dec 05, 2019",50.03,50.33,49.67,50.17,48.03,7279200
"Dec 04, 2019",49.89,50.33,49.77,50.11,47.97,8266100
"Dec 03, 2019",50.46,50.74,49.71,50.10,47.96,9241600
"Dec 02, 2019",50.00,50.67,49.93,50.60,48.44,9551500
"Nov 29, 2019",49.62,49.81,49.52,49.70,47.58,2678500
"Nov 27, 2019",49.50,49.81,49.37,49.75,47.63,5679600
"Nov 26, 2019",49.12,49.55,48.77,49.22,47.12,10749600
"Nov 25, 2019",49.27,49.42,48.84,49.26,47.16,7685300
"Nov 22, 2019",48.87,49.07,48.45,49.00,46.91,9256900
"Nov 21, 2019",48.44,48.90,48.10,48.82,46.74,8500200
"Nov 20, 2019",46.79,49.86,46.64,48.45,46.38,15262900
"Nov 19, 2019",48.36,48.47,46.88,46.93,44.93,10280000
"Nov 18, 2019",47.97,48.60,47.63,48.34,46.28,11529900
"Nov 15, 2019",46.58,47.98,46.52,47.97,45.93,8329800
"Nov 14, 2019",46.95,47.12,46.59,46.63,44.64,6413400
