Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",123.19,125.37,122.44,124.59,124.59,5552000
"Apr 02, 2020",117.22,125.18,116.48,123.86,123.86,6181800
"Apr 01, 2020",117.27,122.30,115.67,118.12,118.12,6873000
"Mar 31, 2020",124.94,125.70,119.53,120.10,120.10,7091700
"Mar 30, 2020",121.61,125.84,121.51,125.48,125.48,6916800
"Mar 27, 2020",118.57,124.65,117.99,120.46,120.46,9852500
"Mar 26, 2020",112.71,121.80,112.58,120.26,120.26,10376800
"Mar 25, 2020",112.74,116.36,111.04,112.50,112.50,9485500
"Mar 24, 2020",109.93,114.43,109.37,113.84,113.84,11447000
"Mar 23, 2020",106.00,112.87,102.87,105.18,105.18,13926800
"Mar 20, 2020",118.24,118.45,101.42,103.93,103.93,13093200
"Mar 19, 2020",121.43,122.09,116.06,117.34,117.34,9393500
"Mar 18, 2020",120.84,127.72,113.77,120.92,120.92,15250800
"Mar 17, 2020",116.70,127.86,116.39,127.72,127.72,14242300
"Mar 16, 2020",114.69,123.82,112.00,113.09,113.09,10733300
"Mar 13, 2020",120.68,127.59,115.07,127.45,127.45,12007700
"Mar 12, 2020",122.10,125.00,113.59,115.34,115.34,12808300
"Mar 11, 2020",130.58,132.54,127.63,129.75,129.75,7465100
"Mar 10, 2020",132.05,134.57,126.86,134.14,134.14,8258600
"Mar 09, 2020",130.18,133.35,128.18,130.16,130.16,8716300
"Mar 06, 2020",131.56,138.17,131.45,137.26,137.26,6754900
"Mar 05, 2020",138.81,141.42,136.67,138.10,138.10,6579100
"Mar 05, 2020",0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend
"Mar 04, 2020",136.19,142.71,136.01,142.39,141.43,7635700
"Mar 03, 2020",137.19,139.67,134.74,135.58,134.67,8728300
"Mar 02, 2020",132.00,137.77,131.72,137.58,136.66,8504500
"Feb 28, 2020",133.24,133.75,128.35,132.03,131.14,14170000
"Feb 27, 2020",141.41,143.14,136.31,136.37,135.46,8605000
"Feb 26, 2020",142.44,143.75,141.16,141.98,141.03,6157200
"Feb 25, 2020",142.59,144.38,140.57,141.10,140.15,7585800
"Feb 24, 2020",145.86,147.15,142.56,142.64,141.68,5027700
"Feb 21, 2020",145.06,145.92,144.81,145.85,144.87,4271800
"Feb 20, 2020",145.77,145.80,143.95,145.16,144.19,2805900
"Feb 19, 2020",145.62,146.48,145.49,145.53,144.55,2978800
"Feb 18, 2020",147.11,147.20,145.40,145.60,144.62,4938700
"Feb 14, 2020",146.57,147.15,145.94,146.99,146.00,3555600
"Feb 13, 2020",145.25,147.13,143.52,146.47,145.49,5041400
"Feb 12, 2020",146.68,146.74,145.35,146.08,145.10,4217400
"Feb 11, 2020",146.21,146.36,144.87,146.08,145.10,3870500
"Feb 10, 2020",145.93,146.42,145.13,145.66,144.68,3775600
"Feb 07, 2020",144.26,145.72,143.83,145.37,144.40,3138500
"Feb 06, 2020",144.64,145.30,144.07,144.33,143.36,3571400
"Feb 05, 2020",143.68,144.59,143.43,144.30,143.33,3504900
"Feb 04, 2020",143.20,144.06,142.10,143.22,142.26,3494300
"Feb 03, 2020",142.77,143.07,141.84,142.51,141.55,3977800
"Jan 31, 2020",143.81,144.65,141.57,142.02,141.07,4753100
"Jan 30, 2020",142.32,143.96,141.52,143.83,142.87,4058500
"Jan 29, 2020",142.00,142.45,141.17,141.73,140.78,3263200
"Jan 28, 2020",142.13,142.92,141.76,142.44,141.48,2908300
"Jan 27, 2020",141.65,143.36,141.05,142.14,141.19,3895300
"Jan 24, 2020",143.83,144.15,142.45,142.92,141.96,2791500
"Jan 23, 2020",143.09,143.85,142.37,143.65,142.69,3915700
"Jan 22, 2020",141.81,143.57,141.72,143.38,142.42,5366100
"Jan 21, 2020",140.61,142.12,140.34,141.86,140.91,4440000
"Jan 17, 2020",140.10,141.32,139.90,141.26,140.31,6908700
"Jan 16, 2020",139.35,140.16,138.60,139.61,138.67,4977900
"Jan 15, 2020",137.04,139.25,136.80,139.20,138.27,5002600
"Jan 14, 2020",136.18,136.94,135.70,136.85,135.93,4159700
"Jan 13, 2020",134.65,136.59,134.63,136.53,135.61,5127200
"Jan 10, 2020",135.17,135.42,134.39,134.53,133.63,3099500
"Jan 09, 2020",135.29,135.38,134.53,134.79,133.89,3954700
"Jan 08, 2020",134.46,135.36,134.07,134.70,133.80,3681400
"Jan 07, 2020",136.00,136.07,133.95,134.01,133.11,5718100
"Jan 06, 2020",135.30,136.32,135.20,136.15,135.24,4085100
"Jan 03, 2020",135.46,136.79,135.13,135.63,134.72,4000100
"Jan 02, 2020",136.87,137.23,135.14,135.82,134.91,3784100
"Dec 31, 2019",136.69,137.26,136.03,136.67,135.75,3229400
"Dec 30, 2019",136.70,137.97,136.48,136.81,135.89,3024700
"Dec 27, 2019",136.88,137.58,136.63,137.54,136.62,2554000
"Dec 26, 2019",136.86,137.34,136.10,136.69,135.77,2934700
"Dec 24, 2019",137.09,137.38,136.27,136.89,135.97,1220600
"Dec 23, 2019",137.69,138.13,136.84,137.04,136.12,2992900
"Dec 20, 2019",137.41,138.13,135.16,137.92,136.99,10311300
"Dec 19, 2019",136.22,136.74,135.95,136.47,135.55,3641700
"Dec 18, 2019",137.05,137.30,135.63,135.97,135.06,5370500
"Dec 17, 2019",137.05,137.44,135.69,136.17,135.26,5491800
"Dec 16, 2019",136.95,137.52,136.16,137.06,136.14,4701000
"Dec 13, 2019",136.93,138.25,136.19,137.94,137.01,3557900
"Dec 12, 2019",136.80,137.90,136.75,137.18,136.26,3502100
"Dec 11, 2019",137.05,137.54,136.32,137.10,136.18,3339100
"Dec 10, 2019",137.61,137.61,136.17,136.27,135.36,2940200
"Dec 09, 2019",137.15,138.04,137.00,137.16,136.24,3882900
"Dec 06, 2019",136.67,137.69,136.34,137.36,136.44,3216900
"Dec 05, 2019",136.19,136.54,135.27,136.34,135.43,3351800
"Dec 05, 2019",0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend,0.955 Dividend
"Dec 04, 2019",134.95,137.37,134.54,137.30,135.43,4228200
"Dec 03, 2019",136.66,136.66,134.32,135.46,133.62,5000000
"Dec 02, 2019",136.65,136.65,134.44,135.88,134.03,3866300
"Nov 29, 2019",136.06,136.42,135.26,135.83,133.98,2978400
"Nov 27, 2019",135.70,136.52,135.33,135.91,134.06,2476100
"Nov 26, 2019",134.29,135.87,133.87,135.70,133.85,4947400
"Nov 25, 2019",134.66,134.78,133.21,133.83,132.01,3612400
"Nov 22, 2019",133.92,134.53,133.02,134.07,132.24,3014900
"Nov 21, 2019",133.43,134.21,133.09,133.91,132.09,3391200
"Nov 20, 2019",134.31,135.20,133.40,133.74,131.92,3047700
"Nov 19, 2019",134.65,135.06,134.07,134.57,132.74,3019100
"Nov 18, 2019",134.00,135.69,133.91,134.06,132.23,3619700
"Nov 15, 2019",133.66,133.92,132.80,133.81,131.99,3648700
"Nov 14, 2019",133.60,133.91,132.73,133.33,131.51,2141900
"Nov 13, 2019",132.63,133.57,132.01,133.29,131.48,3166600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
