Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",113.74,115.90,113.01,115.08,115.08,7768700
"Apr 02, 2020",107.69,114.99,107.50,114.40,114.40,9168800
"Apr 01, 2020",107.95,112.18,107.00,109.33,109.33,11095800
"Mar 31, 2020",113.50,114.29,108.95,110.00,110.00,21691000
"Mar 30, 2020",113.90,115.79,110.20,115.00,115.00,14571600
"Mar 27, 2020",106.49,114.29,106.49,110.17,110.17,16073100
"Mar 26, 2020",103.88,108.31,102.53,107.38,107.38,15796000
"Mar 25, 2020",100.51,104.70,98.60,100.92,100.92,13789100
"Mar 24, 2020",101.23,104.00,96.07,103.27,103.27,14625500
"Mar 23, 2020",100.19,103.75,94.34,97.70,97.70,17776800
"Mar 20, 2020",109.19,109.70,101.59,102.43,102.43,19922900
"Mar 19, 2020",116.61,118.00,109.79,110.83,110.83,16428100
"Mar 18, 2020",113.02,121.50,112.09,117.45,117.45,23139200
"Mar 17, 2020",111.45,119.70,110.77,118.24,118.24,19451400
"Mar 16, 2020",101.75,115.95,101.00,108.50,108.50,17367400
"Mar 13, 2020",106.50,114.63,105.41,114.07,114.07,17378700
"Mar 12, 2020",103.00,111.58,101.00,101.84,101.84,20988000
"Mar 11, 2020",117.60,118.44,110.68,111.59,111.59,16456000
"Mar 10, 2020",118.96,120.82,114.44,120.55,120.55,11419100
"Mar 09, 2020",115.27,120.03,115.12,116.06,116.06,13116500
"Mar 06, 2020",118.03,122.61,117.55,121.66,121.66,9817400
"Mar 05, 2020",121.30,122.90,120.28,121.63,121.63,9363500
"Mar 04, 2020",119.88,124.69,119.60,124.50,124.50,9459300
"Mar 03, 2020",119.73,121.84,117.14,118.17,118.17,12510900
"Mar 02, 2020",113.19,119.79,112.55,119.56,119.56,12399800
"Feb 28, 2020",109.46,113.23,106.67,113.23,113.23,22788600
"Feb 27, 2020",119.12,119.92,113.43,113.50,113.50,13298900
"Feb 26, 2020",121.42,122.39,119.85,120.16,120.16,6894200
"Feb 25, 2020",123.02,123.96,120.88,121.43,121.43,8903200
"Feb 24, 2020",125.26,126.59,123.14,123.30,123.30,7533900
"Feb 21, 2020",126.13,128.07,125.98,126.70,126.70,8723900
"Feb 20, 2020",125.47,126.76,125.13,126.58,126.58,6094600
"Feb 19, 2020",124.85,126.47,124.65,125.44,125.44,4734000
"Feb 18, 2020",125.83,126.18,124.83,124.87,124.87,6767600
"Feb 14, 2020",125.29,126.15,124.79,126.14,126.14,5889100
"Feb 13, 2020",123.73,125.28,123.52,124.96,124.96,7159000
"Feb 12, 2020",123.68,123.97,122.85,123.45,123.45,6031700
"Feb 11, 2020",126.27,126.27,124.03,124.16,124.16,6105700
"Feb 10, 2020",126.46,126.83,125.76,126.17,126.17,5216100
"Feb 07, 2020",127.19,127.27,126.05,126.08,126.08,5915100
"Feb 06, 2020",126.90,128.09,126.60,127.14,127.14,9102700
"Feb 05, 2020",125.91,127.06,125.40,126.81,126.81,6125400
"Feb 04, 2020",125.71,127.35,125.36,125.66,125.66,6512200
"Feb 03, 2020",124.66,125.95,124.49,125.11,125.11,6052300
"Jan 31, 2020",125.99,126.95,124.46,124.62,124.62,6612900
"Jan 30, 2020",124.79,126.06,124.42,125.95,125.95,5894400
"Jan 29, 2020",125.91,126.07,125.03,125.06,125.06,5271000
"Jan 28, 2020",125.93,126.98,125.72,126.03,126.03,6200200
"Jan 27, 2020",124.75,126.39,124.75,125.69,125.69,9338400
"Jan 24, 2020",125.22,126.79,124.77,125.14,125.14,9508600
"Jan 23, 2020",124.30,126.55,123.65,124.99,124.99,11096500
"Jan 23, 2020",0.7459 Dividend,0.7459 Dividend,0.7459 Dividend,0.7459 Dividend,0.7459 Dividend,0.7459 Dividend
"Jan 22, 2020",126.33,126.68,125.83,126.31,125.56,7396700
"Jan 21, 2020",126.41,126.62,124.84,126.09,125.35,8553100
"Jan 17, 2020",126.35,127.00,125.88,126.41,125.66,11315200
"Jan 16, 2020",126.11,126.78,125.59,126.07,125.33,6233700
"Jan 15, 2020",125.06,126.12,125.01,125.96,125.22,4843700
"Jan 14, 2020",124.65,125.20,124.48,124.69,123.95,7829700
"Jan 13, 2020",124.00,124.90,123.81,124.88,124.14,8409200
"Jan 10, 2020",123.90,124.32,123.30,123.97,123.24,3927100
"Jan 09, 2020",122.51,123.88,122.51,123.85,123.12,5944000
"Jan 08, 2020",122.19,123.43,122.00,122.51,121.79,5385100
"Jan 07, 2020",122.88,123.21,121.87,121.99,121.27,7583400
"Jan 06, 2020",122.57,123.19,122.38,122.75,122.03,6674400
"Jan 03, 2020",122.16,123.53,121.86,122.58,121.86,7970500
"Jan 02, 2020",124.50,124.73,122.94,123.41,122.68,8130800
"Dec 31, 2019",124.43,124.99,123.95,124.90,124.16,4798900
"Dec 30, 2019",125.76,125.98,124.14,124.47,123.73,3884300
"Dec 27, 2019",125.56,126.30,125.39,126.09,125.35,5192000
"Dec 26, 2019",125.10,125.75,124.87,125.22,124.48,4760400
"Dec 24, 2019",124.79,125.31,124.58,125.22,124.48,2022100
"Dec 23, 2019",125.52,125.82,124.69,124.90,124.16,6619500
"Dec 20, 2019",126.15,126.60,125.03,125.36,124.62,16250500
"Dec 19, 2019",124.16,125.20,123.90,124.92,124.18,6629100
"Dec 18, 2019",125.31,125.87,123.69,124.01,123.28,8607600
"Dec 17, 2019",125.59,125.98,124.31,125.31,124.57,8832200
"Dec 16, 2019",125.47,126.35,125.35,125.56,124.82,8281900
"Dec 13, 2019",124.21,125.74,123.79,125.47,124.73,5471600
"Dec 12, 2019",124.78,125.76,123.88,124.57,123.83,5897800
"Dec 11, 2019",124.27,125.27,124.07,124.66,123.92,4823300
"Dec 10, 2019",124.78,124.87,124.12,124.27,123.54,4740100
"Dec 09, 2019",124.31,125.14,124.18,124.87,124.13,7452800
"Dec 06, 2019",124.73,125.45,123.89,124.19,123.46,7150900
"Dec 05, 2019",124.27,124.63,123.66,124.62,123.88,7029200
"Dec 04, 2019",122.75,124.58,122.69,124.53,123.79,6857300
"Dec 03, 2019",122.31,122.96,121.80,122.95,122.22,6396200
"Dec 02, 2019",121.94,122.78,120.96,122.72,122.00,6146200
"Nov 29, 2019",121.99,122.63,121.71,122.06,121.34,2927300
"Nov 27, 2019",122.42,122.44,120.96,121.76,121.04,3751400
"Nov 26, 2019",120.73,122.35,120.41,122.26,121.54,8235200
"Nov 25, 2019",120.44,120.92,120.02,120.51,119.80,5134300
"Nov 22, 2019",120.23,120.61,119.39,120.29,119.58,4414900
"Nov 21, 2019",121.78,122.54,120.28,120.34,119.63,7094100
"Nov 20, 2019",121.42,122.38,120.93,122.29,121.57,6480000
"Nov 19, 2019",121.93,122.78,121.13,121.42,120.70,5989000
