Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",75.44,75.50,72.77,73.46,73.46,5254100
"Apr 02, 2020",70.26,75.06,70.12,74.34,74.34,6143500
"Apr 01, 2020",69.77,71.99,69.28,71.12,71.12,6497600
"Mar 31, 2020",72.57,75.02,72.20,72.96,72.96,11601800
"Mar 30, 2020",70.32,73.00,70.02,72.55,72.55,6361400
"Mar 27, 2020",68.79,71.58,67.39,69.15,69.15,7972300
"Mar 26, 2020",66.13,72.04,65.98,71.16,71.16,7830700
"Mar 25, 2020",61.61,68.58,61.01,66.07,66.07,9075300
"Mar 24, 2020",60.95,66.11,60.78,63.60,63.60,9328700
"Mar 23, 2020",58.96,60.58,56.01,59.98,59.98,14031200
"Mar 20, 2020",64.90,65.26,60.29,61.09,61.09,12175000
"Mar 20, 2020",1.17 Dividend,1.17 Dividend,1.17 Dividend,1.17 Dividend,1.17 Dividend,1.17 Dividend
"Mar 19, 2020",64.26,67.22,61.01,66.43,65.26,9453600
"Mar 18, 2020",70.27,73.48,59.83,64.91,63.77,14720100
"Mar 17, 2020",71.67,75.13,70.60,73.99,72.69,11051400
"Mar 16, 2020",70.76,74.66,68.41,69.60,68.37,10163400
"Mar 13, 2020",75.12,79.79,72.35,79.50,78.10,11013100
"Mar 12, 2020",73.54,76.83,70.27,72.25,70.98,11487200
"Mar 11, 2020",82.04,82.70,79.09,79.84,78.43,7083200
"Mar 10, 2020",83.28,84.97,80.88,84.73,83.24,7496100
"Mar 09, 2020",82.17,84.82,79.32,81.63,80.19,10717700
"Mar 06, 2020",84.57,87.56,83.74,87.27,85.73,6596900
"Mar 05, 2020",86.68,89.18,86.50,87.86,86.31,6587500
"Mar 04, 2020",84.34,88.78,84.15,88.74,87.18,5675300
"Mar 03, 2020",84.88,86.95,82.65,83.50,82.03,6034700
"Mar 02, 2020",81.61,85.04,80.81,84.97,83.47,6916400
"Feb 28, 2020",81.00,81.97,77.73,81.87,80.43,13656100
"Feb 27, 2020",84.86,87.45,83.07,83.07,81.61,8930500
"Feb 26, 2020",85.00,86.62,84.81,86.25,84.73,7929700
"Feb 25, 2020",85.93,87.15,84.13,85.00,83.50,6125500
"Feb 24, 2020",88.22,88.55,85.38,85.57,84.06,6497400
"Feb 21, 2020",86.86,89.70,86.68,89.64,88.06,6314300
"Feb 20, 2020",87.50,87.77,86.14,87.44,85.90,3076400
"Feb 19, 2020",87.81,87.97,86.88,87.88,86.33,4372000
"Feb 18, 2020",88.29,88.39,87.05,87.44,85.90,3606200
"Feb 14, 2020",88.88,89.23,88.01,88.50,86.94,3348600
"Feb 13, 2020",88.84,89.73,87.54,88.82,87.26,4322800
"Feb 12, 2020",89.00,89.30,87.37,87.90,86.35,4086100
"Feb 11, 2020",88.75,90.17,88.36,89.44,87.86,4975000
"Feb 10, 2020",87.34,88.77,86.91,88.75,87.19,6392400
"Feb 07, 2020",86.30,87.74,86.22,87.45,85.91,4654600
"Feb 06, 2020",84.80,88.80,84.58,86.18,84.66,7306200
"Feb 05, 2020",83.60,84.78,83.60,83.94,82.46,4860800
"Feb 04, 2020",83.02,84.11,82.82,83.60,82.13,4615900
"Feb 03, 2020",82.64,84.19,82.64,83.00,81.54,3356400
"Jan 31, 2020",84.19,84.30,82.27,82.70,81.24,4861600
"Jan 30, 2020",83.21,84.53,82.53,84.33,82.84,5625100
"Jan 29, 2020",84.87,85.19,83.94,83.96,82.48,4418500
"Jan 28, 2020",84.55,84.94,84.07,84.68,83.19,5263700
"Jan 27, 2020",85.45,85.90,84.57,84.71,83.22,3795400
"Jan 24, 2020",86.83,87.33,85.64,86.15,84.63,3888700
"Jan 23, 2020",88.56,88.82,87.02,87.08,85.55,4592100
"Jan 22, 2020",88.57,89.13,88.49,88.98,87.41,4595700
"Jan 21, 2020",88.44,88.99,87.90,88.87,87.30,6373200
"Jan 17, 2020",88.58,88.88,87.74,88.69,87.13,5908400
"Jan 16, 2020",88.62,88.87,88.19,88.56,87.00,2602300
"Jan 15, 2020",87.31,88.89,87.30,88.32,86.76,4155400
"Jan 14, 2020",87.70,87.94,87.24,87.58,86.04,5129300
"Jan 13, 2020",87.41,88.45,87.27,87.82,86.27,5402900
"Jan 10, 2020",88.96,89.00,87.33,87.46,85.92,4411000
"Jan 09, 2020",88.37,88.67,87.42,88.28,86.73,6180100
"Jan 08, 2020",86.80,88.35,86.43,88.04,86.49,5337600
"Jan 07, 2020",85.63,86.83,85.27,86.40,84.88,4311600
"Jan 06, 2020",84.91,86.11,84.37,86.02,84.50,7041400
"Jan 03, 2020",85.03,85.94,84.86,85.03,83.53,3806700
