Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",50.60,52.02,50.21,50.65,50.65,2718100
"Apr 02, 2020",50.50,51.69,50.21,50.68,50.68,3555700
"Apr 01, 2020",52.16,52.94,50.83,51.57,51.57,4297600
"Mar 31, 2020",52.45,53.65,50.91,53.26,53.26,4101600
"Mar 30, 2020",53.50,53.94,50.11,52.00,52.00,4957200
"Mar 27, 2020",53.55,54.85,52.98,53.44,53.44,3927700
"Mar 26, 2020",55.00,56.10,54.00,55.73,55.73,2771400
"Mar 25, 2020",52.51,57.21,52.51,55.61,55.61,3552800
"Mar 24, 2020",49.99,53.38,49.46,52.96,52.96,4469400
"Mar 23, 2020",49.11,49.11,45.15,47.00,47.00,4631500
"Mar 20, 2020",49.50,51.39,48.00,48.36,48.36,4847600
"Mar 19, 2020",49.89,50.38,47.59,48.08,48.08,5643600
"Mar 18, 2020",48.13,51.10,46.77,49.62,49.62,4586000
"Mar 17, 2020",49.51,52.84,48.80,51.82,51.82,3664300
"Mar 16, 2020",48.50,51.61,46.92,48.41,48.41,5885300
"Mar 13, 2020",52.85,53.88,50.72,52.59,52.59,6366100
"Mar 12, 2020",50.92,51.95,49.60,51.01,51.01,6095600
"Mar 11, 2020",53.00,54.82,52.53,53.66,53.66,3521700
"Mar 10, 2020",55.58,56.62,52.96,54.24,54.24,4984700
"Mar 09, 2020",53.00,56.10,52.50,54.67,54.67,2708100
"Mar 06, 2020",57.01,57.61,55.23,56.49,56.49,3379900
"Mar 05, 2020",57.36,58.87,56.83,58.49,58.49,3506300
"Mar 04, 2020",58.65,59.50,57.32,57.70,57.70,3894600
"Mar 03, 2020",58.65,59.09,57.12,58.31,58.31,4221200
"Mar 02, 2020",55.87,58.00,54.78,58.00,58.00,4763500
"Feb 28, 2020",53.92,54.49,51.77,54.39,54.39,5179300
"Feb 27, 2020",55.00,56.46,55.00,55.16,55.16,4598200
"Feb 26, 2020",57.50,58.03,56.30,56.30,56.30,4146700
"Feb 25, 2020",58.00,59.43,56.51,56.58,56.58,4212500
"Feb 24, 2020",56.67,58.43,56.56,57.59,57.59,2716600
"Feb 21, 2020",58.31,59.52,57.85,59.47,59.47,1853000
"Feb 20, 2020",59.23,59.70,57.99,58.46,58.46,4079000
"Feb 19, 2020",58.44,59.56,58.16,59.40,59.40,2173700
"Feb 18, 2020",58.89,58.92,56.60,57.96,57.96,2730500
"Feb 14, 2020",59.08,59.76,58.91,59.12,59.12,2762000
