Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",93.53,94.13,90.17,92.57,92.57,6815300
"Apr 02, 2020",94.27,95.67,92.12,94.36,94.36,5929200
"Apr 01, 2020",91.64,96.14,91.29,95.27,95.27,8581000
"Mar 31, 2020",95.28,96.78,92.16,92.97,92.97,6388400
"Mar 30, 2020",96.18,97.77,95.50,96.01,96.01,4485600
"Mar 27, 2020",94.49,97.83,92.93,94.74,94.74,4902800
"Mar 26, 2020",91.39,96.47,91.21,96.07,96.07,7014000
"Mar 25, 2020",99.12,99.33,90.52,91.04,91.04,12563200
"Mar 24, 2020",100.14,101.65,96.00,100.56,100.56,6498600
"Mar 23, 2020",96.55,99.20,93.81,96.69,96.69,7104300
"Mar 20, 2020",99.30,102.48,96.38,97.40,97.40,8057200
"Mar 19, 2020",102.72,107.12,99.81,100.50,100.50,7414200
"Mar 18, 2020",98.94,108.35,96.85,102.82,102.82,8845700
"Mar 17, 2020",95.12,106.49,95.06,103.63,103.63,10586400
"Mar 16, 2020",92.59,99.94,91.16,93.79,93.79,6963700
"Mar 13, 2020",96.65,105.14,92.53,101.02,101.02,9267200
"Mar 12, 2020",99.24,101.53,92.41,92.62,92.62,10208800
"Mar 11, 2020",106.03,107.98,103.42,105.58,105.58,6102500
"Mar 10, 2020",106.24,109.59,104.80,108.33,108.33,7461000
"Mar 09, 2020",99.76,107.68,99.76,104.03,104.03,7346600
"Mar 06, 2020",104.16,106.43,102.75,105.95,105.95,5370800
"Mar 05, 2020",105.64,108.44,105.25,105.97,105.97,5294900
"Mar 04, 2020",107.00,108.07,104.67,107.82,107.82,6834800
"Mar 03, 2020",112.00,112.20,103.96,105.84,105.84,10927400
"Mar 02, 2020",103.38,109.44,102.95,109.06,109.06,9691100
"Feb 28, 2020",102.21,104.20,100.74,103.00,103.00,9223500
"Feb 27, 2020",108.38,109.38,105.54,105.62,105.62,6713400
"Feb 26, 2020",112.18,112.71,110.29,110.66,110.66,4318300
"Feb 25, 2020",114.19,115.15,111.63,111.72,111.72,5095900
"Feb 24, 2020",114.48,115.99,113.12,113.78,113.78,5304900
"Feb 21, 2020",117.83,118.88,116.80,117.01,117.01,3856500
"Feb 20, 2020",116.97,118.29,116.57,118.26,118.26,2659300
"Feb 19, 2020",117.69,118.13,117.05,117.39,117.39,2866700
"Feb 18, 2020",116.95,117.87,116.35,117.83,117.83,3122500
"Feb 18, 2020",0.66 Dividend,0.66 Dividend,0.66 Dividend,0.66 Dividend,0.66 Dividend,0.66 Dividend
"Feb 14, 2020",118.30,118.46,116.30,116.63,115.97,3289100
