Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",49.92,50.34,49.38,49.80,49.80,1326000
"Apr 02, 2020",49.85,50.95,49.62,50.77,50.77,1558200
"Apr 01, 2020",49.37,50.29,49.13,49.18,49.18,1272000
"Mar 31, 2020",50.77,51.33,50.16,50.57,50.57,1713400
"Mar 30, 2020",49.49,50.79,49.39,50.58,50.58,1889500
"Mar 27, 2020",48.28,50.20,47.85,49.25,49.25,1476600
"Mar 26, 2020",48.14,50.04,48.10,49.84,49.84,3534700
"Mar 25, 2020",47.03,48.64,46.31,47.61,47.61,3605200
"Mar 24, 2020",46.29,47.58,45.60,47.50,47.50,2754200
"Mar 23, 2020",46.60,47.31,44.06,44.62,44.62,2517600
"Mar 20, 2020",49.22,49.83,47.10,47.17,47.17,2802100
"Mar 19, 2020",48.86,52.41,48.36,50.66,50.66,3330900
"Mar 18, 2020",48.16,51.19,47.62,48.88,48.88,3161600
"Mar 17, 2020",46.44,50.73,46.10,50.38,50.38,3696900
"Mar 16, 2020",44.76,46.51,44.44,45.10,45.10,4273100
"Mar 13, 2020",50.45,50.45,47.43,49.97,49.97,1863700
"Mar 12, 2020",48.86,50.77,47.00,48.66,48.66,1863300
"Mar 11, 2020",53.62,53.78,51.95,52.47,52.47,2028800
"Mar 10, 2020",54.31,55.17,52.92,55.02,55.02,1974000
"Mar 09, 2020",54.85,55.91,52.70,53.95,53.95,2093100
"Mar 06, 2020",56.97,57.29,56.45,57.19,57.19,1611500
"Mar 05, 2020",57.76,58.26,57.37,57.79,57.79,1358700
"Mar 04, 2020",57.11,58.38,56.58,58.38,58.38,1461700
"Mar 03, 2020",56.16,57.06,55.37,55.94,55.94,2262700
"Mar 02, 2020",54.68,55.84,54.40,55.83,55.83,3151900
"Feb 28, 2020",53.86,53.96,52.66,53.93,53.93,2772600
"Feb 27, 2020",56.08,56.19,54.72,54.75,54.75,1934400
"Feb 26, 2020",56.57,56.95,56.09,56.11,56.11,1239000
"Feb 25, 2020",57.52,57.69,56.68,56.78,56.78,883700
"Feb 24, 2020",57.48,58.25,57.47,57.78,57.78,807400
"Feb 21, 2020",59.59,59.90,59.59,59.70,59.70,516600
"Feb 20, 2020",59.41,59.65,59.27,59.63,59.63,585000
"Feb 20, 2020",0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend
"Feb 19, 2020",60.09,60.30,59.95,59.95,59.50,766500
"Feb 18, 2020",60.52,60.68,60.47,60.56,60.10,629300
"Feb 14, 2020",60.35,60.46,60.21,60.38,59.93,944100
"Feb 13, 2020",60.13,60.63,60.08,60.53,60.07,817900
"Feb 12, 2020",60.56,60.76,60.36,60.63,60.17,994900
"Feb 11, 2020",60.76,60.97,60.73,60.86,60.40,767800
"Feb 10, 2020",60.51,60.66,60.44,60.66,60.20,397100
"Feb 07, 2020",60.72,60.78,60.52,60.64,60.18,506700
"Feb 06, 2020",60.95,60.97,60.73,60.96,60.50,701000
"Feb 05, 2020",60.06,60.39,59.93,60.24,59.79,774900
"Feb 04, 2020",59.98,60.12,59.66,59.72,59.27,727900
