Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",47.91,48.23,47.32,47.70,47.70,3092500
"Apr 02, 2020",47.64,48.67,47.43,48.53,48.53,2592900
"Apr 01, 2020",47.39,48.24,47.01,47.18,47.18,2477800
"Mar 31, 2020",48.76,49.37,48.23,48.79,48.79,3161600
"Mar 30, 2020",47.25,48.61,47.21,48.46,48.46,3071800
"Mar 27, 2020",46.31,48.17,45.85,47.29,47.29,2620700
"Mar 26, 2020",46.57,47.87,46.49,47.76,47.76,3773100
"Mar 25, 2020",45.21,46.75,44.59,45.77,45.77,4277500
"Mar 24, 2020",45.16,45.72,44.42,45.55,45.55,4695200
"Mar 23, 2020",45.91,46.27,43.30,43.87,43.87,3850100
"Mar 20, 2020",47.68,48.33,46.18,46.19,46.19,3677900
"Mar 19, 2020",47.69,50.89,47.11,48.64,48.64,5063200
"Mar 18, 2020",46.19,49.34,46.15,47.81,47.81,5123400
"Mar 17, 2020",44.91,48.48,44.55,47.67,47.67,5499900
"Mar 16, 2020",42.00,45.44,42.00,42.82,42.82,4885700
"Mar 13, 2020",49.27,49.29,46.20,48.47,48.47,7835500
"Mar 12, 2020",47.91,49.69,46.61,47.43,47.43,5914500
"Mar 11, 2020",52.80,52.85,51.21,51.76,51.76,5137000
"Mar 10, 2020",53.21,54.34,51.90,54.13,54.13,6438200
"Mar 09, 2020",53.84,54.82,52.00,53.00,53.00,4589900
"Mar 06, 2020",55.79,56.44,55.17,55.90,55.90,3057200
"Mar 05, 2020",56.64,57.16,56.17,56.54,56.54,2344300
"Mar 04, 2020",55.95,57.21,55.38,57.16,57.16,2918600
"Mar 03, 2020",54.93,55.89,54.11,54.60,54.60,4282000
"Mar 02, 2020",53.63,54.77,53.41,54.76,54.76,3379000
"Feb 28, 2020",52.74,52.86,51.66,52.76,52.76,4115400
"Feb 27, 2020",54.95,55.19,53.78,53.81,53.81,1818900
"Feb 26, 2020",55.40,55.76,54.96,55.01,55.01,1620900
"Feb 25, 2020",56.29,56.42,55.38,55.49,55.49,1480400
"Feb 24, 2020",56.24,56.96,56.21,56.50,56.50,1694600
"Feb 21, 2020",58.40,58.65,58.35,58.45,58.45,1137200
"Feb 20, 2020",58.51,58.63,58.28,58.56,58.56,971200
"Feb 20, 2020",0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend,0.4517 Dividend
"Feb 19, 2020",59.19,59.38,59.12,59.18,58.73,906500
"Feb 18, 2020",59.45,59.73,59.43,59.62,59.16,1274900
"Feb 14, 2020",59.54,59.76,59.42,59.73,59.27,1010100
"Feb 13, 2020",59.09,59.57,59.05,59.45,59.00,1196800
"Feb 12, 2020",59.64,59.77,59.58,59.67,59.21,758200
"Feb 11, 2020",59.74,59.91,59.66,59.79,59.33,980200
"Feb 10, 2020",59.48,59.67,59.35,59.52,59.07,949900
"Feb 07, 2020",59.68,59.80,59.51,59.67,59.21,981400
"Feb 06, 2020",59.92,59.96,59.72,59.96,59.50,1412500
"Feb 05, 2020",58.95,59.55,58.89,59.46,59.01,1532500
"Feb 04, 2020",58.80,58.92,58.46,58.47,58.02,4479300
"Feb 03, 2020",58.64,58.96,58.47,58.80,58.35,2479800
"Jan 31, 2020",58.64,58.93,58.12,58.28,57.84,1517000
