Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",117.21,119.91,117.03,119.48,119.48,9538200
"Apr 02, 2020",113.18,119.11,112.34,118.65,118.65,9838500
"Apr 01, 2020",112.15,115.53,111.80,114.14,114.14,9423200
"Mar 31, 2020",114.31,116.19,112.64,113.62,113.62,8752800
"Mar 30, 2020",111.86,115.80,110.94,115.19,115.19,9737500
"Mar 27, 2020",110.11,112.28,108.60,109.58,109.58,12053500
"Mar 26, 2020",109.40,110.87,106.85,109.82,109.82,19416900
"Mar 25, 2020",112.97,114.00,108.05,109.40,109.40,17762500
"Mar 24, 2020",115.87,117.37,111.31,115.03,115.03,14235000
"Mar 23, 2020",114.17,117.54,112.21,114.28,114.28,13122000
"Mar 20, 2020",119.50,122.79,111.89,113.97,113.97,18474500
"Mar 19, 2020",124.46,127.00,117.63,119.45,119.45,19033500
"Mar 19, 2020",0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend
"Mar 18, 2020",115.00,128.08,114.50,122.58,122.04,25785300
"Mar 17, 2020",112.77,119.27,110.46,119.26,118.73,17602000
"Mar 16, 2020",105.20,111.33,102.00,106.76,106.29,12251300
"Mar 13, 2020",108.24,114.59,103.88,114.10,113.60,14320700
"Mar 12, 2020",106.02,111.49,102.98,104.05,103.59,18774400
"Mar 11, 2020",117.51,119.03,112.80,114.43,113.93,10540000
"Mar 10, 2020",118.10,120.68,114.92,119.79,119.26,12599100
"Mar 09, 2020",113.82,120.63,112.73,117.16,116.64,19747800
"Mar 06, 2020",113.87,117.91,113.01,117.23,116.71,9803700
"Mar 05, 2020",114.40,117.25,113.91,115.92,115.41,8546100
"Mar 04, 2020",114.24,116.84,113.47,116.77,116.26,8208400
"Mar 03, 2020",116.08,117.53,112.34,112.91,112.41,11113600
"Mar 02, 2020",107.60,116.40,107.29,115.88,115.37,17074200
"Feb 28, 2020",107.69,108.52,104.37,107.68,107.21,17504100
"Feb 27, 2020",112.56,114.07,110.35,110.40,109.91,9492300
"Feb 26, 2020",114.70,115.17,113.65,113.78,113.28,6673300
"Feb 25, 2020",116.35,117.07,114.05,114.39,113.89,7764300
"Feb 24, 2020",117.46,118.46,115.95,116.32,115.81,6616000
"Feb 21, 2020",117.44,118.75,117.31,118.58,118.06,6242100
"Feb 20, 2020",117.21,118.11,116.86,117.69,117.17,5022900
"Feb 19, 2020",119.50,119.94,117.68,117.68,117.16,7187800
"Feb 18, 2020",118.47,119.95,117.36,119.63,119.10,11513200
"Feb 14, 2020",117.67,118.57,117.16,117.89,117.37,8130600
"Feb 13, 2020",115.85,117.54,115.58,117.44,116.92,5333200
"Feb 12, 2020",115.50,116.42,115.41,115.85,115.34,4735600
"Feb 11, 2020",115.43,115.50,114.44,115.40,114.89,5796800
"Feb 10, 2020",115.75,116.98,115.05,115.25,114.74,6144900
"Feb 07, 2020",116.11,116.76,115.76,116.45,115.94,3689600
"Feb 06, 2020",116.83,117.23,116.06,116.31,115.80,5352900
"Feb 05, 2020",115.60,116.95,114.85,116.81,116.30,5682900
"Feb 04, 2020",115.24,116.24,114.89,115.27,114.76,5232200
"Feb 03, 2020",114.90,115.39,114.10,114.27,113.77,4351900
"Jan 31, 2020",115.80,116.26,113.90,114.49,113.99,7775800
"Jan 30, 2020",115.61,116.72,115.33,116.58,116.07,4581500
"Jan 29, 2020",116.56,117.12,115.89,115.89,115.38,3775500
"Jan 28, 2020",115.98,116.90,115.95,116.60,116.09,5270200
"Jan 27, 2020",113.19,116.23,112.68,115.86,115.35,7018400
"Jan 24, 2020",116.00,116.03,114.15,114.37,113.87,4383400
"Jan 23, 2020",116.21,116.31,115.04,115.81,115.30,4305100
"Jan 22, 2020",115.22,116.53,115.18,116.10,115.59,4926100
"Jan 21, 2020",114.59,115.69,114.52,115.59,115.08,7353700
"Jan 17, 2020",116.05,116.30,114.64,114.96,114.45,10045000
"Jan 16, 2020",115.50,115.93,115.28,115.90,115.39,5369400
"Jan 15, 2020",114.63,115.87,114.52,115.28,114.77,7454200
"Jan 14, 2020",115.47,116.21,115.13,116.18,115.67,6585800
"Jan 13, 2020",116.38,116.55,115.37,115.88,115.37,6112600
"Jan 10, 2020",117.24,117.34,115.98,116.38,115.87,6054800
"Jan 09, 2020",116.15,117.37,116.08,117.36,116.84,5563700
"Jan 08, 2020",116.30,116.73,115.68,116.16,115.65,5875800
"Jan 07, 2020",117.26,117.52,116.20,116.56,116.05,6846900
"Jan 06, 2020",117.40,118.09,116.77,117.65,117.13,6445500
"Jan 03, 2020",118.27,118.79,117.59,117.89,117.37,5399200
"Jan 02, 2020",118.86,119.89,118.70,118.94,118.42,6764900
"Dec 31, 2019",119.50,119.80,118.19,118.84,118.32,4912000
"Dec 30, 2019",119.80,119.81,119.13,119.40,118.87,2945800
"Dec 27, 2019",119.94,119.94,119.25,119.59,119.06,3544000
"Dec 26, 2019",119.61,119.85,118.95,119.52,118.99,4223800
"Dec 24, 2019",119.13,119.60,119.01,119.51,118.98,2227400
"Dec 23, 2019",120.20,120.69,119.01,119.03,118.51,4485800
"Dec 20, 2019",121.48,122.12,120.02,120.29,119.76,7954400
"Dec 19, 2019",119.94,120.51,119.78,120.08,119.55,4464100
"Dec 18, 2019",121.51,121.68,119.84,119.86,119.33,5103000
"Dec 17, 2019",120.95,121.70,120.70,121.28,120.75,4575800
"Dec 16, 2019",120.42,121.35,120.42,120.54,120.01,5350700
"Dec 13, 2019",119.16,120.65,119.02,120.29,119.76,5366300
"Dec 12, 2019",119.00,120.11,118.68,119.76,119.23,4149000
"Dec 11, 2019",119.40,119.65,118.53,119.00,118.48,3506400
"Dec 10, 2019",119.35,119.56,119.02,119.14,118.62,4282300
"Dec 09, 2019",119.57,119.86,119.18,119.36,118.83,4816000
"Dec 06, 2019",119.08,119.80,118.92,119.78,119.25,4340800
"Dec 05, 2019",118.36,118.78,117.42,118.66,118.14,4352800
"Dec 05, 2019",0.53 Dividend,0.53 Dividend,0.53 Dividend,0.53 Dividend,0.53 Dividend,0.53 Dividend
"Dec 04, 2019",119.12,119.20,118.30,118.69,117.64,5556600
"Dec 03, 2019",118.40,118.96,117.77,118.67,117.62,6594800
"Dec 02, 2019",119.15,119.38,117.84,119.28,118.22,5670900
"Nov 29, 2019",119.14,119.97,119.00,119.09,118.04,3157300
"Nov 27, 2019",119.39,119.80,118.73,118.76,117.71,3434100
"Nov 26, 2019",118.96,119.30,118.45,119.19,118.14,6292500
"Nov 25, 2019",120.00,120.02,117.90,118.92,117.87,5881500
"Nov 22, 2019",120.15,120.30,119.27,119.36,118.30,3843100
"Nov 21, 2019",118.83,120.00,118.67,119.86,118.80,4302400
"Nov 20, 2019",120.21,120.48,118.40,119.13,118.08,5075900
"Nov 19, 2019",120.11,120.36,119.71,119.89,118.83,3715400
"Nov 18, 2019",118.45,120.87,118.24,120.25,119.19,6548000
"Nov 15, 2019",120.68,121.00,118.38,118.87,117.82,10137700
"Nov 14, 2019",124.60,125.38,119.51,120.65,119.58,22504200
"Nov 13, 2019",119.16,121.36,118.66,120.98,119.91,7711800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
