Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.46,25.65,24.11,24.72,24.72,18447000
"Apr 02, 2020",25.97,27.55,25.06,26.03,26.03,34967000
"Apr 01, 2020",25.23,25.56,24.11,24.37,24.37,23461100
"Mar 31, 2020",24.98,25.84,24.02,24.39,24.39,21194600
"Mar 30, 2020",23.26,24.21,22.56,23.92,23.92,22853900
"Mar 27, 2020",22.97,23.02,22.08,22.35,22.35,23224900
"Mar 26, 2020",24.22,25.35,23.71,24.42,24.42,47558400
"Mar 25, 2020",23.93,25.40,23.12,24.29,24.29,37556700
"Mar 24, 2020",20.62,22.60,20.32,22.12,22.12,32232000
"Mar 23, 2020",17.99,18.65,17.33,18.19,18.19,32360200
"Mar 20, 2020",18.24,18.28,16.91,17.39,17.39,26443500
"Mar 19, 2020",16.15,17.82,15.77,17.00,17.00,17597700
"Mar 18, 2020",17.53,17.84,15.51,16.11,16.11,21048500
"Mar 17, 2020",18.57,19.15,17.50,18.84,18.84,20337900
"Mar 16, 2020",19.05,19.82,18.60,18.84,18.84,19486200
"Mar 13, 2020",22.57,22.61,20.50,22.17,22.17,21556500
"Mar 12, 2020",22.26,22.28,21.05,21.57,21.57,25202800
"Mar 11, 2020",25.54,25.79,24.37,24.66,24.66,28811600
"Mar 10, 2020",27.13,27.23,25.14,26.79,26.79,25094000
"Mar 09, 2020",24.83,26.12,24.20,25.28,25.28,46759600
"Mar 06, 2020",31.42,31.78,30.83,31.25,31.25,16798600
"Mar 05, 2020",32.60,32.75,32.20,32.60,32.60,14383500
"Mar 04, 2020",32.60,33.18,32.37,33.14,33.14,16523100
"Mar 03, 2020",32.50,32.90,31.45,31.92,31.92,20721900
"Mar 02, 2020",31.55,32.27,31.12,32.23,32.23,20401900
"Feb 28, 2020",30.06,31.30,29.71,31.29,31.29,26032800
"Feb 27, 2020",31.93,32.52,31.45,31.53,31.53,17600700
"Feb 26, 2020",33.06,33.40,32.65,32.68,32.68,11302100
"Feb 25, 2020",34.05,34.08,32.78,32.93,32.93,13983300
"Feb 24, 2020",33.94,34.24,33.86,34.06,34.06,12423000
"Feb 21, 2020",35.63,35.64,35.21,35.36,35.36,10693300
"Feb 20, 2020",36.16,36.37,35.91,35.98,35.98,6518000
"Feb 19, 2020",35.99,36.40,35.92,36.25,36.25,9434700
"Feb 18, 2020",35.75,36.16,35.72,36.09,36.09,8514500
"Feb 14, 2020",36.13,36.16,35.64,36.00,36.00,8804500
"Feb 13, 2020",36.13,36.33,36.04,36.18,36.18,8125800
"Feb 13, 2020",0.63 Dividend,0.63 Dividend,0.63 Dividend,0.63 Dividend,0.63 Dividend,0.63 Dividend
"Feb 12, 2020",37.05,37.22,36.88,37.17,36.54,9822000
"Feb 11, 2020",36.67,36.69,36.41,36.55,35.93,6969600
"Feb 10, 2020",36.18,36.28,36.02,36.19,35.58,7835500
"Feb 07, 2020",36.33,36.49,36.28,36.37,35.75,7769600
"Feb 06, 2020",37.25,37.28,36.77,36.88,36.25,9641600
"Feb 05, 2020",37.47,37.78,37.35,37.67,37.03,11978500
"Feb 04, 2020",36.91,36.95,36.22,36.50,35.88,20783100
"Feb 03, 2020",35.90,35.98,35.07,35.23,34.63,17247800
"Jan 31, 2020",36.24,36.28,35.87,36.13,35.52,12518800
"Jan 30, 2020",36.83,37.07,36.51,37.03,36.40,10591400
"Jan 29, 2020",37.41,37.51,37.13,37.17,36.54,5587600
"Jan 28, 2020",37.59,37.61,37.38,37.41,36.78,8183300
"Jan 27, 2020",37.52,37.69,37.32,37.44,36.81,7945800
"Jan 24, 2020",38.15,38.20,38.00,38.13,37.48,6441200
"Jan 23, 2020",37.78,38.21,37.70,38.20,37.55,8189200
"Jan 22, 2020",38.13,38.17,37.71,37.88,37.24,7873000
"Jan 21, 2020",38.50,38.51,38.30,38.32,37.67,6999800
"Jan 17, 2020",38.94,38.94,38.71,38.77,38.11,5811500
"Jan 16, 2020",38.98,39.07,38.81,38.84,38.18,5353800
"Jan 15, 2020",38.75,38.81,38.61,38.71,38.05,4835100
"Jan 14, 2020",38.68,38.86,38.58,38.82,38.16,5489600
"Jan 13, 2020",38.62,38.86,38.46,38.80,38.14,6129100
"Jan 10, 2020",38.98,39.03,38.74,38.74,38.08,5697800
"Jan 09, 2020",38.75,38.96,38.41,38.96,38.30,6646800
"Jan 08, 2020",39.24,39.30,38.59,38.83,38.17,9335500
"Jan 07, 2020",39.36,39.48,39.00,39.43,38.76,12494200
"Jan 06, 2020",39.68,40.08,39.66,39.85,39.17,15091700
"Jan 03, 2020",38.48,39.09,38.46,38.83,38.17,14000800
"Jan 02, 2020",38.04,38.15,37.87,38.14,37.49,6565100
"Dec 31, 2019",37.42,37.74,37.33,37.74,37.10,5313500
"Dec 30, 2019",37.80,37.97,37.57,37.60,36.96,6105900
"Dec 27, 2019",38.24,38.25,37.86,37.86,37.22,5436600
"Dec 26, 2019",38.06,38.20,37.94,37.98,37.34,4504200
"Dec 24, 2019",37.97,38.14,37.96,38.04,37.40,2348400
"Dec 23, 2019",37.71,38.12,37.71,38.11,37.46,6378500
"Dec 20, 2019",38.02,38.05,37.67,37.85,37.21,10546800
"Dec 19, 2019",37.74,37.82,37.57,37.65,37.01,7723000
"Dec 18, 2019",37.67,37.88,37.53,37.65,37.01,7442800
"Dec 17, 2019",37.52,37.83,37.47,37.59,36.95,9111200
"Dec 16, 2019",37.48,37.66,37.38,37.44,36.81,7882000
"Dec 13, 2019",37.28,37.44,36.87,36.94,36.31,7880900
"Dec 12, 2019",36.63,37.10,36.58,36.96,36.33,6482700
"Dec 11, 2019",36.72,36.95,36.50,36.56,35.94,9232500
"Dec 10, 2019",37.08,37.19,36.90,37.01,36.38,4903400
"Dec 09, 2019",37.04,37.21,37.01,37.10,36.47,4380100
