Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",114.20,115.54,109.40,112.21,112.21,183200
"Apr 02, 2020",107.50,117.83,107.50,114.20,114.20,409700
"Apr 01, 2020",100.01,102.97,99.12,100.93,100.93,209600
"Mar 31, 2020",102.41,105.46,102.41,103.47,103.47,161100
"Mar 30, 2020",96.48,99.86,96.14,99.63,99.63,191900
"Mar 27, 2020",96.95,97.42,95.10,96.07,96.07,151800
"Mar 26, 2020",97.47,100.86,96.02,99.26,99.26,225900
"Mar 25, 2020",97.29,101.01,95.04,98.14,98.14,219100
"Mar 24, 2020",93.35,95.12,92.01,94.34,94.34,181800
"Mar 23, 2020",85.88,89.36,85.36,88.98,88.98,152600
"Mar 20, 2020",89.77,91.03,85.16,85.84,85.84,171900
"Mar 19, 2020",84.40,92.67,81.50,88.39,88.39,313900
"Mar 18, 2020",87.16,87.30,81.11,85.11,85.11,229200
"Mar 17, 2020",92.92,94.09,88.81,92.95,92.95,259700
"Mar 16, 2020",93.00,98.59,90.96,90.96,90.96,244400
"Mar 13, 2020",103.07,103.92,96.75,103.73,103.73,258700
"Mar 12, 2020",99.95,99.95,92.33,94.80,94.80,187400
"Mar 11, 2020",109.73,110.54,105.10,106.27,106.27,321700
"Mar 10, 2020",119.00,119.50,111.88,115.05,115.05,729700
"Mar 09, 2020",110.51,114.77,108.00,110.12,110.12,473500
"Mar 06, 2020",135.00,135.21,128.90,129.72,129.72,366200
"Mar 05, 2020",139.04,140.73,137.90,139.11,139.11,220700
"Mar 04, 2020",141.87,141.87,138.24,139.68,139.68,225300
"Mar 03, 2020",143.24,144.11,138.28,139.24,139.24,205700
"Mar 02, 2020",141.14,143.69,139.32,143.38,143.38,219100
"Feb 28, 2020",135.22,138.80,134.89,138.33,138.33,187700
"Feb 27, 2020",141.99,143.50,139.15,139.52,139.52,147500
"Feb 26, 2020",146.59,147.08,143.50,143.83,143.83,165700
"Feb 25, 2020",149.11,149.11,143.63,144.44,144.44,206400
"Feb 24, 2020",150.00,150.28,148.28,148.82,148.82,164500
"Feb 21, 2020",157.22,157.57,155.70,155.70,155.70,159200
"Feb 20, 2020",157.34,158.45,157.00,158.15,158.15,317100
"Feb 19, 2020",156.85,157.85,156.00,157.48,157.48,144100
"Feb 18, 2020",154.99,156.19,154.36,155.10,155.10,121800
"Feb 14, 2020",159.92,160.58,157.73,158.54,158.54,53400
"Feb 13, 2020",160.00,160.77,158.93,159.91,159.91,127400
"Feb 12, 2020",161.70,162.89,160.96,162.50,162.50,138600
"Feb 11, 2020",159.92,160.49,158.37,159.01,159.01,94100
"Feb 10, 2020",156.69,158.02,155.54,156.73,156.73,55100
"Feb 07, 2020",157.67,157.67,155.24,156.04,156.04,67000
"Feb 06, 2020",160.26,160.56,158.76,159.72,159.72,169400
"Feb 05, 2020",157.55,158.65,157.14,158.50,158.50,205000
"Feb 04, 2020",152.33,154.04,152.10,152.50,152.50,186900
"Feb 03, 2020",150.49,151.57,149.36,149.45,149.45,169900
"Jan 31, 2020",152.02,152.95,150.53,151.00,151.00,145600
"Jan 30, 2020",154.87,157.07,153.58,157.02,157.02,178700
"Jan 29, 2020",162.84,163.00,159.57,160.08,160.08,130500
"Jan 28, 2020",163.95,163.95,161.57,162.86,162.86,108300
"Jan 27, 2020",161.61,162.54,160.55,161.46,161.46,107300
"Jan 24, 2020",166.95,167.85,165.07,166.10,166.10,110300
"Jan 23, 2020",168.00,168.63,166.51,168.23,168.23,163400
"Jan 22, 2020",171.08,171.20,170.01,170.43,170.43,126600
"Jan 21, 2020",168.33,170.47,168.00,169.05,169.05,233700
"Jan 17, 2020",175.07,175.64,174.01,175.60,175.60,97000
"Jan 16, 2020",173.63,175.24,173.10,174.56,174.56,307600
"Jan 15, 2020",171.01,172.01,170.52,171.55,171.55,259100
"Jan 14, 2020",177.20,177.37,175.10,176.19,176.19,207200
"Jan 13, 2020",176.90,181.13,175.99,180.77,180.77,129100
"Jan 10, 2020",174.83,175.99,174.00,174.50,174.50,97900
"Jan 09, 2020",173.76,177.83,173.23,177.43,177.43,194100
"Jan 08, 2020",175.63,175.71,172.28,172.82,172.82,203900
"Jan 07, 2020",174.80,175.80,174.38,175.53,175.53,132000
"Jan 06, 2020",175.00,176.98,174.71,176.19,176.19,177000
"Jan 03, 2020",169.92,171.15,169.34,170.39,170.39,97700
"Jan 02, 2020",167.64,168.70,166.95,168.59,168.59,94500
"Dec 31, 2019",164.40,166.67,164.40,166.67,166.67,113700
"Dec 30, 2019",165.37,166.14,164.67,164.90,164.90,142300
"Dec 27, 2019",165.50,165.50,163.94,163.97,163.97,40800
"Dec 26, 2019",163.23,164.49,163.23,164.16,164.16,27100
"Dec 24, 2019",163.46,164.65,162.16,162.31,162.31,27100
"Dec 23, 2019",161.92,163.48,161.92,163.48,163.48,72100
"Dec 20, 2019",160.19,160.98,159.27,159.87,159.87,63000
"Dec 19, 2019",159.35,159.91,158.54,159.91,159.91,83600
"Dec 18, 2019",158.93,160.52,158.93,159.35,159.35,113400
"Dec 17, 2019",155.19,156.50,154.12,156.38,156.38,113400
"Dec 16, 2019",152.56,153.72,151.38,151.75,151.75,84200
"Dec 13, 2019",149.54,152.46,148.87,149.02,149.02,79000
"Dec 12, 2019",146.58,149.89,146.58,149.78,149.78,96600
"Dec 11, 2019",146.32,147.13,145.57,146.69,146.69,90400
"Dec 10, 2019",145.00,145.69,144.36,145.55,145.55,90100
"Dec 09, 2019",145.20,146.27,145.20,145.36,145.36,69500
"Dec 06, 2019",145.38,146.62,145.08,146.14,146.14,78300
"Dec 05, 2019",145.20,145.44,144.24,144.31,144.31,54100
"Dec 04, 2019",144.46,146.18,144.33,145.73,145.73,53900
"Dec 03, 2019",144.29,144.29,142.61,143.67,143.67,84200
"Dec 02, 2019",146.66,146.66,145.29,145.96,145.96,91600
"Nov 29, 2019",147.47,148.05,144.74,145.22,145.22,108400
"Nov 27, 2019",153.13,153.16,151.47,152.92,152.92,52600
"Nov 26, 2019",152.59,153.15,151.75,152.76,152.76,70600
"Nov 25, 2019",151.95,154.02,151.95,154.02,154.02,68700
"Nov 22, 2019",152.44,152.79,151.04,151.26,151.26,71100
"Nov 21, 2019",150.30,152.44,150.11,152.05,152.05,83500
"Nov 20, 2019",151.11,153.44,151.07,152.90,152.90,68700
"Nov 19, 2019",152.89,152.98,151.44,151.50,151.50,54600
"Nov 18, 2019",154.36,154.38,151.47,152.50,152.50,90200
"Nov 15, 2019",153.64,155.46,152.91,155.37,155.37,81800
"Nov 14, 2019",154.70,155.10,152.79,153.51,153.51,65900
"Nov 13, 2019",155.48,155.48,154.36,154.76,154.76,56700
"Nov 12, 2019",159.00,159.36,156.95,157.59,157.59,55800
"Nov 11, 2019",157.77,159.79,157.77,159.04,159.04,33400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
