Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",34.61,34.98,31.61,32.91,32.91,11504200
"Apr 02, 2020",31.25,35.42,30.71,33.86,33.86,14693200
"Apr 01, 2020",29.32,30.53,28.83,29.62,29.62,11101400
"Mar 31, 2020",30.03,31.92,29.71,30.80,30.80,13481100
"Mar 30, 2020",28.51,30.14,27.52,29.29,29.29,11089600
"Mar 27, 2020",30.12,30.27,28.80,29.25,29.25,10647200
"Mar 26, 2020",31.12,32.46,30.40,32.09,32.09,13576900
"Mar 25, 2020",31.23,32.56,29.49,30.94,30.94,14295900
"Mar 24, 2020",26.45,30.87,26.45,30.74,30.74,16724400
"Mar 23, 2020",26.75,26.97,23.35,24.55,24.55,16239400
"Mar 20, 2020",27.06,28.39,25.89,26.84,26.84,23790200
"Mar 19, 2020",23.13,25.99,21.00,25.59,25.59,15655100
"Mar 18, 2020",24.25,25.60,20.84,22.67,22.67,17039700
"Mar 17, 2020",26.36,26.85,24.39,26.25,26.25,18692900
"Mar 16, 2020",27.49,31.15,25.91,26.08,26.08,13774100
"Mar 13, 2020",30.60,31.74,27.59,31.38,31.38,17506900
"Mar 12, 2020",30.34,31.41,27.82,28.20,28.20,16581700
"Mar 11, 2020",33.59,33.95,31.51,32.56,32.56,18460700
"Mar 10, 2020",36.64,37.42,33.00,34.88,34.88,20337700
"Mar 09, 2020",33.95,36.20,32.00,34.07,34.07,29828600
"Mar 06, 2020",45.98,46.49,44.68,45.33,45.33,14504800
"Mar 05, 2020",47.98,48.64,46.78,47.70,47.70,9603800
"Mar 04, 2020",48.75,49.55,47.74,49.43,49.43,8924200
"Mar 03, 2020",49.53,51.49,47.45,48.12,48.12,11785400
"Mar 02, 2020",49.32,49.38,46.88,49.23,49.23,10672800
"Feb 28, 2020",45.42,48.44,45.12,48.42,48.42,16558800
"Feb 27, 2020",49.60,49.61,47.13,47.13,47.13,14676100
"Feb 26, 2020",54.02,54.25,51.11,51.17,51.17,11646700
"Feb 25, 2020",56.52,56.69,53.54,53.83,53.83,10447900
"Feb 24, 2020",56.15,56.94,55.99,56.38,56.38,10350200
"Feb 21, 2020",58.32,58.61,57.77,58.44,58.44,5216300
"Feb 20, 2020",59.25,59.55,58.58,58.88,58.88,5755000
"Feb 19, 2020",58.75,59.36,58.68,59.26,59.26,5267400
"Feb 18, 2020",58.41,58.57,57.71,58.30,58.30,3937800
"Feb 14, 2020",58.87,59.10,58.18,58.62,58.62,4204500
"Feb 13, 2020",59.09,59.45,58.60,58.82,58.82,5995600
"Feb 13, 2020",0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend
"Feb 12, 2020",59.90,61.15,59.54,59.76,59.34,5906800
"Feb 11, 2020",58.85,59.01,58.21,58.71,58.30,6143000
"Feb 10, 2020",57.46,58.14,57.21,57.87,57.46,6756300
"Feb 07, 2020",57.81,58.37,57.56,57.99,57.58,5081800
"Feb 06, 2020",59.07,59.07,57.93,58.41,58.00,5901700
"Feb 05, 2020",57.28,58.95,56.82,58.78,58.37,12891800
"Feb 04, 2020",58.93,59.82,56.43,56.49,56.09,13403000
"Feb 03, 2020",59.41,60.34,58.86,59.18,58.76,7016000
