Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.00,78.99,73.03,75.11,75.11,14900300
"Apr 02, 2020",71.75,78.70,69.58,76.12,76.12,23220600
"Apr 01, 2020",69.51,72.29,67.61,68.56,68.56,14362000
"Mar 31, 2020",73.27,75.04,70.81,72.46,72.46,18514200
"Mar 30, 2020",68.01,72.93,67.02,71.95,71.95,18486800
"Mar 27, 2020",72.12,73.54,68.50,68.78,68.78,20411500
"Mar 26, 2020",70.30,77.10,67.89,76.38,76.38,24129100
"Mar 25, 2020",68.29,73.14,66.64,69.27,69.27,22560100
"Mar 24, 2020",61.48,67.65,60.32,66.55,66.55,29198800
"Mar 23, 2020",58.26,59.40,52.97,54.22,54.22,23764000
"Mar 20, 2020",59.53,60.65,56.36,59.39,59.39,26960400
"Mar 19, 2020",55.26,58.49,51.60,57.39,57.39,29871000
"Mar 18, 2020",66.21,66.23,54.57,55.05,55.05,24947300
"Mar 17, 2020",70.40,72.98,65.49,70.69,70.69,22684200
"Mar 16, 2020",72.57,78.49,69.69,69.70,69.70,17535300
"Mar 13, 2020",79.98,83.50,74.11,83.42,83.42,23497500
"Mar 12, 2020",77.23,78.13,72.86,76.26,76.26,25768200
"Mar 11, 2020",82.23,84.84,81.75,83.03,83.03,18412800
"Mar 10, 2020",86.24,86.30,81.04,84.98,84.98,22642900
"Mar 09, 2020",82.23,88.01,80.00,80.67,80.67,30595500
"Mar 06, 2020",93.92,96.06,93.42,95.32,95.32,16861900
"Mar 05, 2020",95.71,97.39,94.94,97.19,97.19,12814400
"Mar 04, 2020",96.37,99.02,95.67,98.53,98.53,14753000
"Mar 03, 2020",96.79,98.48,93.37,94.39,94.39,16525500
"Mar 02, 2020",94.02,96.68,92.21,96.59,96.59,15050800
"Feb 28, 2020",90.63,93.44,90.11,93.34,93.34,20840600
"Feb 27, 2020",95.95,98.20,94.08,94.13,94.13,15783700
"Feb 26, 2020",100.86,101.61,98.00,98.04,98.04,11990400
"Feb 25, 2020",104.80,104.92,100.00,100.71,100.71,12871900
"Feb 24, 2020",105.71,106.96,104.42,104.71,104.71,9539800
"Feb 21, 2020",108.99,109.19,107.65,109.01,109.01,6443900
"Feb 20, 2020",110.78,111.07,109.70,109.81,109.81,4466600
"Feb 19, 2020",110.52,111.10,109.89,110.74,110.74,5887500
"Feb 18, 2020",109.00,110.27,108.83,110.24,110.24,4975800
"Feb 14, 2020",110.84,110.97,109.58,110.08,110.08,5148700
"Feb 14, 2020",1.29 Dividend,1.29 Dividend,1.29 Dividend,1.29 Dividend,1.29 Dividend,1.29 Dividend
"Feb 13, 2020",111.37,112.33,111.23,111.66,110.37,5991900
"Feb 12, 2020",112.51,112.60,111.61,112.04,110.75,5725700
"Feb 11, 2020",110.78,111.37,110.06,111.21,109.93,6072700
"Feb 10, 2020",108.54,109.80,108.32,109.79,108.52,6011800
"Feb 07, 2020",108.93,109.44,108.47,108.94,107.68,4830100
"Feb 06, 2020",110.63,110.67,109.11,109.49,108.23,6274000
"Feb 05, 2020",108.27,110.65,108.11,110.28,109.01,6914100
"Feb 04, 2020",107.68,108.34,106.60,106.85,105.62,9909000
"Feb 03, 2020",106.95,107.25,105.40,106.28,105.05,8787500
"Jan 31, 2020",109.81,110.00,106.40,107.14,105.90,13699600
"Jan 30, 2020",109.81,111.58,109.06,111.40,110.11,8382700
"Jan 29, 2020",111.45,111.84,110.18,110.37,109.09,4772800
"Jan 28, 2020",110.98,111.62,110.77,111.12,109.84,5771900
"Jan 27, 2020",110.25,110.83,109.98,110.39,109.11,7609800
"Jan 24, 2020",112.79,112.98,111.34,111.85,110.56,6920000
"Jan 23, 2020",112.40,113.49,111.86,113.10,111.79,8007800
"Jan 22, 2020",113.10,113.53,112.46,112.90,111.60,5589900
"Jan 21, 2020",115.10,115.15,113.17,113.31,112.00,8470300
"Jan 17, 2020",117.01,117.29,115.52,115.58,114.24,7885900
"Jan 16, 2020",116.56,117.28,116.45,116.89,115.54,7022000
"Jan 15, 2020",116.30,116.41,115.65,116.13,114.79,5808800
"Jan 14, 2020",116.50,116.88,115.71,116.30,114.96,7189100
"Jan 13, 2020",116.47,116.91,116.08,116.66,115.31,6846700
"Jan 10, 2020",117.52,117.69,116.40,116.44,115.09,6393800
"Jan 09, 2020",117.59,117.92,116.18,117.51,116.15,7345300
"Jan 08, 2020",118.55,119.09,117.65,117.70,116.34,7295900
"Jan 07, 2020",119.02,119.73,117.77,119.06,117.68,7856900
"Jan 06, 2020",121.24,121.67,120.33,120.60,119.21,9953000
"Jan 03, 2020",121.78,122.72,120.74,121.01,119.61,6360900
"Jan 02, 2020",120.81,121.63,120.77,121.43,120.03,5205000
"Dec 31, 2019",119.50,120.63,119.25,120.51,119.12,4215700
"Dec 30, 2019",120.44,121.34,119.81,119.85,118.47,4580200
"Dec 27, 2019",120.89,121.29,120.24,120.30,118.91,4138300
"Dec 26, 2019",120.67,121.42,120.34,120.60,119.21,3648600
"Dec 24, 2019",120.43,120.78,120.09,120.34,118.95,1640100
"Dec 23, 2019",119.31,120.40,119.15,120.33,118.94,5875000
"Dec 20, 2019",119.40,119.94,118.09,119.68,118.30,12171100
"Dec 19, 2019",118.57,118.74,117.86,118.13,116.77,6220300
"Dec 18, 2019",118.68,119.64,118.52,118.55,117.18,7496700
"Dec 17, 2019",119.59,119.89,118.33,118.60,117.23,6755500
"Dec 16, 2019",118.86,119.47,118.61,119.36,117.98,5619300
"Dec 13, 2019",119.05,119.54,117.90,117.96,116.60,4863400
"Dec 12, 2019",116.59,118.89,116.59,118.81,117.44,6462000
"Dec 11, 2019",117.09,117.66,116.13,116.23,114.89,7039600
"Dec 10, 2019",118.03,118.09,117.05,117.89,116.53,4886800
"Dec 09, 2019",116.52,117.89,116.44,117.30,115.94,4736100
"Dec 06, 2019",117.09,119.29,116.98,118.01,116.65,6735300
"Dec 05, 2019",117.62,117.74,116.19,116.33,114.99,5517500
"Dec 04, 2019",116.64,117.30,116.43,116.94,115.59,5706700
"Dec 03, 2019",116.20,116.70,115.70,115.89,114.55,6135800
"Dec 02, 2019",117.98,118.07,116.72,116.80,115.45,5195200
"Nov 29, 2019",117.28,117.82,116.88,117.13,115.78,3271000
"Nov 27, 2019",117.99,118.61,117.62,118.07,116.71,4106100
"Nov 26, 2019",118.34,118.56,117.20,117.79,116.43,10053100
"Nov 25, 2019",118.43,119.22,117.98,118.38,117.01,7390000
"Nov 22, 2019",119.06,119.70,118.60,118.63,117.26,4786800
"Nov 21, 2019",117.61,118.95,117.20,118.77,117.40,5810900
"Nov 20, 2019",116.41,118.08,116.12,117.34,115.98,5903100
"Nov 19, 2019",118.50,118.80,116.08,116.45,115.10,8723000
"Nov 18, 2019",119.82,120.00,118.14,118.55,117.18,4885300
"Nov 15, 2019",121.22,121.39,120.11,120.64,119.25,5589600
"Nov 15, 2019",1.19 Dividend,1.19 Dividend,1.19 Dividend,1.19 Dividend,1.19 Dividend,1.19 Dividend
"Nov 14, 2019",121.85,122.94,121.40,121.96,119.37,4882800
"Nov 13, 2019",120.46,122.41,120.37,122.28,119.69,5076400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
