Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",20.48,20.81,19.72,20.22,20.22,388400
"Apr 02, 2020",21.05,21.89,20.85,21.57,21.57,349200
"Apr 01, 2020",20.42,20.61,19.75,19.97,19.97,322400
"Mar 31, 2020",19.72,21.16,19.55,19.82,19.82,472400
"Mar 30, 2020",18.27,19.22,18.17,19.14,19.14,585600
"Mar 27, 2020",18.07,18.30,17.86,18.02,18.02,357000
"Mar 26, 2020",18.69,19.25,18.67,19.21,19.21,289500
"Mar 25, 2020",18.51,19.02,17.95,18.73,18.73,728400
"Mar 24, 2020",16.93,18.14,16.67,17.80,17.80,475600
"Mar 23, 2020",15.55,16.02,15.30,15.68,15.68,516800
"Mar 20, 2020",15.18,15.77,15.02,15.77,15.77,672200
"Mar 19, 2020",14.65,15.20,14.32,15.06,15.06,1282800
"Mar 18, 2020",14.61,15.04,13.95,14.40,14.40,534000
"Mar 17, 2020",14.78,15.58,14.50,15.07,15.07,794200
"Mar 16, 2020",14.21,15.02,12.10,14.14,14.14,1082400
"Mar 13, 2020",16.51,16.60,15.04,16.27,16.27,1226400
"Mar 12, 2020",16.81,16.84,14.56,14.85,14.85,950000
"Mar 11, 2020",18.40,18.59,17.73,17.90,17.90,1197800
"Mar 10, 2020",19.37,19.44,17.82,19.19,19.19,1468300
"Mar 09, 2020",18.82,19.21,17.83,17.83,17.83,817600
"Mar 06, 2020",23.63,23.75,22.75,22.81,22.81,1364200
"Mar 05, 2020",24.55,24.68,24.10,24.31,24.31,563600
"Mar 04, 2020",24.87,24.99,24.61,24.92,24.92,719800
"Mar 03, 2020",24.99,25.43,24.34,24.51,24.51,669000
"Mar 02, 2020",24.71,25.08,24.41,25.02,25.02,592500
"Feb 28, 2020",24.55,25.10,24.19,25.00,25.00,770600
"Feb 27, 2020",25.65,25.93,25.14,25.18,25.18,633900
"Feb 26, 2020",26.20,26.31,25.65,25.70,25.70,852900
"Feb 25, 2020",26.38,26.40,25.62,25.68,25.68,305100
"Feb 24, 2020",26.25,26.53,26.09,26.36,26.36,324300
"Feb 21, 2020",27.64,27.78,27.54,27.58,27.58,208100
"Feb 20, 2020",28.04,28.14,27.85,27.87,27.87,430700
"Feb 19, 2020",28.07,28.15,27.99,28.11,28.11,614600
"Feb 18, 2020",27.93,28.05,27.86,28.05,28.05,313400
"Feb 14, 2020",28.25,28.30,27.97,28.04,28.04,300200
"Feb 13, 2020",28.05,28.29,28.04,28.21,28.21,370800
"Feb 12, 2020",28.48,28.62,28.38,28.50,28.50,268100
"Feb 11, 2020",28.36,28.40,28.09,28.13,28.13,281800
"Feb 10, 2020",28.03,28.09,27.83,27.87,27.87,314000
"Feb 07, 2020",28.25,28.32,28.11,28.13,28.13,104900
"Feb 06, 2020",28.74,28.74,28.43,28.44,28.44,426200
"Feb 05, 2020",28.78,28.87,28.66,28.68,28.68,172200
"Feb 04, 2020",28.42,28.46,28.13,28.13,28.13,241400
"Feb 03, 2020",27.92,28.02,27.78,27.93,27.93,418200
"Jan 31, 2020",28.20,28.22,27.91,27.99,27.99,348600
"Jan 30, 2020",28.64,28.86,28.50,28.79,28.79,180500
"Jan 29, 2020",29.40,29.46,29.12,29.12,29.12,372900
"Jan 28, 2020",29.34,29.57,29.27,29.47,29.47,269800
"Jan 27, 2020",29.13,29.28,28.97,29.06,29.06,210000
"Jan 24, 2020",29.94,29.94,29.58,29.75,29.75,161300
"Jan 23, 2020",29.81,30.05,29.59,30.03,30.03,154100
"Jan 22, 2020",30.11,30.12,29.99,30.02,30.02,332500
"Jan 21, 2020",30.52,30.59,30.37,30.42,30.42,250600
"Jan 17, 2020",30.90,31.01,30.76,31.01,31.01,214400
"Jan 16, 2020",31.03,31.03,30.85,30.99,30.99,182800
"Jan 15, 2020",30.74,30.81,30.60,30.62,30.62,231700
"Jan 14, 2020",31.00,31.04,30.81,30.91,30.91,233400
"Jan 13, 2020",31.20,31.43,31.10,31.32,31.32,252400
"Jan 10, 2020",31.34,31.48,31.26,31.37,31.37,268000
"Jan 09, 2020",31.38,31.71,31.19,31.71,31.71,369600
"Jan 08, 2020",31.71,31.74,31.39,31.44,31.44,146100
"Jan 07, 2020",31.77,31.98,31.73,31.94,31.94,174100
"Jan 06, 2020",32.08,32.19,32.00,32.12,32.12,216100
"Jan 03, 2020",31.48,31.62,31.48,31.56,31.56,171300
"Jan 02, 2020",31.26,31.49,31.02,31.48,31.48,186500
"Dec 31, 2019",30.92,31.05,30.86,30.96,30.96,121500
"Dec 30, 2019",31.16,31.19,30.85,30.92,30.92,267600
"Dec 27, 2019",31.18,31.32,31.12,31.19,31.19,120200
"Dec 26, 2019",31.11,31.33,31.09,31.10,31.10,138700
"Dec 24, 2019",31.15,31.15,31.04,31.04,31.04,54300
"Dec 23, 2019",30.87,31.20,30.86,31.17,31.17,156900
"Dec 20, 2019",30.87,30.90,30.73,30.80,30.80,254600
"Dec 19, 2019",30.67,30.80,30.67,30.80,30.80,173000
"Dec 18, 2019",30.68,30.72,30.59,30.60,30.60,159000
"Dec 17, 2019",30.72,30.75,30.38,30.44,30.44,163800
"Dec 16, 2019",30.47,30.49,30.21,30.31,30.31,321900
"Dec 13, 2019",30.44,30.60,30.10,30.13,30.13,275700
"Dec 12, 2019",30.10,31.43,30.08,30.41,30.41,296300
"Dec 11, 2019",30.24,30.34,29.99,30.08,30.08,257200
"Dec 10, 2019",30.09,30.26,30.03,30.19,30.19,814600
"Dec 09, 2019",30.13,30.21,29.93,29.96,29.96,168500
"Dec 06, 2019",30.27,30.56,30.27,30.31,30.31,289600
"Dec 05, 2019",30.45,30.50,30.11,30.12,30.12,170900
"Dec 04, 2019",30.15,30.31,30.12,30.24,30.24,386900
"Dec 03, 2019",29.81,29.91,29.62,29.79,29.79,520200
"Dec 02, 2019",30.07,30.12,29.85,29.91,29.91,364400
"Nov 29, 2019",30.28,30.33,30.05,30.05,30.05,98800
"Nov 27, 2019",30.52,30.56,30.37,30.46,30.46,150500
"Nov 26, 2019",30.81,30.81,30.54,30.60,30.60,187200
"Nov 25, 2019",30.82,30.90,30.77,30.85,30.85,118200
"Nov 22, 2019",31.11,31.14,30.81,30.95,30.95,161800
"Nov 21, 2019",31.13,31.20,31.05,31.13,31.13,228700
"Nov 20, 2019",30.76,30.99,30.65,30.92,30.92,371700
"Nov 19, 2019",31.18,31.18,30.79,30.80,30.80,124600
"Nov 18, 2019",31.25,31.31,31.13,31.30,31.30,134300
"Nov 15, 2019",31.26,31.50,31.26,31.45,31.45,131600
"Nov 14, 2019",31.18,31.25,31.07,31.17,31.17,110500
"Nov 13, 2019",31.11,31.31,31.03,31.12,31.12,149600
"Nov 12, 2019",31.45,31.56,31.19,31.28,31.28,213500
"Nov 11, 2019",31.13,31.31,31.10,31.20,31.20,147300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
