Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",10.50,11.31,10.38,11.16,11.16,2141600
"Apr 02, 2020",9.44,10.72,9.25,10.24,10.24,1871600
"Apr 01, 2020",9.25,9.28,8.81,9.01,9.01,1768100
"Mar 31, 2020",9.41,9.82,9.40,9.51,9.51,2501300
"Mar 30, 2020",9.14,9.21,8.32,9.10,9.10,1324900
"Mar 27, 2020",9.61,9.61,8.51,9.22,9.22,2914200
"Mar 26, 2020",8.84,10.20,8.84,10.08,10.08,2258400
"Mar 25, 2020",7.94,9.08,7.94,8.77,8.77,2704300
"Mar 24, 2020",7.66,8.31,7.66,7.79,7.79,1785000
"Mar 23, 2020",7.21,7.50,6.82,7.16,7.16,1039300
"Mar 20, 2020",7.37,8.14,7.11,7.19,7.19,1253200
"Mar 19, 2020",6.72,7.26,6.54,6.99,6.99,1288500
"Mar 18, 2020",7.60,7.62,6.28,6.68,6.68,1599300
"Mar 17, 2020",8.47,8.60,7.87,7.99,7.99,1662600
"Mar 16, 2020",9.00,9.62,8.12,8.27,8.27,1716100
"Mar 13, 2020",10.48,10.92,9.76,10.83,10.83,1685600
"Mar 12, 2020",10.54,10.72,9.49,9.69,9.69,1946700
"Mar 11, 2020",12.19,12.40,11.19,11.37,11.37,1034300
"Mar 10, 2020",12.95,13.29,12.00,12.62,12.62,2369300
"Mar 09, 2020",13.50,14.06,11.80,12.19,12.19,2011500
"Mar 06, 2020",17.44,17.46,16.39,16.41,16.41,2233600
"Mar 05, 2020",17.81,18.14,17.72,17.94,17.94,1603400
"Mar 04, 2020",17.82,18.34,17.73,18.12,18.12,1115200
"Mar 03, 2020",17.88,18.28,17.19,17.49,17.49,1448400
"Mar 02, 2020",17.81,18.06,17.58,17.80,17.80,1467000
"Feb 28, 2020",17.20,17.70,16.84,17.65,17.65,1565500
"Feb 27, 2020",18.47,18.50,17.29,17.79,17.79,2334700
"Feb 26, 2020",19.26,19.52,18.84,18.87,18.87,1481000
"Feb 25, 2020",19.40,19.52,19.11,19.13,19.13,1276700
"Feb 24, 2020",19.64,19.75,19.16,19.39,19.39,739800
"Feb 21, 2020",20.03,20.27,19.83,20.20,20.20,677700
"Feb 20, 2020",20.50,20.54,20.16,20.16,20.16,989800
"Feb 19, 2020",19.87,20.40,19.82,20.38,20.38,1527200
"Feb 18, 2020",19.38,19.72,19.38,19.70,19.70,820300
"Feb 14, 2020",19.92,20.00,19.50,19.53,19.53,712500
"Feb 13, 2020",19.83,19.93,19.68,19.81,19.81,693300
"Feb 12, 2020",19.43,19.95,19.42,19.90,19.90,842300
"Feb 11, 2020",18.86,19.23,18.70,19.21,19.21,548400
"Feb 10, 2020",18.69,18.69,18.52,18.66,18.66,470100
"Feb 07, 2020",18.74,18.86,18.66,18.74,18.74,578100
"Feb 06, 2020",19.00,19.00,18.69,18.83,18.83,859100
"Feb 05, 2020",19.16,19.30,18.94,18.96,18.96,668300
"Feb 04, 2020",18.81,19.12,18.78,18.86,18.86,521400
"Feb 03, 2020",18.53,18.57,18.33,18.51,18.51,743900
"Jan 31, 2020",18.50,18.63,18.30,18.50,18.50,1082500
"Jan 30, 2020",18.50,18.73,18.39,18.71,18.71,775700
"Jan 29, 2020",18.96,18.96,18.71,18.73,18.73,631200
"Jan 28, 2020",18.88,18.97,18.80,18.84,18.84,858100
"Jan 27, 2020",19.14,19.14,18.74,18.76,18.76,901100
"Jan 24, 2020",19.62,19.62,19.46,19.50,19.50,472900
"Jan 23, 2020",19.80,19.85,19.51,19.62,19.62,498400
"Jan 22, 2020",20.09,20.13,19.96,19.97,19.97,488000
"Jan 21, 2020",20.24,20.29,19.98,20.05,20.05,266600
"Jan 17, 2020",20.45,20.55,20.25,20.37,20.37,383200
"Jan 16, 2020",20.57,20.61,20.37,20.41,20.41,514900
"Jan 15, 2020",20.56,20.68,20.42,20.46,20.46,413100
"Jan 14, 2020",20.95,20.95,20.48,20.60,20.60,385900
"Jan 13, 2020",20.71,20.96,20.56,20.95,20.95,460500
"Jan 10, 2020",20.52,20.77,20.44,20.71,20.71,518900
"Jan 09, 2020",20.37,20.46,20.21,20.45,20.45,356200
"Jan 08, 2020",20.26,20.54,20.20,20.34,20.34,1498200
"Jan 07, 2020",20.32,20.58,20.27,20.50,20.50,559200
"Jan 06, 2020",20.50,20.53,20.28,20.40,20.40,397200
"Jan 03, 2020",20.59,20.70,20.36,20.48,20.48,682700
"Jan 02, 2020",20.15,20.41,20.15,20.31,20.31,264900
"Dec 31, 2019",20.25,20.25,19.84,19.96,19.96,343900
"Dec 30, 2019",20.24,20.49,20.07,20.27,20.27,278500
"Dec 27, 2019",20.43,20.47,20.17,20.22,20.22,355400
"Dec 26, 2019",20.28,20.47,20.13,20.27,20.27,311700
"Dec 26, 2019",0.535193 Dividend,0.535193 Dividend,0.535193 Dividend,0.535193 Dividend,0.535193 Dividend,0.535193 Dividend
"Dec 24, 2019",20.69,20.81,20.65,20.70,20.16,170000
"Dec 23, 2019",20.27,20.61,20.12,20.59,20.06,376600
"Dec 20, 2019",20.18,20.25,20.10,20.19,19.67,872900
"Dec 19, 2019",20.06,20.29,20.05,20.10,19.58,520500
"Dec 18, 2019",19.88,19.92,19.76,19.78,19.27,701300
"Dec 17, 2019",19.85,19.98,19.76,19.88,19.37,395100
"Dec 16, 2019",19.70,19.86,19.66,19.83,19.32,418100
"Dec 13, 2019",19.65,19.90,19.54,19.54,19.03,337400
"Dec 12, 2019",19.40,19.67,19.40,19.59,19.08,270100
"Dec 11, 2019",19.15,19.37,19.15,19.36,18.86,513500
"Dec 10, 2019",19.26,19.27,19.06,19.12,18.63,446900
"Dec 09, 2019",19.10,19.37,19.05,19.23,18.73,232200
"Dec 06, 2019",18.88,19.50,18.88,19.24,18.74,535700
"Dec 05, 2019",19.18,19.24,18.75,18.84,18.35,703800
"Dec 04, 2019",18.52,19.17,18.48,19.12,18.63,1284500
"Dec 03, 2019",18.10,18.37,18.05,18.24,17.77,581500
"Dec 02, 2019",18.56,18.58,18.22,18.25,17.78,471900
"Nov 29, 2019",18.39,18.68,18.25,18.31,17.84,387000
"Nov 27, 2019",18.08,18.33,17.92,18.33,17.86,372500
"Nov 26, 2019",18.31,18.42,17.97,18.05,17.58,722400
"Nov 25, 2019",18.49,18.53,18.38,18.43,17.95,300700
"Nov 22, 2019",18.39,18.58,18.32,18.46,17.98,441900
"Nov 21, 2019",18.26,18.35,18.05,18.33,17.86,317100
"Nov 20, 2019",18.01,18.27,17.83,18.19,17.72,409600
"Nov 19, 2019",17.98,18.11,17.84,17.96,17.50,470000
"Nov 18, 2019",18.26,18.26,17.83,18.03,17.56,474200
"Nov 15, 2019",18.24,18.49,18.15,18.37,17.90,590800
"Nov 14, 2019",18.23,18.40,18.08,18.20,17.73,315300
"Nov 13, 2019",18.19,18.26,18.00,18.17,17.70,478000
"Nov 12, 2019",18.96,18.99,18.25,18.26,17.79,398300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
