Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",40.00,41.29,38.43,39.89,39.89,13593900
"Apr 02, 2020",36.63,43.45,36.29,38.30,38.30,12694000
"Apr 01, 2020",34.57,35.47,33.55,34.60,34.60,6250300
"Mar 31, 2020",36.90,38.61,35.18,35.92,35.92,7816000
"Mar 30, 2020",35.01,35.47,33.52,34.98,34.98,9148200
"Mar 27, 2020",37.83,38.39,34.88,36.00,36.00,10078900
"Mar 26, 2020",36.12,40.20,36.12,39.53,39.53,9263100
"Mar 25, 2020",39.09,41.57,36.70,39.69,39.69,9492500
"Mar 24, 2020",36.44,40.00,35.72,39.80,39.80,10485900
"Mar 23, 2020",34.60,36.53,33.11,34.54,34.54,8642100
"Mar 20, 2020",34.69,37.24,33.52,34.89,34.89,12411400
"Mar 19, 2020",29.94,34.55,29.76,33.22,33.22,9407700
"Mar 18, 2020",28.19,30.15,27.00,29.76,29.76,7759600
"Mar 17, 2020",31.39,33.24,29.62,30.89,30.89,10122100
"Mar 16, 2020",29.99,36.09,28.11,31.10,31.10,10311100
"Mar 13, 2020",35.25,35.82,30.25,34.80,34.80,13961100
"Mar 12, 2020",35.19,35.95,31.66,32.50,32.50,12384000
"Mar 11, 2020",39.45,39.95,37.56,38.86,38.86,13208700
"Mar 10, 2020",39.88,41.71,35.81,41.60,41.60,13804500
"Mar 09, 2020",38.22,40.18,34.89,37.60,37.60,18938200
"Mar 06, 2020",58.92,59.90,53.87,55.30,55.30,9915000
"Mar 05, 2020",61.78,63.74,60.71,61.87,61.87,4905100
"Mar 04, 2020",63.62,64.50,62.28,64.08,64.08,5455100
"Mar 03, 2020",62.93,65.41,60.89,62.43,62.43,6432200
"Mar 02, 2020",63.81,63.90,60.16,62.86,62.86,8008500
"Feb 28, 2020",57.30,63.26,56.34,63.26,63.26,11081600
"Feb 27, 2020",60.59,63.56,58.85,60.00,60.00,7699300
"Feb 26, 2020",67.72,67.77,63.08,63.20,63.20,5371300
"Feb 25, 2020",70.15,70.32,65.55,66.99,66.99,6558100
"Feb 24, 2020",71.33,71.33,69.40,69.91,69.91,3854400
"Feb 21, 2020",74.87,74.87,73.65,74.21,74.21,2963700
"Feb 20, 2020",76.79,77.37,75.69,75.99,75.99,2447100
"Feb 19, 2020",74.93,77.67,74.93,77.28,77.28,2765200
"Feb 18, 2020",74.53,75.07,73.53,74.53,74.53,2520800
"Feb 14, 2020",76.00,76.22,73.84,74.92,74.92,2087700
"Feb 13, 2020",75.00,76.04,74.75,75.68,75.68,2197600
"Feb 12, 2020",76.60,76.91,75.17,75.38,75.38,2860000
"Feb 11, 2020",75.13,75.41,74.31,74.79,74.79,2191500
"Feb 10, 2020",73.90,74.14,73.06,73.70,73.70,2865400
"Feb 07, 2020",74.85,75.32,73.90,74.35,74.35,2257800
"Feb 06, 2020",77.40,77.40,75.22,75.87,75.87,2128800
"Feb 05, 2020",75.50,77.98,75.28,77.05,77.05,3724800
"Feb 04, 2020",72.91,74.80,72.90,73.62,73.62,4725200
"Feb 03, 2020",72.83,73.00,71.27,71.37,71.37,3803200
"Jan 31, 2020",74.32,74.80,72.51,72.91,72.91,5004100
"Jan 30, 2020",74.13,75.99,73.59,75.82,75.82,4535800
"Jan 29, 2020",77.67,77.94,75.04,75.14,75.14,2701000
"Jan 28, 2020",77.47,77.93,76.57,77.05,77.05,2794300
"Jan 27, 2020",77.59,78.27,76.61,76.64,76.64,2968300
"Jan 24, 2020",81.20,81.21,78.97,79.85,79.85,3128800
"Jan 23, 2020",82.10,82.24,80.65,81.83,81.83,3369400
"Jan 22, 2020",84.04,84.10,82.78,83.09,83.09,4030400
"Jan 21, 2020",85.10,86.17,84.03,84.04,84.04,4522700
"Jan 17, 2020",87.07,87.14,84.30,85.31,85.31,4542600
"Jan 16, 2020",86.96,88.09,86.67,87.02,87.02,5128600
"Jan 16, 2020",0.2875 Dividend,0.2875 Dividend,0.2875 Dividend,0.2875 Dividend,0.2875 Dividend,0.2875 Dividend
"Jan 15, 2020",85.68,86.77,85.25,86.74,86.45,2562500
"Jan 14, 2020",85.37,86.66,84.56,86.33,86.04,4281700
"Jan 13, 2020",85.88,85.97,84.34,85.52,85.24,3399700
"Jan 10, 2020",87.55,87.61,86.15,86.27,85.98,2950600
"Jan 09, 2020",86.55,88.37,84.71,88.25,87.96,6908200
"Jan 08, 2020",89.24,89.54,86.97,87.34,87.05,5337300
"Jan 07, 2020",88.63,89.33,87.23,89.29,88.99,4320000
"Jan 06, 2020",85.90,89.29,85.78,88.44,88.15,8485500
"Jan 03, 2020",85.58,86.85,84.06,84.99,84.71,3716200
"Jan 02, 2020",84.32,84.61,83.54,84.14,83.86,2496400
"Dec 31, 2019",81.85,83.78,81.38,83.76,83.48,2238900
"Dec 30, 2019",82.90,83.50,82.23,82.39,82.12,2251800
"Dec 27, 2019",84.07,84.09,82.93,83.14,82.86,1868300
"Dec 26, 2019",84.29,84.69,83.47,83.65,83.37,2588800
"Dec 24, 2019",83.80,84.50,83.53,83.81,83.53,1236200
"Dec 23, 2019",82.36,83.50,81.82,83.38,83.10,3159100
"Dec 20, 2019",82.72,83.62,81.40,82.66,82.39,9119000
"Dec 19, 2019",80.17,81.66,79.69,81.25,80.98,6791700
"Dec 18, 2019",78.91,81.36,78.81,80.59,80.32,7742700
"Dec 17, 2019",78.12,79.50,78.05,78.81,78.55,5506500
"Dec 16, 2019",76.25,78.16,75.99,77.91,77.65,6744500
"Dec 13, 2019",77.46,77.65,75.39,75.49,75.24,2728900
"Dec 12, 2019",74.66,77.12,74.37,76.71,76.46,3754800
"Dec 11, 2019",74.76,75.03,74.05,74.67,74.42,3158900
"Dec 10, 2019",74.05,75.10,73.74,74.84,74.59,3646900
"Dec 09, 2019",73.28,74.90,72.78,74.51,74.26,3752000
"Dec 06, 2019",70.91,74.12,70.70,73.96,73.71,4368000
