Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",14.92,15.10,13.92,14.43,14.43,9092500
"Apr 02, 2020",14.01,15.37,13.90,14.41,14.41,13226300
"Apr 01, 2020",13.69,14.28,13.29,13.79,13.79,10159000
"Mar 31, 2020",13.90,14.30,13.42,14.30,14.30,18666100
"Mar 30, 2020",13.76,14.19,12.80,13.55,13.55,12945300
"Mar 27, 2020",14.42,14.79,13.78,13.95,13.95,13168500
"Mar 26, 2020",14.05,15.90,13.85,15.06,15.06,13744700
"Mar 25, 2020",14.00,14.93,13.11,14.11,14.11,15408300
"Mar 24, 2020",14.05,14.25,13.20,13.90,13.90,13082800
"Mar 23, 2020",13.89,13.89,12.53,13.29,13.29,16044200
"Mar 20, 2020",15.28,15.50,12.00,14.56,14.56,27739600
"Mar 19, 2020",12.15,14.95,11.71,14.52,14.52,22884000
"Mar 18, 2020",11.95,13.20,10.27,12.27,12.27,29204600
"Mar 17, 2020",13.90,13.92,12.78,13.00,13.00,22422900
"Mar 16, 2020",13.94,14.75,13.00,13.63,13.63,19689100
"Mar 13, 2020",16.01,16.16,14.44,15.52,15.52,21839600
"Mar 12, 2020",15.13,15.46,13.26,14.26,14.26,36622200
"Mar 11, 2020",18.00,18.50,16.52,17.21,17.21,19119200
"Mar 10, 2020",19.89,19.97,16.33,18.60,18.60,29068400
"Mar 09, 2020",18.00,20.08,13.88,18.25,18.25,34583900
"Mar 06, 2020",23.00,23.05,22.17,22.42,22.42,14831400
"Mar 05, 2020",23.69,23.84,23.20,23.67,23.67,6324900
"Mar 04, 2020",24.45,24.54,23.83,24.07,24.07,7841500
"Mar 03, 2020",24.55,25.10,23.74,24.02,24.02,9305100
"Mar 02, 2020",23.70,24.45,23.04,24.33,24.33,12206400
"Feb 28, 2020",22.29,23.36,21.95,23.34,23.34,18670400
"Feb 27, 2020",23.18,23.58,22.46,22.89,22.89,15105800
"Feb 26, 2020",24.11,24.62,23.72,23.85,23.85,9525900
"Feb 25, 2020",25.11,25.20,23.99,23.99,23.99,11836400
"Feb 24, 2020",25.29,25.32,24.77,24.98,24.98,9113100
"Feb 21, 2020",26.05,26.18,25.70,25.95,25.95,4444300
"Feb 20, 2020",26.04,26.33,25.92,26.22,26.22,4613600
"Feb 19, 2020",26.09,26.25,25.89,26.09,26.09,3430400
"Feb 18, 2020",26.19,26.19,25.75,25.97,25.97,7052200
"Feb 14, 2020",26.20,26.29,25.92,26.27,26.27,4439300
"Feb 13, 2020",26.39,26.76,26.03,26.09,26.09,8486400
"Feb 12, 2020",26.02,26.60,25.90,26.50,26.50,5098100
"Feb 11, 2020",25.62,25.83,25.60,25.71,25.71,4966000
"Feb 10, 2020",25.56,25.72,25.40,25.49,25.49,5313300
"Feb 07, 2020",25.60,25.71,25.41,25.56,25.56,4272400
"Feb 06, 2020",26.39,26.43,25.72,25.76,25.76,5275100
"Feb 05, 2020",26.40,26.73,26.15,26.33,26.33,5521600
"Feb 04, 2020",25.77,26.35,25.75,26.11,26.11,7514100
"Feb 03, 2020",25.85,25.93,25.32,25.39,25.39,10224100
"Jan 31, 2020",26.47,26.59,25.76,25.77,25.77,8007300
"Jan 30, 2020",26.48,26.95,26.07,26.53,26.53,9231400
"Jan 30, 2020",0.445 Dividend,0.445 Dividend,0.445 Dividend,0.445 Dividend,0.445 Dividend,0.445 Dividend
"Jan 29, 2020",27.39,27.49,27.09,27.28,26.84,6759600
"Jan 28, 2020",27.10,27.33,26.87,27.24,26.80,4668700
"Jan 27, 2020",26.99,27.09,26.78,26.94,26.50,10224400
"Jan 24, 2020",27.82,27.84,27.19,27.35,26.90,6257100
"Jan 23, 2020",27.61,28.01,27.30,27.80,27.35,4672600
"Jan 22, 2020",28.21,28.24,27.64,27.71,27.26,6094300
"Jan 21, 2020",28.69,28.73,28.01,28.11,27.65,7629900
"Jan 17, 2020",29.08,29.08,28.74,28.81,28.34,6773200
"Jan 16, 2020",29.03,29.09,28.84,29.02,28.55,4222100
"Jan 15, 2020",29.01,29.22,28.92,28.92,28.45,3666400
"Jan 14, 2020",28.96,29.20,28.87,28.99,28.52,2887500
"Jan 13, 2020",28.60,28.99,28.41,28.93,28.46,5595800
"Jan 10, 2020",28.45,28.50,28.29,28.50,28.04,4027200
"Jan 09, 2020",28.64,28.76,28.46,28.56,28.09,6225500
"Jan 08, 2020",28.72,28.88,28.26,28.64,28.17,5322500
"Jan 07, 2020",28.70,28.76,28.35,28.72,28.25,4181600
"Jan 06, 2020",28.70,28.85,28.48,28.70,28.23,5603800
"Jan 03, 2020",28.25,28.45,27.96,28.40,27.94,3771700
"Jan 02, 2020",28.20,28.37,27.96,28.13,27.67,4089000
"Dec 31, 2019",27.74,28.19,27.61,28.16,27.70,4125500
"Dec 30, 2019",28.21,28.45,27.84,27.88,27.43,4492300
"Dec 27, 2019",28.58,28.58,28.07,28.18,27.72,3631300
"Dec 26, 2019",28.43,28.75,28.33,28.51,28.04,4428800
"Dec 24, 2019",28.50,28.53,28.20,28.34,27.88,1612700
"Dec 23, 2019",28.13,28.59,28.03,28.50,28.04,4580700
"Dec 20, 2019",28.30,28.36,28.00,28.13,27.67,9358900
"Dec 19, 2019",28.10,28.31,27.69,28.31,27.85,8443200
"Dec 18, 2019",28.01,28.38,27.97,28.12,27.66,4812700
"Dec 17, 2019",27.86,28.31,27.83,27.85,27.40,5925000
"Dec 16, 2019",27.62,27.88,27.52,27.70,27.25,4874600
"Dec 13, 2019",28.21,28.22,27.39,27.52,27.07,10708900
"Dec 12, 2019",27.51,28.36,27.51,28.16,27.70,9097000
"Dec 11, 2019",28.00,28.06,27.31,27.67,27.22,9344900
"Dec 10, 2019",26.83,27.34,26.77,27.17,26.73,6921800
"Dec 09, 2019",26.20,26.74,26.11,26.72,26.28,5283100
"Dec 06, 2019",26.15,26.34,26.13,26.25,25.82,3979400
"Dec 05, 2019",26.13,26.30,26.04,26.07,25.64,3940500
"Dec 04, 2019",25.78,26.23,25.68,26.13,25.70,5247200
"Dec 03, 2019",25.81,25.98,25.53,25.68,25.26,6728000
"Dec 02, 2019",26.32,26.38,25.85,25.96,25.54,6254400
"Nov 29, 2019",26.65,26.69,26.28,26.32,25.89,1652400
"Nov 27, 2019",26.43,26.76,25.96,26.76,26.32,5235200
"Nov 26, 2019",26.56,26.68,26.40,26.43,26.00,3324000
"Nov 25, 2019",26.42,26.71,26.33,26.58,26.15,4560700
"Nov 22, 2019",26.35,26.66,26.30,26.62,26.19,6996900
"Nov 21, 2019",25.90,26.34,25.88,26.27,25.84,5101600
"Nov 20, 2019",25.24,26.00,25.21,25.90,25.48,7115300
"Nov 19, 2019",25.88,25.88,25.04,25.15,24.74,9071900
"Nov 18, 2019",26.20,26.24,25.74,25.78,25.36,6047600
"Nov 15, 2019",26.20,26.34,25.93,26.30,25.87,5350600
"Nov 14, 2019",26.60,26.70,26.02,26.15,25.72,4451500
"Nov 13, 2019",26.09,26.54,26.03,26.51,26.08,6156800
"Nov 12, 2019",26.02,26.55,25.85,26.15,25.72,5728400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
