Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",13.36,13.43,12.57,12.87,12.87,8606800
"Apr 02, 2020",13.27,14.40,12.93,13.70,13.70,12332900
"Apr 01, 2020",12.66,13.03,12.30,12.41,12.41,8903800
"Mar 31, 2020",12.36,12.58,11.92,12.18,12.18,6348900
"Mar 30, 2020",11.21,11.57,11.03,11.41,11.41,5213300
"Mar 27, 2020",10.97,11.10,10.81,10.88,10.88,3044000
"Mar 26, 2020",11.38,11.94,11.36,11.83,11.83,4811800
"Mar 25, 2020",11.08,11.88,10.69,11.67,11.67,6525200
"Mar 24, 2020",10.09,10.54,10.06,10.39,10.39,5625500
"Mar 23, 2020",9.57,9.67,9.13,9.17,9.17,5918100
"Mar 20, 2020",9.94,10.05,9.23,9.51,9.51,6172300
"Mar 19, 2020",9.09,10.00,8.83,9.78,9.78,4206900
"Mar 18, 2020",9.33,9.44,8.41,8.84,8.84,5635800
"Mar 17, 2020",9.90,10.43,9.58,9.96,9.96,6058000
"Mar 16, 2020",9.15,10.04,9.15,9.20,9.20,6941600
"Mar 13, 2020",10.70,10.82,9.84,10.61,10.61,9881500
"Mar 12, 2020",9.85,10.09,9.68,9.69,9.69,9267300
"Mar 11, 2020",11.38,11.51,11.01,11.15,11.15,10505300
"Mar 10, 2020",12.21,12.25,11.51,12.05,12.05,11490100
"Mar 09, 2020",11.94,12.42,11.64,11.66,11.66,9880400
"Mar 06, 2020",15.14,15.26,14.66,14.77,14.77,5672500
"Mar 05, 2020",15.64,15.75,15.40,15.53,15.53,1872100
"Mar 04, 2020",15.98,16.00,15.75,15.98,15.98,2675300
"Mar 03, 2020",16.10,16.38,15.68,15.81,15.81,5479900
"Mar 02, 2020",15.67,15.95,15.39,15.94,15.94,5878700
"Feb 28, 2020",14.79,15.56,14.78,15.55,15.55,7267400
"Feb 27, 2020",15.32,15.71,15.14,15.26,15.26,7726300
"Feb 26, 2020",16.07,16.26,15.82,15.82,15.82,6963600
"Feb 25, 2020",16.28,16.29,15.84,15.89,15.89,14485100
"Feb 24, 2020",16.05,16.32,16.05,16.21,16.21,9070800
"Feb 21, 2020",17.00,17.19,16.95,17.14,17.14,6626800
"Feb 20, 2020",17.28,17.39,17.26,17.29,17.29,3383300
"Feb 19, 2020",17.26,17.41,17.18,17.34,17.34,2278600
"Feb 18, 2020",16.77,17.12,16.77,17.12,17.12,2861200
"Feb 18, 2020",0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend
"Feb 14, 2020",17.53,17.53,17.36,17.45,17.19,2152800
"Feb 13, 2020",17.30,17.56,17.28,17.48,17.22,2702300
"Feb 12, 2020",17.60,17.67,17.41,17.54,17.28,4904100
"Feb 11, 2020",17.21,17.29,17.13,17.24,16.98,5124600
"Feb 10, 2020",16.73,16.78,16.65,16.72,16.47,4104100
"Feb 07, 2020",17.31,17.42,17.24,17.28,17.02,3062500
"Feb 06, 2020",18.14,18.23,17.83,17.90,17.63,5859300
"Feb 05, 2020",18.61,18.72,18.51,18.61,18.33,2954700
"Feb 04, 2020",18.28,18.33,18.01,18.02,17.75,2465000
"Feb 03, 2020",18.03,18.16,17.85,17.88,17.61,2944500
"Jan 31, 2020",18.25,18.36,18.12,18.18,17.91,3975000
"Jan 30, 2020",18.53,18.79,18.40,18.76,18.48,2757700
"Jan 29, 2020",19.10,19.13,18.89,18.89,18.61,2889100
"Jan 28, 2020",19.19,19.30,19.15,19.20,18.91,2091400
"Jan 27, 2020",19.34,19.45,19.14,19.22,18.93,1812200
"Jan 24, 2020",19.91,19.98,19.73,19.83,19.53,2639400
"Jan 23, 2020",19.76,20.01,19.61,19.97,19.67,1072000
"Jan 22, 2020",20.03,20.06,19.94,20.00,19.70,3097900
"Jan 21, 2020",20.16,20.50,19.92,19.92,19.62,2467200
"Jan 17, 2020",20.47,20.48,20.28,20.39,20.09,3079300
"Jan 16, 2020",20.45,20.46,20.29,20.30,20.00,4175200
"Jan 15, 2020",20.24,20.26,20.07,20.11,19.81,1866300
"Jan 14, 2020",20.42,20.45,20.26,20.43,20.13,2899100
"Jan 13, 2020",20.35,20.52,20.29,20.49,20.18,5850800
"Jan 10, 2020",20.49,20.58,20.38,20.44,20.14,1792300
"Jan 09, 2020",20.47,20.70,20.34,20.67,20.36,1884000
"Jan 08, 2020",20.74,20.79,20.45,20.56,20.25,1618900
"Jan 07, 2020",20.68,20.74,20.54,20.72,20.41,928200
"Jan 06, 2020",20.90,21.04,20.88,20.96,20.65,1443300
"Jan 03, 2020",20.59,20.64,20.39,20.49,20.18,1812700
"Jan 02, 2020",20.27,20.43,20.16,20.43,20.13,2080800
"Dec 31, 2019",19.72,19.91,19.70,19.91,19.61,1002500
"Dec 30, 2019",20.00,20.00,19.81,19.83,19.53,1147600
"Dec 27, 2019",20.08,20.10,19.86,19.87,19.57,1100400
"Dec 26, 2019",19.87,19.99,19.83,19.90,19.60,679800
"Dec 24, 2019",19.91,19.91,19.77,19.78,19.49,605500
"Dec 23, 2019",19.66,19.85,19.64,19.85,19.55,1847400
"Dec 20, 2019",19.52,19.58,19.41,19.53,19.24,1548700
"Dec 19, 2019",19.29,19.49,19.27,19.38,19.09,1445500
"Dec 18, 2019",19.14,19.33,19.12,19.23,18.94,1073100
"Dec 17, 2019",18.99,19.15,18.96,19.06,18.78,2060000
"Dec 16, 2019",18.84,18.94,18.84,18.91,18.63,3598300
"Dec 13, 2019",18.78,18.92,18.66,18.77,18.49,5088400
"Dec 12, 2019",18.34,18.68,18.31,18.67,18.39,2508800
"Dec 11, 2019",18.38,18.43,18.25,18.34,18.07,3463500
"Dec 10, 2019",18.36,18.47,18.27,18.28,18.01,3259400
"Dec 09, 2019",18.52,18.75,18.51,18.66,18.38,2371600
"Dec 06, 2019",18.43,18.78,18.42,18.74,18.46,3314000
"Dec 05, 2019",18.45,18.53,18.30,18.32,18.05,3431100
"Dec 04, 2019",18.26,18.50,18.20,18.45,18.18,3092800
"Dec 03, 2019",18.00,18.13,17.91,18.06,17.79,3962400
"Dec 02, 2019",18.71,18.77,18.53,18.54,18.26,1613500
"Nov 29, 2019",18.58,18.62,18.43,18.53,18.25,2135800
"Nov 27, 2019",18.82,18.97,18.77,18.90,18.62,2375500
"Nov 26, 2019",19.02,19.05,18.78,18.89,18.61,2770000
"Nov 25, 2019",19.15,19.27,19.05,19.26,18.97,1066700
"Nov 22, 2019",19.29,19.34,19.17,19.20,18.91,1998100
"Nov 21, 2019",19.05,19.28,19.01,19.24,18.95,2636800
"Nov 20, 2019",18.77,19.15,18.72,19.02,18.74,2482200
"Nov 19, 2019",19.15,19.17,18.87,18.90,18.62,902000
"Nov 18, 2019",19.15,19.23,19.08,19.19,18.90,1136000
"Nov 18, 2019",0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend
"Nov 15, 2019",19.52,19.67,19.45,19.56,19.01,2035600
"Nov 14, 2019",19.31,19.40,19.17,19.20,18.66,1208200
"Nov 13, 2019",19.16,19.32,19.14,19.19,18.65,1533600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
