Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",15.09,15.84,14.47,15.01,15.01,99658
"Apr 02, 2020",13.45,15.59,12.87,14.64,14.64,199760
"Apr 01, 2020",12.80,13.62,12.50,12.78,12.78,132233
"Mar 31, 2020",13.02,13.84,12.60,12.60,12.60,112794
"Mar 30, 2020",15.20,15.20,12.26,12.59,12.59,185078
"Mar 27, 2020",15.98,16.38,15.12,15.57,15.57,57529
"Mar 26, 2020",14.00,16.84,14.00,16.24,16.24,143604
"Mar 25, 2020",11.75,15.15,11.75,13.80,13.80,96751
"Mar 24, 2020",13.00,14.51,11.75,11.85,11.85,79281
"Mar 23, 2020",11.65,13.09,9.56,10.93,10.93,146355
"Mar 20, 2020",13.00,15.50,11.67,11.86,11.86,152276
"Mar 19, 2020",8.49,13.73,8.49,12.80,12.80,173500
"Mar 18, 2020",12.50,12.50,6.24,8.11,8.11,285782
"Mar 17, 2020",13.01,14.05,13.00,13.22,13.22,106417
"Mar 16, 2020",14.95,15.85,13.60,13.60,13.60,159720
"Mar 13, 2020",14.95,17.69,14.26,17.32,17.32,189411
"Mar 12, 2020",14.77,14.77,13.05,13.85,13.85,240520
"Mar 11, 2020",17.29,17.41,16.20,16.40,16.40,223650
"Mar 10, 2020",19.99,19.99,16.40,17.81,17.81,385033
"Mar 09, 2020",18.00,20.60,17.10,17.53,17.53,214209
"Mar 06, 2020",23.00,23.16,22.51,22.73,22.73,72142
"Mar 05, 2020",23.75,23.97,23.47,23.50,23.50,42518
"Mar 04, 2020",24.00,24.19,23.52,24.16,24.16,43497
"Mar 03, 2020",23.88,24.07,23.07,23.45,23.45,77393
"Mar 02, 2020",22.84,23.50,22.80,23.45,23.45,94278
"Feb 28, 2020",23.35,23.43,22.67,22.74,22.74,188875
"Feb 27, 2020",23.97,24.13,23.50,23.56,23.56,129740
"Feb 26, 2020",23.92,24.31,23.92,24.27,24.27,80645
"Feb 25, 2020",25.00,25.19,23.90,24.00,24.00,153011
"Feb 24, 2020",24.95,25.12,24.82,24.82,24.82,125716
"Feb 21, 2020",25.20,25.30,25.15,25.16,25.16,57592
"Feb 20, 2020",24.96,25.37,24.96,25.30,25.30,49823
"Feb 19, 2020",25.22,25.22,24.90,24.95,24.95,77599
"Feb 18, 2020",25.22,25.23,25.11,25.17,25.17,41612
"Feb 14, 2020",25.29,25.31,25.22,25.23,25.23,19201
"Feb 13, 2020",25.24,25.31,25.18,25.27,25.27,26016
"Feb 12, 2020",25.18,25.28,25.13,25.15,25.15,39385
"Feb 11, 2020",25.12,25.20,25.12,25.17,25.17,66901
"Feb 10, 2020",25.17,25.27,25.09,25.14,25.14,70063
"Feb 07, 2020",25.21,25.30,25.16,25.17,25.17,34491
"Feb 06, 2020",24.79,25.31,24.79,25.23,25.23,192275
"Feb 05, 2020",24.78,24.86,24.73,24.79,24.79,63741
"Feb 04, 2020",24.67,24.90,24.67,24.78,24.78,67484
"Feb 03, 2020",24.58,24.78,24.58,24.74,24.74,53633
"Jan 31, 2020",24.73,24.78,24.56,24.58,24.58,72914
"Jan 31, 2020",0.460938 Dividend,0.460938 Dividend,0.460938 Dividend,0.460938 Dividend,0.460938 Dividend,0.460938 Dividend
"Jan 30, 2020",25.15,25.18,25.01,25.18,24.72,43815
"Jan 29, 2020",24.89,25.19,24.89,25.14,24.68,45457
"Jan 28, 2020",24.83,25.00,24.76,24.96,24.50,45711
"Jan 27, 2020",24.83,24.90,24.70,24.80,24.35,253586
"Jan 24, 2020",24.99,25.00,24.77,24.90,24.44,49971
"Jan 23, 2020",24.90,25.07,24.90,24.98,24.52,278854
"Jan 22, 2020",25.23,25.26,24.81,25.09,24.63,571377
"Jan 21, 2020",25.30,25.30,25.06,25.20,24.74,70246
"Jan 17, 2020",25.21,25.30,25.15,25.24,24.78,44973
"Jan 16, 2020",25.05,25.21,25.05,25.21,24.75,46152
"Jan 15, 2020",25.24,25.25,24.96,25.11,24.65,65314
"Jan 14, 2020",25.18,25.25,25.09,25.23,24.77,60293
"Jan 13, 2020",25.06,25.18,25.01,25.18,24.72,65084
"Jan 10, 2020",25.10,25.11,24.98,25.06,24.60,182488
"Jan 09, 2020",24.92,25.05,24.81,25.05,24.59,311228
"Jan 08, 2020",24.78,24.96,24.78,24.90,24.44,192170
"Jan 07, 2020",24.79,24.90,24.70,24.84,24.39,85884
"Jan 06, 2020",24.75,24.82,24.70,24.82,24.37,79086
"Jan 03, 2020",24.55,24.78,24.55,24.75,24.30,84927
"Jan 02, 2020",24.22,24.53,24.22,24.52,24.07,70200
"Dec 31, 2019",24.33,24.33,24.17,24.22,23.78,65205
"Dec 30, 2019",24.26,24.35,24.15,24.34,23.89,81944
"Dec 27, 2019",24.33,24.40,24.27,24.35,23.90,41326
