Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",15.10,16.15,14.42,15.10,15.10,180373
"Apr 02, 2020",12.62,15.45,12.44,14.65,14.65,282095
"Apr 01, 2020",12.79,13.47,12.08,12.62,12.62,154063
"Mar 31, 2020",13.00,13.58,12.70,12.70,12.70,141391
"Mar 30, 2020",14.21,14.96,12.14,12.40,12.40,364803
"Mar 27, 2020",15.01,16.29,15.01,15.58,15.58,73700
"Mar 26, 2020",15.00,16.95,14.18,16.44,16.44,271237
"Mar 25, 2020",13.23,15.25,12.56,13.88,13.88,146100
"Mar 24, 2020",11.36,14.12,11.36,12.03,12.03,118871
"Mar 23, 2020",13.59,13.75,10.38,11.17,11.17,141750
"Mar 20, 2020",14.00,15.07,12.35,12.53,12.53,106254
"Mar 19, 2020",8.43,13.45,8.43,12.90,12.90,201516
"Mar 18, 2020",12.08,12.08,6.21,8.28,8.28,406143
"Mar 17, 2020",14.56,14.85,13.08,13.29,13.29,111394
"Mar 16, 2020",15.94,16.00,14.50,14.50,14.50,113725
"Mar 13, 2020",15.93,17.87,15.00,17.70,17.70,188223
"Mar 12, 2020",13.05,14.49,13.00,14.25,14.25,344680
"Mar 11, 2020",18.20,18.20,16.49,17.05,17.05,205292
"Mar 10, 2020",20.79,20.79,15.56,18.42,18.42,412534
"Mar 09, 2020",21.00,21.00,17.67,17.85,17.85,276047
"Mar 06, 2020",23.75,23.75,22.89,23.09,23.09,147526
"Mar 05, 2020",24.48,24.48,24.00,24.00,24.00,33692
"Mar 04, 2020",24.30,24.63,24.14,24.63,24.63,76797
"Mar 03, 2020",24.06,24.50,23.52,24.01,24.01,58155
"Mar 02, 2020",23.46,23.99,23.28,23.98,23.98,95301
"Feb 28, 2020",23.85,24.00,23.22,23.39,23.39,194314
"Feb 27, 2020",24.23,24.48,23.90,23.99,23.99,67266
"Feb 26, 2020",24.38,24.58,24.27,24.52,24.52,93413
"Feb 25, 2020",25.11,25.20,24.13,24.43,24.43,180531
"Feb 24, 2020",25.35,25.35,25.04,25.06,25.06,92791
"Feb 21, 2020",25.65,25.65,25.47,25.48,25.48,38084
"Feb 20, 2020",25.46,25.75,25.42,25.65,25.65,64226
"Feb 19, 2020",25.50,25.53,25.39,25.39,25.39,93766
"Feb 18, 2020",25.56,25.58,25.34,25.51,25.51,72648
"Feb 14, 2020",25.54,25.60,25.48,25.57,25.57,41660
"Feb 13, 2020",25.50,25.56,25.49,25.54,25.54,27641
"Feb 12, 2020",25.49,25.52,25.41,25.50,25.50,24268
"Feb 11, 2020",25.36,25.48,25.34,25.48,25.48,37027
