Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",13.45,13.77,12.88,13.41,13.41,26857500
"Apr 02, 2020",13.18,14.13,12.99,13.45,13.45,20015700
"Apr 01, 2020",13.05,13.28,12.50,12.73,12.73,17770600
"Mar 31, 2020",13.46,14.20,13.17,13.92,13.92,23995400
"Mar 30, 2020",13.40,13.50,12.64,13.27,13.27,24655700
"Mar 27, 2020",13.76,14.36,13.59,13.75,13.75,21313100
"Mar 26, 2020",13.94,14.85,13.76,14.48,14.48,25315900
"Mar 25, 2020",13.04,14.75,12.45,13.73,13.73,28456500
"Mar 24, 2020",12.01,12.94,11.36,12.88,12.88,20610000
"Mar 23, 2020",12.02,12.32,11.01,11.03,11.03,25384600
"Mar 20, 2020",11.84,12.44,11.15,12.35,12.35,40081000
"Mar 19, 2020",10.03,11.45,9.42,11.20,11.20,34340100
"Mar 18, 2020",11.79,11.87,9.44,9.98,9.98,46226100
"Mar 17, 2020",12.88,13.40,12.32,12.64,12.64,26658900
"Mar 16, 2020",13.12,13.88,12.65,12.73,12.73,26557400
"Mar 13, 2020",15.03,15.13,13.22,14.78,14.78,40427800
"Mar 12, 2020",14.22,14.60,13.45,13.86,13.86,35722200
"Mar 11, 2020",15.52,16.04,15.13,15.50,15.50,31677900
"Mar 10, 2020",16.70,17.24,14.95,16.04,16.04,33913900
"Mar 09, 2020",17.25,17.40,16.00,16.10,16.10,43807500
"Mar 06, 2020",19.19,19.44,18.60,19.33,19.33,23715800
"Mar 05, 2020",19.81,20.10,19.38,19.70,19.70,16981900
"Mar 04, 2020",20.16,20.38,19.98,20.23,20.23,18485700
"Mar 03, 2020",20.35,20.69,19.59,19.85,19.85,20242700
"Mar 02, 2020",19.36,20.29,19.10,20.24,20.24,22540300
"Feb 28, 2020",19.02,19.28,18.40,19.17,19.17,32731000
"Feb 27, 2020",20.19,20.38,19.51,19.52,19.52,23662500
"Feb 26, 2020",21.02,21.04,20.45,20.52,20.52,17465600
"Feb 25, 2020",21.85,21.94,21.01,21.05,21.05,19427000
"Feb 24, 2020",21.71,22.02,21.62,21.77,21.77,19068300
"Feb 21, 2020",22.10,22.23,21.90,22.14,22.14,14432400
"Feb 20, 2020",22.36,22.58,22.19,22.24,22.24,18830400
"Feb 19, 2020",22.07,22.35,21.96,22.16,22.16,11498800
"Feb 18, 2020",21.98,22.02,21.85,22.01,22.01,11007400
"Feb 14, 2020",22.00,22.09,21.89,22.00,22.00,8824300
"Feb 13, 2020",21.87,21.99,21.79,21.94,21.94,13643900
"Feb 12, 2020",21.58,21.87,21.56,21.81,21.81,10774100
"Feb 11, 2020",21.46,21.50,21.36,21.46,21.46,9409200
"Feb 10, 2020",21.07,21.34,21.05,21.32,21.32,9681300
"Feb 07, 2020",21.25,21.32,21.08,21.12,21.12,7202000
"Feb 06, 2020",21.31,21.48,21.21,21.33,21.33,8197800
"Feb 05, 2020",21.15,21.38,21.15,21.29,21.29,12061400
"Feb 04, 2020",21.04,21.22,20.95,21.00,21.00,13540600
"Feb 03, 2020",20.86,21.04,20.71,20.81,20.81,13296800
"Jan 31, 2020",21.02,21.16,20.76,20.87,20.87,20696100
"Jan 31, 2020",0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend
"Jan 30, 2020",21.00,21.46,21.00,21.42,21.17,19972900
"Jan 29, 2020",21.44,21.53,21.14,21.19,20.94,12419900
"Jan 28, 2020",21.41,21.57,21.36,21.46,21.21,9144900
"Jan 27, 2020",21.30,21.53,21.24,21.29,21.04,14226500
"Jan 24, 2020",21.77,21.77,21.43,21.56,21.31,16731800
"Jan 23, 2020",21.38,21.88,21.22,21.76,21.51,25959700
"Jan 22, 2020",20.99,21.12,20.93,20.96,20.72,10219900
"Jan 21, 2020",21.27,21.34,20.92,20.93,20.69,14430400
"Jan 17, 2020",21.39,21.41,21.27,21.36,21.11,10242000
"Jan 16, 2020",21.50,21.55,21.31,21.37,21.12,11522900
"Jan 15, 2020",21.37,21.50,21.30,21.41,21.16,9684100
"Jan 14, 2020",21.50,21.57,21.23,21.46,21.21,12631500
"Jan 13, 2020",21.51,21.65,21.33,21.55,21.30,12536500
"Jan 10, 2020",21.43,21.68,21.32,21.51,21.26,16032400
"Jan 09, 2020",21.17,21.55,21.06,21.55,21.30,16251400
"Jan 08, 2020",21.27,21.36,21.14,21.16,20.91,10651500
"Jan 07, 2020",21.34,21.35,21.09,21.33,21.08,14736900
"Jan 06, 2020",21.10,21.46,21.06,21.28,21.03,13978300
"Jan 03, 2020",21.07,21.21,21.02,21.20,20.95,10148700
"Jan 02, 2020",21.25,21.25,20.99,21.04,20.79,10373100
"Dec 31, 2019",21.00,21.18,20.95,21.17,20.92,10033500
"Dec 30, 2019",21.10,21.19,20.95,21.03,20.78,7926500
"Dec 27, 2019",21.26,21.31,21.06,21.08,20.83,8172500
