Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",6.11,6.12,5.62,5.79,5.79,11241900
"Apr 02, 2020",5.80,6.39,5.69,5.86,5.86,15577800
"Apr 01, 2020",5.11,5.53,5.09,5.42,5.42,8452400
"Mar 31, 2020",5.32,5.61,5.25,5.39,5.39,9893600
"Mar 30, 2020",5.18,5.30,4.95,5.17,5.17,7714800
"Mar 27, 2020",5.28,5.38,5.17,5.24,5.24,8314300
"Mar 26, 2020",5.91,6.08,5.50,5.75,5.75,7502400
"Mar 25, 2020",5.31,5.90,5.04,5.73,5.73,13782500
"Mar 24, 2020",4.98,5.35,4.83,5.31,5.31,6289100
"Mar 23, 2020",4.47,4.77,4.38,4.40,4.40,8949000
"Mar 20, 2020",5.35,5.36,4.70,4.76,4.76,12731500
"Mar 19, 2020",4.44,5.10,4.21,4.93,4.93,12768000
"Mar 18, 2020",4.75,4.81,4.16,4.32,4.32,22928500
"Mar 17, 2020",5.31,5.50,5.12,5.30,5.30,21913100
"Mar 16, 2020",4.92,5.67,4.92,5.14,5.14,13260600
"Mar 13, 2020",6.42,6.42,5.31,6.31,6.31,23716000
"Mar 12, 2020",5.59,5.61,4.55,5.18,5.18,21174400
"Mar 11, 2020",7.14,7.32,6.30,6.63,6.63,16487800
"Mar 10, 2020",7.79,7.89,6.95,7.54,7.54,18543700
"Mar 09, 2020",7.18,7.65,6.48,6.55,6.55,25534500
"Mar 06, 2020",10.09,10.27,9.72,9.89,9.89,12141200
"Mar 05, 2020",11.45,11.47,10.64,10.95,10.95,12546800
"Mar 04, 2020",11.79,11.79,11.48,11.74,11.74,6604500
"Mar 03, 2020",11.89,12.24,11.37,11.49,11.49,15894500
"Mar 02, 2020",11.44,11.90,11.31,11.85,11.85,10191800
"Feb 28, 2020",10.97,11.31,10.88,11.26,11.26,16328200
"Feb 27, 2020",11.30,11.85,11.06,11.36,11.36,10134200
"Feb 26, 2020",12.04,12.36,11.71,11.75,11.75,15260900
"Feb 25, 2020",12.39,12.52,11.86,12.02,12.02,5463400
"Feb 24, 2020",12.50,12.52,11.93,12.21,12.21,9484500
"Feb 21, 2020",13.40,13.43,13.18,13.22,13.22,7491100
"Feb 20, 2020",13.79,13.92,13.51,13.55,13.55,5419200
"Feb 19, 2020",13.73,13.98,13.70,13.96,13.96,4838700
"Feb 18, 2020",13.37,13.65,13.34,13.62,13.62,5533500
"Feb 14, 2020",13.83,13.86,13.64,13.68,13.68,2942000
"Feb 13, 2020",13.77,13.84,13.60,13.62,13.62,6369000
"Feb 12, 2020",13.68,13.91,13.68,13.77,13.77,4205100
"Feb 11, 2020",13.63,13.68,13.54,13.61,13.61,4528100
"Feb 10, 2020",13.34,13.44,13.21,13.38,13.38,7328900
"Feb 07, 2020",13.56,13.60,13.26,13.40,13.40,11106500
"Feb 06, 2020",13.71,13.79,13.38,13.68,13.68,15791200
"Feb 05, 2020",13.64,13.66,13.40,13.40,13.40,7925600
"Feb 04, 2020",13.45,13.67,13.40,13.42,13.42,5022700
"Feb 03, 2020",13.32,13.54,13.21,13.29,13.29,5652700
"Jan 31, 2020",13.36,13.41,13.17,13.25,13.25,7600300
"Jan 30, 2020",13.29,13.63,13.20,13.60,13.60,7663400
"Jan 29, 2020",13.74,13.79,13.53,13.57,13.57,7374400
"Jan 28, 2020",13.59,13.86,13.50,13.74,13.74,5093100
"Jan 27, 2020",13.38,13.45,13.23,13.32,13.32,4911000
"Jan 24, 2020",14.20,14.21,13.88,13.99,13.99,8384000
"Jan 23, 2020",13.91,14.23,13.77,14.15,14.15,11917000
"Jan 22, 2020",14.04,14.10,13.97,14.00,14.00,6491100
"Jan 21, 2020",14.21,14.21,13.96,13.97,13.97,7018000
"Jan 17, 2020",14.15,14.28,14.06,14.26,14.26,4221200
"Jan 16, 2020",14.14,14.14,13.94,14.04,14.04,4168200
"Jan 15, 2020",14.31,14.37,14.05,14.10,14.10,4780200
"Jan 14, 2020",14.50,14.54,14.36,14.46,14.46,7136000
"Jan 13, 2020",14.65,14.70,14.54,14.61,14.61,3476800
"Jan 10, 2020",14.82,14.94,14.68,14.71,14.71,3605900
"Jan 09, 2020",14.87,14.97,14.78,14.84,14.84,4324500
"Jan 08, 2020",15.01,15.05,14.88,14.94,14.94,7902700
"Jan 07, 2020",14.91,15.12,14.91,15.08,15.08,4046200
"Jan 06, 2020",15.01,15.25,14.99,15.13,15.13,7275300
"Jan 03, 2020",15.21,15.31,15.06,15.07,15.07,4086100
"Jan 02, 2020",15.06,15.26,15.05,15.26,15.26,4359700
"Dec 31, 2019",14.87,15.05,14.80,14.92,14.92,1981500
"Dec 30, 2019",15.15,15.16,14.96,14.96,14.96,6118800
