Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",38.08,38.58,37.51,37.98,37.98,310600
"Apr 02, 2020",38.52,41.20,38.11,40.62,40.62,428300
"Apr 01, 2020",35.05,36.14,35.02,35.35,35.35,209900
"Mar 31, 2020",36.28,36.65,35.73,36.00,36.00,238900
"Mar 30, 2020",33.73,34.14,33.32,34.00,34.00,144400
"Mar 27, 2020",31.46,32.43,31.44,31.94,31.94,168100
"Mar 26, 2020",33.23,34.19,32.21,33.27,33.27,194000
"Mar 25, 2020",33.08,34.35,32.70,33.58,33.58,188700
"Mar 24, 2020",32.18,32.57,31.51,32.34,32.34,181000
"Mar 23, 2020",29.93,30.70,29.29,30.56,30.56,297800
"Mar 20, 2020",30.41,30.76,29.18,29.46,29.46,172800
"Mar 19, 2020",28.55,30.79,28.02,29.67,29.67,336600
"Mar 18, 2020",28.82,29.37,27.74,28.59,28.59,353800
"Mar 17, 2020",31.04,31.10,29.96,30.81,30.81,480500
"Mar 16, 2020",29.00,31.18,29.00,30.64,30.64,377200
"Mar 13, 2020",33.75,34.00,31.33,34.00,34.00,235500
"Mar 12, 2020",32.48,32.48,30.45,31.22,31.22,265300
"Mar 11, 2020",34.58,35.15,34.14,34.42,34.42,165800
"Mar 10, 2020",35.37,36.27,35.06,35.92,35.92,285000
"Mar 09, 2020",34.69,35.84,33.82,34.03,34.03,433500
"Mar 06, 2020",38.25,38.37,37.02,37.35,37.35,178200
"Mar 05, 2020",39.15,39.49,38.78,39.13,39.13,140100
"Mar 04, 2020",39.31,39.48,38.94,39.44,39.44,119800
"Mar 03, 2020",39.50,40.25,38.84,39.33,39.33,135300
"Mar 02, 2020",39.60,40.17,39.15,40.12,40.12,203400
"Feb 28, 2020",38.18,39.14,38.10,39.06,39.06,171600
"Feb 27, 2020",40.03,40.48,39.56,39.72,39.72,125400
"Feb 26, 2020",40.48,41.07,40.30,40.34,40.34,130800
"Feb 25, 2020",41.37,41.37,40.16,40.26,40.26,168500
"Feb 24, 2020",41.91,41.93,40.84,41.23,41.23,198700
"Feb 21, 2020",43.64,43.68,43.30,43.38,43.38,76500
"Feb 20, 2020",44.11,44.14,43.76,43.81,43.81,94700
"Feb 19, 2020",44.35,44.46,44.10,44.37,44.37,113600
"Feb 18, 2020",44.25,44.34,44.10,44.20,44.20,67800
"Feb 14, 2020",44.63,44.79,44.28,44.41,44.41,41700
"Feb 13, 2020",44.85,44.85,44.41,44.53,44.53,67900
"Feb 12, 2020",45.15,45.70,45.15,45.62,45.62,112200
"Feb 11, 2020",44.64,44.97,44.43,44.61,44.61,74400
"Feb 10, 2020",44.25,44.25,43.92,44.07,44.07,61600
