Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",37.52,37.86,35.56,36.24,36.24,9523300
"Apr 02, 2020",38.63,40.35,37.33,38.96,38.96,14720200
"Apr 01, 2020",36.58,36.87,34.80,35.31,35.31,11599900
"Mar 31, 2020",35.15,35.84,34.09,34.89,34.89,11036200
"Mar 30, 2020",32.90,33.67,32.12,33.44,33.44,11143600
"Mar 27, 2020",32.69,32.72,31.56,31.64,31.64,9036900
"Mar 26, 2020",33.67,35.05,33.63,34.93,34.93,15093400
"Mar 25, 2020",33.68,35.75,32.33,34.34,34.34,14715300
"Mar 24, 2020",30.52,32.79,30.01,32.11,32.11,19493300
"Mar 23, 2020",26.64,27.23,25.91,26.83,26.83,21465200
"Mar 20, 2020",25.65,26.44,24.45,25.08,25.08,15032600
"Mar 19, 2020",23.17,25.16,22.30,24.04,24.04,14629300
"Mar 18, 2020",23.82,24.12,21.26,21.62,21.62,14225300
"Mar 17, 2020",26.09,26.64,25.32,25.66,25.66,12320400
"Mar 16, 2020",26.48,26.95,25.32,25.32,25.32,11053900
"Mar 13, 2020",31.66,31.68,27.66,30.08,30.08,17654300
"Mar 12, 2020",31.84,31.87,28.60,29.33,29.33,14500700
"Mar 11, 2020",35.38,35.76,34.10,34.49,34.49,11957400
"Mar 10, 2020",37.78,37.88,35.00,36.96,36.96,13496200
"Mar 09, 2020",36.25,36.83,34.41,34.68,34.68,19487500
"Mar 06, 2020",42.70,42.95,41.67,41.87,41.87,10366300
"Mar 05, 2020",44.27,44.42,43.47,43.73,43.73,7743400
"Mar 04, 2020",45.21,45.35,44.64,45.30,45.30,5387000
"Mar 03, 2020",45.58,46.02,43.75,43.96,43.96,10109100
"Mar 02, 2020",44.06,44.92,43.47,44.83,44.83,10208600
"Feb 28, 2020",42.91,44.04,42.11,44.03,44.03,12388900
"Feb 27, 2020",44.83,45.32,43.94,43.94,43.94,10472400
"Feb 26, 2020",46.14,46.58,45.74,45.75,45.75,5935800
"Feb 25, 2020",47.06,47.28,45.68,45.90,45.90,6949600
"Feb 24, 2020",46.89,47.63,46.89,47.28,47.28,8705500
"Feb 21, 2020",49.06,49.31,48.76,49.17,49.17,5515600
"Feb 20, 2020",50.07,50.21,49.52,49.62,49.62,6078100
"Feb 19, 2020",50.26,50.42,50.15,50.22,50.22,4628100
"Feb 18, 2020",50.02,50.31,49.95,50.21,50.21,3781600
"Feb 14, 2020",50.92,50.99,50.23,50.49,50.49,4830400
"Feb 13, 2020",51.16,51.36,50.78,50.99,50.99,5050100
"Feb 13, 2020",0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend
"Feb 12, 2020",52.58,52.80,52.30,52.65,51.71,4397300
"Feb 11, 2020",51.83,52.04,51.63,51.99,51.06,4447300
"Feb 10, 2020",51.32,51.46,51.17,51.39,50.47,4003300
"Feb 07, 2020",51.73,52.02,51.63,51.79,50.87,3841000
"Feb 06, 2020",52.59,52.65,52.02,52.14,51.21,4212300
"Feb 05, 2020",52.98,53.09,52.73,52.95,52.00,5308300
"Feb 04, 2020",51.98,52.21,51.59,51.65,50.73,5737300
"Feb 03, 2020",51.38,51.68,51.05,51.24,50.33,9734000
"Jan 31, 2020",52.78,52.93,51.83,52.15,51.22,8654800
"Jan 30, 2020",53.95,54.01,52.93,53.84,52.88,13942500
"Jan 29, 2020",55.69,55.81,55.45,55.73,54.74,4032000
"Jan 28, 2020",55.80,56.06,55.74,55.92,54.92,3307700
"Jan 27, 2020",56.15,56.38,55.89,56.09,55.09,3308700
"Jan 24, 2020",57.34,57.38,56.88,57.17,56.15,3015800
"Jan 23, 2020",57.08,57.43,56.78,57.40,56.38,2772900
"Jan 22, 2020",57.78,57.78,57.36,57.44,56.41,3300700
"Jan 21, 2020",57.88,57.91,57.46,57.46,56.43,2942600
"Jan 17, 2020",58.78,58.81,58.45,58.54,57.49,2478500
"Jan 16, 2020",59.18,59.24,58.67,58.77,57.72,2735400
"Jan 15, 2020",58.80,58.97,58.59,58.82,57.77,3500000
"Jan 14, 2020",58.80,58.95,58.60,58.92,57.87,2259600
"Jan 13, 2020",58.80,59.10,58.58,58.96,57.91,2981100
"Jan 10, 2020",59.33,59.35,58.99,59.01,57.96,2622200
"Jan 09, 2020",59.45,59.75,59.01,59.68,58.61,2834300
"Jan 08, 2020",59.81,59.93,59.40,59.69,58.62,2965800
"Jan 07, 2020",60.35,60.43,59.83,60.40,59.32,2683500
"Jan 06, 2020",60.96,61.17,60.69,60.96,59.87,3250100
"Jan 03, 2020",59.88,60.35,59.88,60.21,59.14,3713000
"Jan 02, 2020",59.46,59.77,59.24,59.74,58.67,3084700
"Dec 31, 2019",58.74,58.98,58.56,58.98,57.93,1864200
"Dec 30, 2019",59.12,59.18,58.65,58.68,57.63,2425900
"Dec 27, 2019",59.50,59.53,59.04,59.09,58.04,2486800
"Dec 26, 2019",58.85,59.07,58.84,58.87,57.82,1229000
"Dec 24, 2019",58.61,58.87,58.61,58.70,57.65,1128100
