Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",35.65,35.94,33.91,34.45,34.45,7239200
"Apr 02, 2020",36.28,38.20,35.17,36.72,36.72,9986500
"Apr 01, 2020",34.49,34.54,32.80,33.12,33.12,13909300
"Mar 31, 2020",33.45,33.87,32.02,32.66,32.66,11623000
"Mar 30, 2020",31.01,31.51,30.28,31.39,31.39,8846900
"Mar 27, 2020",31.23,31.31,29.70,29.77,29.77,15982800
"Mar 26, 2020",32.14,33.65,32.01,33.16,33.16,9051000
"Mar 25, 2020",32.20,34.70,30.62,33.04,33.04,12661000
"Mar 24, 2020",28.86,31.02,28.32,30.40,30.40,12601400
"Mar 23, 2020",25.36,25.45,24.38,25.02,25.02,12361600
"Mar 20, 2020",24.36,25.11,23.17,23.96,23.96,19674200
"Mar 19, 2020",21.81,24.10,21.03,22.51,22.51,21719700
"Mar 18, 2020",22.09,22.36,19.19,19.58,19.58,19115100
"Mar 17, 2020",24.87,25.11,23.25,23.71,23.71,22836400
"Mar 16, 2020",25.31,25.94,24.00,24.01,24.01,16830400
"Mar 13, 2020",30.73,30.82,26.50,28.87,28.87,26026600
"Mar 12, 2020",31.20,32.50,28.02,28.81,28.81,15433500
"Mar 11, 2020",34.72,35.13,33.34,33.74,33.74,9725400
"Mar 10, 2020",37.32,37.48,34.55,36.03,36.03,12043200
"Mar 09, 2020",36.28,36.88,34.18,34.42,34.42,15132500
"Mar 06, 2020",43.15,43.38,41.76,41.87,41.87,8762100
"Mar 05, 2020",44.58,44.78,43.74,44.04,44.04,4686900
"Mar 04, 2020",45.50,45.66,44.91,45.65,45.65,3686400
"Mar 03, 2020",45.90,46.30,43.86,44.06,44.06,9045800
"Mar 02, 2020",44.37,45.22,43.75,45.16,45.16,6713400
"Feb 28, 2020",43.17,44.54,42.28,44.53,44.53,10335000
"Feb 27, 2020",45.10,45.49,44.06,44.14,44.14,10898400
"Feb 26, 2020",46.57,46.83,46.26,46.32,46.32,7809400
"Feb 25, 2020",47.42,47.49,45.96,46.20,46.20,6275900
"Feb 24, 2020",47.28,47.76,47.14,47.54,47.54,8811600
"Feb 21, 2020",49.58,49.64,49.18,49.51,49.51,6441400
"Feb 20, 2020",50.42,50.62,50.01,50.05,50.05,5082200
"Feb 19, 2020",50.80,50.99,50.63,50.88,50.88,3900500
"Feb 18, 2020",50.71,51.14,50.64,51.03,51.03,2824800
"Feb 14, 2020",51.45,51.51,50.86,51.32,51.32,3579800
"Feb 13, 2020",51.92,52.06,51.58,51.71,51.71,3693900
"Feb 13, 2020",0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend
"Feb 12, 2020",53.32,53.78,53.16,53.68,52.74,4213000
"Feb 11, 2020",52.33,52.77,52.17,52.71,51.79,3146200
"Feb 10, 2020",51.68,51.80,51.49,51.79,50.88,3212100
"Feb 07, 2020",52.14,52.29,51.95,51.99,51.08,3677300
"Feb 06, 2020",53.16,53.18,52.37,52.53,51.61,4345900
"Feb 05, 2020",53.50,53.62,53.18,53.41,52.47,4830300
"Feb 04, 2020",52.65,52.98,52.28,52.35,51.43,4105500
"Feb 03, 2020",52.34,52.47,51.58,51.69,50.78,6117200
"Jan 31, 2020",53.77,53.94,53.00,53.28,52.35,5260200
"Jan 30, 2020",54.90,54.97,54.12,54.85,53.89,5247400
"Jan 29, 2020",56.50,56.57,56.06,56.32,55.33,4219900
"Jan 28, 2020",56.76,56.96,56.67,56.78,55.79,4860500
"Jan 27, 2020",57.26,57.55,56.85,57.11,56.11,3353600
"Jan 24, 2020",58.66,58.68,58.18,58.46,57.44,2195400
"Jan 23, 2020",58.14,58.65,57.80,58.57,57.54,2689300
"Jan 22, 2020",58.74,58.75,58.28,58.46,57.44,4405200
"Jan 21, 2020",58.99,59.02,58.53,58.55,57.52,6330000
"Jan 17, 2020",60.00,60.05,59.76,59.79,58.74,2898900
"Jan 16, 2020",60.54,60.65,59.85,60.14,59.09,3215300
"Jan 15, 2020",60.31,60.49,60.02,60.42,59.36,2392200
"Jan 14, 2020",60.06,60.31,59.76,60.28,59.22,2080700
"Jan 13, 2020",59.90,60.26,59.64,60.16,59.11,2947100
"Jan 10, 2020",60.47,60.47,60.07,60.09,59.04,1692500
"Jan 09, 2020",60.50,60.87,60.10,60.77,59.71,2063300
"Jan 08, 2020",60.96,61.01,60.54,60.91,59.84,3524400
"Jan 07, 2020",61.38,61.54,60.93,61.52,60.44,2339400
"Jan 06, 2020",61.97,62.27,61.73,61.98,60.89,2316400
"Jan 03, 2020",60.78,61.42,60.76,61.33,60.26,3229200
"Jan 02, 2020",60.37,60.69,60.12,60.68,59.62,1557200
"Dec 31, 2019",59.52,59.99,59.52,59.97,58.92,1169000
"Dec 30, 2019",59.95,60.04,59.55,59.63,58.59,1688700
"Dec 27, 2019",60.34,60.37,60.04,60.10,59.05,1492200
"Dec 26, 2019",59.65,60.11,59.61,59.90,58.85,982700
"Dec 24, 2019",59.56,59.80,59.55,59.76,58.71,1178900
"Dec 23, 2019",58.94,59.60,58.88,59.58,58.54,1751900
"Dec 20, 2019",59.35,59.43,58.92,59.09,58.06,2626500
"Dec 19, 2019",59.90,59.95,59.68,59.74,58.69,2632800
"Dec 18, 2019",59.41,59.76,59.24,59.31,58.27,4693400
