Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",14.48,14.60,13.78,14.29,14.29,24815600
"Apr 02, 2020",13.10,14.99,12.95,13.88,13.88,33976500
"Apr 01, 2020",13.09,13.19,12.17,12.59,12.59,25393800
"Mar 31, 2020",13.88,13.89,13.30,13.49,13.49,25754200
"Mar 30, 2020",13.35,13.69,12.95,13.28,13.28,25981500
"Mar 27, 2020",14.54,14.70,13.74,13.76,13.76,21794500
"Mar 26, 2020",14.51,15.64,14.38,15.52,15.52,22180200
"Mar 25, 2020",14.99,15.87,13.58,14.60,14.60,24201200
"Mar 24, 2020",13.54,14.93,13.50,14.65,14.65,25812600
"Mar 23, 2020",14.17,14.43,12.60,12.83,12.83,24393500
"Mar 20, 2020",14.30,14.58,13.10,14.28,14.28,32875200
"Mar 19, 2020",12.17,14.28,11.87,13.87,13.87,25449300
"Mar 18, 2020",13.00,13.72,11.89,12.05,12.05,28198200
"Mar 17, 2020",14.54,14.56,13.11,14.00,14.00,25536500
"Mar 16, 2020",14.02,16.04,13.26,14.41,14.41,24971100
"Mar 13, 2020",15.72,16.17,14.32,16.16,16.16,29182100
"Mar 12, 2020",15.62,16.69,14.41,14.42,14.42,47922900
"Mar 11, 2020",17.32,18.14,17.05,17.38,17.38,33291900
"Mar 10, 2020",19.14,19.23,17.13,18.19,18.19,40409000
"Mar 09, 2020",17.90,17.90,12.91,17.31,17.31,86148000
"Mar 06, 2020",24.88,25.16,23.52,23.85,23.85,23793200
"Mar 05, 2020",26.13,26.25,25.24,25.83,25.83,15754600
"Mar 04, 2020",27.21,27.38,26.26,27.08,27.08,16155900
"Mar 03, 2020",27.62,27.91,26.27,26.81,26.81,22020400
"Mar 02, 2020",27.65,27.79,26.17,27.79,27.79,23253000
"Feb 28, 2020",25.81,27.16,25.45,27.09,27.09,26832500
"Feb 27, 2020",27.53,28.28,26.82,26.84,26.84,23765700
"Feb 26, 2020",29.59,29.74,28.38,28.38,28.38,19240700
"Feb 25, 2020",30.99,31.05,29.22,29.34,29.34,18709700
"Feb 24, 2020",31.89,31.99,30.81,30.93,30.93,16714900
"Feb 21, 2020",33.47,33.55,32.87,33.39,33.39,7246300
"Feb 20, 2020",34.49,34.71,33.78,33.83,33.83,7836000
"Feb 19, 2020",33.88,34.34,33.64,34.29,34.29,6592300
