Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",51.57,51.70,50.48,51.53,51.53,216500
"Apr 02, 2020",51.20,53.00,50.63,52.41,52.41,527000
"Apr 01, 2020",46.02,48.57,45.85,47.53,47.53,316500
"Mar 31, 2020",48.50,49.32,48.20,48.70,48.70,223500
"Mar 30, 2020",46.39,48.02,46.39,47.66,47.66,390100
"Mar 27, 2020",45.89,46.69,45.45,45.51,45.51,406600
"Mar 26, 2020",47.09,47.80,46.75,47.40,47.40,281800
"Mar 25, 2020",46.22,48.05,45.56,47.14,47.14,294900
"Mar 24, 2020",45.38,45.67,44.47,45.09,45.09,307400
"Mar 23, 2020",43.34,44.45,42.96,43.93,43.93,300800
"Mar 20, 2020",44.00,44.66,43.12,43.22,43.22,289600
"Mar 19, 2020",42.40,43.22,41.31,42.14,42.14,682400
"Mar 18, 2020",44.42,44.68,42.87,44.39,44.39,606800
"Mar 17, 2020",46.59,48.32,45.95,46.86,46.86,620800
"Mar 16, 2020",44.71,47.57,44.63,45.73,45.73,562200
"Mar 13, 2020",48.11,48.39,45.01,47.73,47.73,667400
"Mar 12, 2020",44.98,45.56,43.76,45.06,45.06,538700
"Mar 11, 2020",48.74,49.08,48.03,48.33,48.33,317000
"Mar 10, 2020",49.00,50.03,48.51,49.96,49.96,511300
"Mar 09, 2020",46.54,47.49,45.51,46.83,46.83,1103800
"Mar 06, 2020",50.24,50.50,49.06,49.44,49.44,442300
"Mar 05, 2020",51.44,51.61,50.86,51.25,51.25,311900
"Mar 04, 2020",51.91,52.22,51.62,52.07,52.07,197800
"Mar 03, 2020",52.06,52.68,51.26,51.74,51.74,222000
"Mar 02, 2020",51.88,52.71,51.24,52.67,52.67,317000
"Feb 28, 2020",50.77,51.59,50.23,51.54,51.54,382500
"Feb 27, 2020",51.65,52.41,51.14,51.58,51.58,347100
"Feb 26, 2020",51.96,52.51,51.54,51.75,51.75,229900
"Feb 25, 2020",52.28,52.28,51.10,51.42,51.42,332300
