Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",17.78,17.93,15.55,16.24,16.24,10053700
"Apr 02, 2020",17.04,19.16,15.67,16.85,16.85,25261000
"Apr 01, 2020",15.02,16.63,14.80,15.61,15.61,14991800
"Mar 31, 2020",13.98,16.08,13.81,15.80,15.80,25387100
"Mar 30, 2020",11.55,13.64,11.32,13.42,13.42,26372000
"Mar 27, 2020",12.26,12.30,11.59,11.73,11.73,19084300
"Mar 26, 2020",13.65,14.14,12.62,12.78,12.78,16063700
"Mar 25, 2020",12.51,13.87,11.85,13.45,13.45,10773300
"Mar 24, 2020",11.50,12.05,10.95,11.99,11.99,23611400
"Mar 23, 2020",11.01,11.42,10.20,10.61,10.61,15112000
"Mar 20, 2020",11.50,11.91,10.84,11.09,11.09,16584100
"Mar 19, 2020",10.61,11.16,10.32,10.71,10.71,12671400
"Mar 18, 2020",11.41,12.15,9.61,10.45,10.45,12835300
"Mar 17, 2020",13.61,13.64,11.60,12.59,12.59,13936800
"Mar 16, 2020",14.39,14.71,13.20,13.53,13.53,8097400
"Mar 13, 2020",16.55,16.55,14.74,16.24,16.24,10059700
"Mar 12, 2020",17.53,17.58,14.70,14.83,14.83,10794500
"Mar 11, 2020",19.57,19.83,18.02,18.88,18.88,9088400
"Mar 10, 2020",21.48,21.53,19.17,20.21,20.21,10424200
"Mar 09, 2020",19.17,22.25,18.08,20.22,20.22,14551700
"Mar 06, 2020",25.34,25.71,24.53,25.04,25.04,7492500
"Mar 05, 2020",26.26,26.52,25.72,25.97,25.97,3844900
"Mar 04, 2020",26.79,26.91,26.35,26.71,26.71,4231000
"Mar 03, 2020",27.60,27.60,26.33,26.37,26.37,4775000
"Mar 03, 2020",0.349 Dividend,0.349 Dividend,0.349 Dividend,0.349 Dividend,0.349 Dividend,0.349 Dividend
"Mar 02, 2020",27.84,27.88,26.95,27.70,27.35,6977700
"Feb 28, 2020",27.03,27.60,26.67,27.60,27.25,8660900
"Feb 27, 2020",27.79,28.20,27.31,27.64,27.29,7519400
"Feb 26, 2020",29.17,29.40,28.42,28.44,28.08,3673800
"Feb 25, 2020",29.44,29.50,28.89,29.12,28.75,4908200
"Feb 24, 2020",29.52,29.59,29.28,29.38,29.01,3897300
"Feb 21, 2020",30.34,30.50,30.05,30.39,30.01,2151400
"Feb 20, 2020",30.49,30.84,30.34,30.46,30.08,2800000
"Feb 19, 2020",30.16,30.55,30.09,30.48,30.10,3837400
"Feb 18, 2020",29.67,30.13,29.61,30.00,29.62,8532300
"Feb 14, 2020",29.65,29.79,29.53,29.78,29.40,2553700
"Feb 13, 2020",29.36,29.53,29.32,29.51,29.14,2365900
"Feb 12, 2020",29.79,29.87,29.29,29.55,29.18,2820100
"Feb 11, 2020",29.65,29.67,29.35,29.41,29.04,2575100
"Feb 10, 2020",28.92,29.38,28.69,29.35,28.98,4828600
"Feb 07, 2020",29.42,29.50,28.94,29.10,28.73,7323500
"Feb 06, 2020",30.53,30.57,29.43,29.69,29.32,5415300
"Feb 05, 2020",30.54,30.90,30.38,30.78,30.39,4222500
"Feb 04, 2020",30.66,30.74,30.00,30.03,29.65,3435700
"Feb 03, 2020",30.51,30.69,29.99,30.11,29.73,4605800
"Jan 31, 2020",31.20,31.28,30.39,30.59,30.20,4589400
"Jan 30, 2020",31.20,31.59,31.00,31.57,31.17,3826900
"Jan 29, 2020",31.81,31.94,31.43,31.43,31.03,2807100
"Jan 28, 2020",31.53,31.79,31.37,31.57,31.17,3050500
"Jan 27, 2020",31.66,31.75,31.40,31.45,31.05,3247100
"Jan 24, 2020",32.62,32.70,31.99,32.34,31.93,3042500
"Jan 23, 2020",32.78,32.82,32.24,32.74,32.33,3250500
"Jan 22, 2020",33.31,33.31,32.95,33.10,32.68,2933800
"Jan 21, 2020",33.45,33.50,33.25,33.35,32.93,3016200
"Jan 17, 2020",33.97,34.06,33.40,33.61,33.19,2813000
"Jan 16, 2020",34.40,34.55,33.91,33.99,33.56,4690900
"Jan 15, 2020",34.41,34.56,33.93,34.29,33.86,4250300
"Jan 14, 2020",33.92,34.51,33.81,34.48,34.05,3952200
