Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",42.68,43.35,41.44,42.86,42.86,2179200
"Apr 02, 2020",41.10,43.72,40.94,42.21,42.21,3234200
"Apr 01, 2020",42.91,43.72,40.13,40.81,40.81,3567400
"Mar 31, 2020",42.58,44.88,42.06,44.30,44.30,5665800
"Mar 30, 2020",40.88,41.93,39.68,41.18,41.18,2855000
"Mar 30, 2020",0.579 Dividend,0.579 Dividend,0.579 Dividend,0.579 Dividend,0.579 Dividend,0.579 Dividend
"Mar 27, 2020",41.95,43.13,41.29,41.69,41.11,3380300
"Mar 26, 2020",41.42,44.14,41.19,43.39,42.79,3804900
"Mar 25, 2020",38.66,43.10,37.69,41.31,40.74,5352800
"Mar 24, 2020",34.87,38.58,33.44,38.31,37.78,3331100
"Mar 23, 2020",36.24,37.35,32.52,33.51,33.04,4595200
"Mar 20, 2020",37.55,41.37,36.13,36.59,36.08,3574100
"Mar 19, 2020",34.40,38.15,33.95,37.08,36.57,2875400
"Mar 18, 2020",35.88,37.12,32.37,34.34,33.86,4040500
"Mar 17, 2020",38.99,45.11,37.41,38.14,37.61,4013300
"Mar 16, 2020",37.44,41.47,34.83,38.43,37.90,3408300
"Mar 13, 2020",38.38,42.49,37.34,42.36,41.77,4613100
"Mar 12, 2020",41.76,42.06,35.70,35.98,35.48,4069400
"Mar 11, 2020",46.01,47.23,45.43,45.92,45.28,4042500
"Mar 10, 2020",48.08,48.48,44.70,47.44,46.78,5258800
"Mar 09, 2020",45.34,49.92,44.94,46.99,46.34,4699500
"Mar 06, 2020",53.38,54.09,52.81,54.03,53.28,4001200
"Mar 05, 2020",54.20,55.25,53.92,54.63,53.87,2442100
"Mar 04, 2020",53.81,54.93,53.81,54.72,53.96,3028100
"Mar 03, 2020",53.66,54.64,52.97,53.03,52.29,4299700
"Mar 02, 2020",52.55,53.67,51.98,53.25,52.51,3651800
"Feb 28, 2020",52.13,52.70,50.86,52.35,51.62,4673600
"Feb 27, 2020",55.27,55.86,53.35,53.46,52.72,3551000
"Feb 26, 2020",55.95,56.47,55.41,55.82,55.04,1829200
"Feb 25, 2020",56.61,56.84,55.81,55.84,55.06,2503500
"Feb 24, 2020",56.48,56.99,55.86,56.54,55.75,1373800
"Feb 21, 2020",57.20,57.92,57.15,57.42,56.62,1439000
"Feb 20, 2020",57.22,57.70,57.18,57.35,56.55,1180000
"Feb 19, 2020",56.75,57.49,56.63,57.22,56.43,1193600
"Feb 18, 2020",56.05,56.84,55.99,56.61,55.82,1819000
"Feb 14, 2020",55.75,56.38,55.59,56.35,55.57,1796300
"Feb 13, 2020",55.25,55.77,54.85,55.61,54.84,1072900
"Feb 12, 2020",55.46,55.78,55.24,55.70,54.93,1090200
"Feb 11, 2020",55.47,55.65,55.25,55.36,54.59,1133500
"Feb 10, 2020",55.03,55.39,54.95,55.25,54.48,849200
"Feb 07, 2020",55.02,55.63,54.95,55.07,54.31,1396000
"Feb 06, 2020",54.61,55.15,54.51,55.04,54.28,970000
"Feb 05, 2020",54.95,54.95,54.24,54.64,53.88,1297100
"Feb 04, 2020",54.87,55.01,54.63,54.72,53.96,1195100
"Feb 03, 2020",54.85,54.94,54.12,54.42,53.66,2270100
"Jan 31, 2020",54.73,55.12,54.69,54.82,54.06,1940600
"Jan 30, 2020",54.88,55.34,54.69,55.18,54.41,1932500
"Jan 29, 2020",55.62,55.70,55.32,55.35,54.58,1312100
"Jan 28, 2020",55.08,55.60,54.65,55.50,54.73,1227600
"Jan 27, 2020",54.36,55.07,54.26,54.86,54.10,1575000
"Jan 24, 2020",54.85,55.10,54.63,55.01,54.25,1402200
"Jan 23, 2020",54.13,54.96,53.90,54.83,54.07,1291000
"Jan 22, 2020",54.59,54.64,53.93,54.20,53.45,2139100
"Jan 21, 2020",54.23,54.68,54.21,54.55,53.79,1512200
"Jan 17, 2020",53.84,54.31,53.63,54.27,53.52,1093000
"Jan 16, 2020",53.40,53.80,53.36,53.77,53.02,922700
"Jan 15, 2020",52.75,53.44,52.70,53.40,52.66,1194100
"Jan 14, 2020",52.63,52.82,52.42,52.76,52.03,1535200
"Jan 13, 2020",52.57,52.80,52.25,52.71,51.98,824500
"Jan 10, 2020",52.84,52.84,52.28,52.40,51.67,1476600
"Jan 09, 2020",52.94,52.94,52.35,52.88,52.15,2555700
"Jan 08, 2020",52.96,53.08,52.72,52.94,52.20,1763900
"Jan 07, 2020",53.31,53.31,52.48,52.81,52.08,1296400
"Jan 06, 2020",52.68,53.33,52.68,53.27,52.53,1587500
"Jan 03, 2020",52.68,52.98,52.35,52.91,52.18,1245500
"Jan 02, 2020",53.30,53.41,52.34,52.70,51.97,3718600
"Dec 31, 2019",52.59,53.31,52.53,53.31,52.57,2098600
"Dec 30, 2019",53.59,53.72,52.45,52.67,51.94,3553100
"Dec 30, 2019",0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend
"Dec 27, 2019",53.84,53.95,53.49,53.78,52.29,1109300
"Dec 26, 2019",53.12,53.86,53.02,53.84,52.35,902400
"Dec 24, 2019",53.25,53.25,52.91,53.01,51.54,778000
"Dec 23, 2019",53.01,53.31,52.78,53.23,51.76,2345300
"Dec 20, 2019",52.40,53.08,52.24,53.01,51.54,1555800
"Dec 19, 2019",52.41,52.71,52.33,52.57,51.12,1549100
"Dec 18, 2019",52.13,52.59,52.13,52.54,51.09,1883200
"Dec 17, 2019",51.75,52.43,51.72,52.05,50.61,1920000
"Dec 16, 2019",51.34,51.81,51.16,51.66,50.23,977200
"Dec 13, 2019",51.35,51.43,50.81,50.93,49.52,1545800
"Dec 12, 2019",51.53,51.97,51.27,51.38,49.96,4196600
"Dec 11, 2019",51.45,52.04,51.26,51.67,50.24,1157700
"Dec 10, 2019",50.96,51.67,50.95,51.45,50.03,1488900
"Dec 09, 2019",50.75,51.07,50.52,51.06,49.65,4070800
"Dec 06, 2019",50.78,51.03,50.67,50.75,49.35,995500
"Dec 05, 2019",50.47,50.79,50.25,50.73,49.33,897900
"Dec 04, 2019",50.48,50.71,50.31,50.32,48.93,1066300
"Dec 03, 2019",50.26,50.44,49.97,50.15,48.76,1031500
"Dec 02, 2019",50.92,50.92,49.99,50.47,49.07,1181200
"Nov 29, 2019",50.82,51.04,50.63,50.93,49.52,347600
"Nov 27, 2019",50.74,51.06,50.46,51.04,49.63,1737900
"Nov 26, 2019",51.01,51.22,50.62,50.83,49.43,820500
"Nov 25, 2019",50.92,51.03,50.78,50.97,49.56,935700
"Nov 22, 2019",51.35,51.54,50.70,50.72,49.32,844600
"Nov 21, 2019",51.09,51.22,50.70,51.20,49.78,964400
"Nov 20, 2019",51.09,51.25,50.69,51.04,49.63,1094300
"Nov 19, 2019",51.42,51.75,51.19,51.24,49.82,1160300
"Nov 18, 2019",51.35,51.58,51.16,51.44,50.02,1139900
"Nov 15, 2019",50.98,51.72,50.96,51.39,49.97,677000
"Nov 14, 2019",51.10,51.23,50.51,50.96,49.55,664200
"Nov 13, 2019",51.05,51.49,50.87,50.99,49.58,957100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
