Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",41.45,42.18,38.52,39.21,39.21,48387300
"Apr 02, 2020",38.74,41.96,37.90,40.40,40.40,62000200
"Apr 01, 2020",36.86,38.70,36.34,37.53,37.53,36045900
"Mar 31, 2020",38.34,39.45,37.37,37.97,37.97,41491600
"Mar 30, 2020",36.23,38.15,35.86,37.50,37.50,45835000
"Mar 27, 2020",37.13,37.68,36.20,36.95,36.95,51558600
"Mar 26, 2020",37.50,39.56,36.72,38.82,38.82,46722000
"Mar 25, 2020",36.51,38.59,35.18,37.29,37.29,56607700
"Mar 24, 2020",34.42,36.17,33.33,35.44,35.44,61835600
"Mar 23, 2020",32.53,32.70,30.11,31.45,31.45,56952500
"Mar 20, 2020",34.84,35.18,31.56,32.74,32.74,76534600
"Mar 19, 2020",33.73,34.90,32.35,34.43,34.43,49412400
"Mar 18, 2020",34.55,36.71,31.23,33.12,33.12,54036400
"Mar 17, 2020",35.21,37.38,34.20,36.81,36.81,41204400
"Mar 16, 2020",34.40,37.88,33.25,34.49,34.49,48924700
"Mar 13, 2020",40.01,40.14,35.00,38.12,38.12,79891500
"Mar 12, 2020",39.90,40.65,37.00,37.18,37.18,65725300
"Mar 11, 2020",42.39,43.48,41.75,41.98,41.98,51986100
"Mar 10, 2020",46.17,46.26,41.45,43.41,43.41,60445900
"Mar 09, 2020",41.71,44.57,40.80,41.86,41.86,72896300
"Mar 06, 2020",48.84,49.01,47.20,47.69,47.69,55640500
"Mar 05, 2020",50.42,50.70,49.04,50.11,50.11,40788200
"Mar 04, 2020",52.23,52.48,51.12,52.42,52.42,24079600
"Mar 03, 2020",53.95,54.15,50.98,51.30,51.30,50580700
"Mar 02, 2020",52.59,53.89,51.13,53.88,53.88,38127600
"Feb 28, 2020",48.77,51.44,48.01,51.44,51.44,62468400
"Feb 27, 2020",51.71,52.44,49.80,49.82,49.82,48141300
"Feb 26, 2020",54.55,54.82,52.93,53.01,53.01,29801000
"Feb 25, 2020",56.75,56.75,53.97,54.20,54.20,36414500
"Feb 24, 2020",57.62,57.80,56.36,56.36,56.36,32096600
"Feb 21, 2020",59.51,59.51,58.79,59.13,59.13,20315700
"Feb 20, 2020",60.23,60.54,59.72,59.86,59.86,14817200
"Feb 19, 2020",60.11,60.62,59.83,60.34,60.34,12804900
"Feb 18, 2020",60.15,60.39,59.45,59.88,59.88,18948500
"Feb 14, 2020",61.15,61.16,60.28,60.65,60.65,10855300
"Feb 13, 2020",61.06,61.42,60.56,60.93,60.93,16949400
"Feb 12, 2020",61.34,61.53,60.56,61.27,61.27,17862100
"Feb 11, 2020",60.58,60.89,60.17,60.53,60.53,14908700
"Feb 10, 2020",60.48,60.52,59.62,59.96,59.96,20934500
"Feb 10, 2020",0.87 Dividend,0.87 Dividend,0.87 Dividend,0.87 Dividend,0.87 Dividend,0.87 Dividend
"Feb 07, 2020",61.41,61.66,61.06,61.47,60.60,15112500
"Feb 06, 2020",62.93,63.01,61.78,61.88,61.00,16055400
"Feb 05, 2020",60.75,62.93,60.60,62.73,61.84,32099200
"Feb 04, 2020",61.45,61.91,59.89,59.97,59.12,31922100
"Feb 03, 2020",61.38,61.42,60.37,60.73,59.87,27397300
"Jan 31, 2020",63.20,63.20,61.86,62.12,61.24,34282900
"Jan 30, 2020",63.78,64.88,63.43,64.79,63.87,18544700
"Jan 29, 2020",65.03,65.13,63.90,64.11,63.20,14202800
"Jan 28, 2020",65.11,65.20,64.63,64.65,63.73,19664700
"Jan 27, 2020",65.42,65.73,64.70,64.74,63.82,21231000
"Jan 24, 2020",66.54,66.68,66.04,66.32,65.38,18238600
"Jan 23, 2020",66.71,66.93,66.05,66.77,65.82,19605900
"Jan 22, 2020",67.56,67.70,67.00,67.19,66.24,17033100
"Jan 21, 2020",68.38,68.42,67.51,67.58,66.62,17982600
"Jan 17, 2020",68.75,69.08,68.29,68.56,67.59,18144100
"Jan 16, 2020",69.30,69.58,68.80,68.82,67.85,13340300
"Jan 15, 2020",69.20,69.59,68.89,69.09,68.11,11390300
"Jan 14, 2020",69.38,69.58,68.89,69.20,68.22,16261000
"Jan 13, 2020",69.20,69.87,69.11,69.80,68.81,9953900
"Jan 10, 2020",69.93,69.96,69.12,69.14,68.16,11995600
"Jan 09, 2020",69.14,69.90,68.63,69.76,68.77,14811800
"Jan 08, 2020",70.11,70.29,69.17,69.23,68.25,15137700
"Jan 07, 2020",70.50,70.52,69.51,70.29,69.30,17387700
"Jan 06, 2020",70.32,71.36,70.23,70.87,69.87,20081900
"Jan 03, 2020",71.34,71.37,70.16,70.33,69.33,17386900
"Jan 02, 2020",70.24,71.02,70.24,70.90,69.90,12456400
"Dec 31, 2019",69.02,69.80,69.01,69.78,68.79,13151800
"Dec 30, 2019",70.09,70.44,69.40,69.48,68.50,12689400
"Dec 27, 2019",70.20,70.31,69.88,69.89,68.90,10516100
"Dec 26, 2019",70.19,70.50,70.01,70.13,69.14,8840200
"Dec 24, 2019",70.35,70.50,69.91,70.02,69.03,3979400
"Dec 23, 2019",69.86,70.30,69.53,70.29,69.30,14172500
"Dec 20, 2019",69.86,70.23,69.39,69.94,68.95,35092000
"Dec 19, 2019",69.99,70.05,69.24,69.39,68.41,13273200
"Dec 18, 2019",69.63,70.29,69.28,69.87,68.88,13652300
"Dec 17, 2019",69.98,70.38,69.31,69.68,68.69,14450700
"Dec 16, 2019",69.70,70.25,69.70,70.00,69.01,15208700
"Dec 13, 2019",70.48,70.54,69.12,69.23,68.25,12274500
"Dec 12, 2019",68.96,70.38,68.90,70.34,69.34,17068500
"Dec 11, 2019",68.74,69.76,68.67,68.96,67.98,13748400
"Dec 10, 2019",69.66,70.15,68.70,69.06,68.08,14281800
"Dec 09, 2019",69.08,69.97,69.02,69.66,68.67,12397700
"Dec 06, 2019",68.76,69.87,68.76,69.51,68.53,13710800
"Dec 05, 2019",68.89,68.97,68.21,68.41,67.44,13109000
"Dec 04, 2019",68.25,68.76,68.14,68.65,67.68,11049700
"Dec 03, 2019",68.00,68.25,67.52,67.88,66.92,12245800
"Dec 02, 2019",68.50,68.88,68.37,68.42,67.45,11116900
"Nov 29, 2019",68.33,68.53,68.00,68.13,67.17,7980800
"Nov 27, 2019",68.76,69.09,68.41,68.70,67.73,8393900
"Nov 26, 2019",68.92,69.04,68.44,68.74,67.77,15457000
"Nov 25, 2019",69.37,69.44,68.71,68.91,67.93,10670000
"Nov 22, 2019",69.71,70.18,69.33,69.37,68.39,12143600
"Nov 21, 2019",68.02,69.75,67.92,69.67,68.68,14080500
"Nov 20, 2019",67.67,68.54,67.32,68.03,67.07,16930700
"Nov 19, 2019",68.40,68.56,67.78,67.82,66.86,12605500
"Nov 18, 2019",68.70,68.82,68.30,68.52,67.55,10095600
"Nov 15, 2019",68.71,69.30,68.67,69.19,68.21,11252800
"Nov 14, 2019",68.86,68.97,68.18,68.50,67.53,11279800
"Nov 13, 2019",69.02,69.15,68.60,68.80,67.83,11773700
"Nov 12, 2019",70.27,70.41,68.98,69.37,68.39,13918600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
