Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.36,25.39,25.06,25.34,25.34,122645
"Apr 02, 2020",25.17,25.33,24.82,25.24,25.24,242242
"Apr 01, 2020",25.30,25.44,25.00,25.28,25.28,230895
"Mar 31, 2020",25.54,25.98,25.51,25.65,25.65,254914
"Mar 30, 2020",25.46,25.73,25.23,25.65,25.65,174395
"Mar 27, 2020",25.40,25.70,25.02,25.55,25.55,319247
"Mar 26, 2020",25.15,25.89,25.13,25.80,25.80,315756
"Mar 25, 2020",24.18,25.67,24.10,25.06,25.06,352176
"Mar 24, 2020",23.00,24.61,22.86,24.31,24.31,330210
"Mar 23, 2020",23.98,23.98,21.00,22.35,22.35,330469
"Mar 20, 2020",24.19,24.91,23.70,23.71,23.71,317758
"Mar 19, 2020",23.03,24.94,20.05,24.14,24.14,566194
"Mar 18, 2020",24.81,25.00,22.01,23.00,23.00,512620
"Mar 17, 2020",25.09,25.44,24.80,25.19,25.19,418825
"Mar 16, 2020",25.09,25.25,24.83,25.02,25.02,518601
"Mar 13, 2020",25.62,26.00,25.25,25.90,25.90,195225
"Mar 12, 2020",25.60,25.61,24.70,25.49,25.49,622895
"Mar 11, 2020",26.20,26.30,25.92,26.09,26.09,366861
"Mar 10, 2020",26.36,26.43,26.20,26.34,26.34,118076
"Mar 09, 2020",26.36,26.50,26.06,26.14,26.14,224759
"Mar 06, 2020",26.98,27.04,26.77,26.90,26.90,143258
"Mar 05, 2020",27.15,27.35,27.11,27.18,27.18,168890
"Mar 04, 2020",27.04,27.26,26.95,27.26,27.26,56236
"Mar 03, 2020",27.07,27.19,26.81,26.81,26.81,159546
"Mar 02, 2020",26.53,26.88,26.42,26.81,26.81,110587
"Feb 28, 2020",26.87,26.87,26.40,26.41,26.41,231211
"Feb 27, 2020",27.09,27.09,26.75,26.87,26.87,106524
"Feb 26, 2020",27.25,27.35,27.00,27.12,27.12,80525
"Feb 25, 2020",27.63,27.63,27.22,27.22,27.22,118754
"Feb 24, 2020",27.49,27.63,27.49,27.55,27.55,89187
"Feb 21, 2020",27.69,27.69,27.57,27.64,27.64,175377
"Feb 20, 2020",27.60,27.63,27.56,27.63,27.63,51165
"Feb 19, 2020",27.70,27.72,27.55,27.59,27.59,146154
"Feb 18, 2020",27.74,27.74,27.63,27.66,27.66,78169
"Feb 14, 2020",27.58,27.75,27.58,27.65,27.65,50531
"Feb 13, 2020",27.68,27.68,27.58,27.62,27.62,191833
"Feb 12, 2020",27.73,27.73,27.60,27.60,27.60,123000
"Feb 11, 2020",27.71,27.73,27.61,27.62,27.62,109123
"Feb 10, 2020",27.65,27.66,27.61,27.62,27.62,41688
"Feb 07, 2020",27.60,27.69,27.55,27.60,27.60,79733
"Feb 06, 2020",27.51,27.60,27.50,27.60,27.60,87629
"Feb 05, 2020",27.74,27.74,27.50,27.56,27.56,215854
"Feb 04, 2020",27.78,27.85,27.65,27.66,27.66,141952
"Feb 03, 2020",27.75,27.81,27.73,27.76,27.76,68895
"Jan 31, 2020",27.82,27.93,27.72,27.75,27.75,610402
"Jan 30, 2020",27.54,27.74,27.54,27.74,27.74,104757
"Jan 30, 2020",0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend
"Jan 29, 2020",27.95,28.02,27.95,28.02,27.65,60809
"Jan 28, 2020",27.86,27.94,27.82,27.92,27.55,103052
"Jan 27, 2020",27.83,27.87,27.77,27.85,27.48,79987
"Jan 24, 2020",27.83,27.87,27.80,27.87,27.50,74740
"Jan 23, 2020",27.77,27.83,27.73,27.83,27.46,70118
"Jan 22, 2020",27.69,27.78,27.69,27.77,27.40,80065
"Jan 21, 2020",27.83,27.83,27.72,27.73,27.36,121830
"Jan 17, 2020",27.83,27.83,27.77,27.82,27.45,123579
"Jan 16, 2020",27.73,27.85,27.70,27.84,27.47,130617
"Jan 15, 2020",27.82,27.83,27.65,27.73,27.36,94408
"Jan 14, 2020",27.78,27.83,27.74,27.82,27.45,137225
"Jan 13, 2020",27.67,27.75,27.61,27.75,27.38,68191
"Jan 10, 2020",27.55,27.65,27.51,27.60,27.23,62111
"Jan 09, 2020",27.56,27.64,27.47,27.62,27.25,64905
"Jan 08, 2020",27.53,27.59,27.50,27.55,27.18,94212
"Jan 07, 2020",27.70,27.70,27.41,27.45,27.08,165699
"Jan 06, 2020",27.72,27.75,27.65,27.67,27.30,85897
"Jan 03, 2020",27.72,27.76,27.65,27.72,27.35,77416
"Jan 02, 2020",27.48,27.73,27.46,27.73,27.36,126327
"Dec 31, 2019",27.42,27.49,27.28,27.49,27.12,85451
"Dec 30, 2019",27.39,27.43,27.23,27.40,27.03,173934
"Dec 27, 2019",27.47,27.47,27.33,27.34,26.97,66948
"Dec 26, 2019",27.49,27.49,27.39,27.39,27.02,82306
"Dec 24, 2019",27.47,27.50,27.43,27.48,27.11,47508
"Dec 23, 2019",27.45,27.47,27.39,27.46,27.09,50550
"Dec 20, 2019",27.43,27.48,27.39,27.39,27.02,97210
"Dec 19, 2019",27.40,27.42,27.35,27.40,27.03,50303
"Dec 18, 2019",27.39,27.43,27.29,27.37,27.00,86082
"Dec 17, 2019",27.39,27.40,27.31,27.36,26.99,60009
"Dec 16, 2019",27.39,27.39,27.26,27.33,26.96,95871
"Dec 13, 2019",27.24,27.34,27.20,27.33,26.96,36465
"Dec 12, 2019",27.20,27.23,27.08,27.22,26.86,66919
"Dec 11, 2019",27.16,27.20,27.11,27.20,26.84,41785
"Dec 10, 2019",27.08,27.12,27.05,27.11,26.75,165757
"Dec 09, 2019",27.06,27.11,27.03,27.09,26.73,91478
"Dec 06, 2019",27.05,27.06,26.95,27.03,26.67,41633
"Dec 05, 2019",27.09,27.09,26.95,27.05,26.69,129836
"Dec 04, 2019",27.12,27.16,27.03,27.03,26.67,97667
"Dec 03, 2019",27.10,27.15,27.02,27.13,26.77,216885
"Dec 02, 2019",27.18,27.18,27.00,27.05,26.69,96679
"Nov 29, 2019",27.13,27.18,27.09,27.18,26.82,41179
"Nov 27, 2019",27.05,27.15,27.00,27.10,26.74,81528
"Nov 26, 2019",27.03,27.05,26.99,26.99,26.63,53241
"Nov 25, 2019",27.05,27.05,26.95,27.01,26.65,39057
"Nov 22, 2019",26.95,27.03,26.91,27.03,26.67,76519
"Nov 21, 2019",26.88,26.94,26.86,26.88,26.52,42615
"Nov 20, 2019",26.89,26.93,26.86,26.86,26.51,110376
"Nov 19, 2019",26.93,26.95,26.87,26.89,26.53,143515
"Nov 18, 2019",26.98,26.98,26.90,26.90,26.54,98576
"Nov 15, 2019",26.87,26.92,26.84,26.91,26.55,83582
"Nov 14, 2019",26.86,26.89,26.81,26.84,26.48,40886
"Nov 13, 2019",26.79,26.82,26.10,26.78,26.42,125047
"Nov 12, 2019",26.73,26.81,26.68,26.75,26.39,70078
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
