Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.98,24.98,24.74,24.85,24.85,75298
"Apr 02, 2020",24.66,25.09,24.47,24.94,24.94,163892
"Apr 01, 2020",24.83,24.99,24.65,24.82,24.82,224487
"Mar 31, 2020",25.31,25.39,25.15,25.15,25.15,441785
"Mar 31, 2020",0.3875 Dividend,0.3875 Dividend,0.3875 Dividend,0.3875 Dividend,0.3875 Dividend,0.3875 Dividend
"Mar 30, 2020",25.28,25.74,25.15,25.59,25.20,165773
"Mar 27, 2020",25.04,25.44,24.96,25.23,24.85,265741
"Mar 26, 2020",25.14,25.35,25.05,25.33,24.95,236971
"Mar 25, 2020",24.84,25.44,24.74,25.03,24.65,261055
"Mar 24, 2020",23.00,24.80,23.00,24.79,24.41,272656
"Mar 23, 2020",23.06,23.53,21.16,22.46,22.12,364181
"Mar 20, 2020",23.91,24.90,23.25,23.53,23.17,262535
"Mar 19, 2020",22.00,24.74,20.90,24.13,23.76,433192
"Mar 18, 2020",24.68,24.68,20.28,24.09,23.73,494487
"Mar 17, 2020",24.75,25.19,24.61,25.01,24.63,237119
"Mar 16, 2020",24.70,25.10,24.35,24.98,24.60,365246
"Mar 13, 2020",25.10,25.37,25.01,25.37,24.99,223467
"Mar 12, 2020",25.00,25.50,24.56,25.00,24.62,359201
"Mar 11, 2020",25.78,25.80,25.53,25.64,25.25,96991
"Mar 10, 2020",25.93,25.93,25.56,25.87,25.48,77369
"Mar 09, 2020",25.62,25.99,25.40,25.70,25.31,174751
"Mar 06, 2020",25.85,25.94,25.79,25.87,25.48,80409
"Mar 05, 2020",25.94,26.08,25.88,25.94,25.55,59642
"Mar 04, 2020",26.00,26.02,25.97,26.02,25.63,110276
"Mar 03, 2020",25.91,26.08,25.90,25.99,25.60,80695
"Mar 02, 2020",25.80,25.94,25.76,25.93,25.54,79465
"Feb 28, 2020",25.79,25.79,25.68,25.69,25.30,166360
"Feb 27, 2020",25.81,25.90,25.77,25.84,25.45,121213
"Feb 26, 2020",25.94,26.00,25.90,25.93,25.54,202251
"Feb 25, 2020",25.97,26.01,25.86,25.95,25.56,96024
"Feb 24, 2020",26.00,26.06,25.95,25.95,25.56,61448
"Feb 21, 2020",26.09,26.12,26.05,26.09,25.69,98005
"Feb 20, 2020",26.08,26.12,26.05,26.10,25.70,62511
"Feb 19, 2020",26.12,26.16,26.05,26.05,25.66,97653
"Feb 18, 2020",26.15,26.15,26.12,26.12,25.73,49547
"Feb 14, 2020",26.11,26.15,26.11,26.12,25.72,29845
"Feb 13, 2020",26.10,26.14,26.10,26.14,25.74,171644
"Feb 12, 2020",26.11,26.15,26.10,26.11,25.71,33311
"Feb 11, 2020",26.11,26.15,26.11,26.13,25.73,58817
"Feb 10, 2020",26.10,26.15,26.10,26.11,25.71,38743
"Feb 07, 2020",26.11,26.15,26.09,26.10,25.70,79086
"Feb 06, 2020",26.11,26.11,26.06,26.08,25.69,52544
"Feb 05, 2020",26.10,26.10,26.05,26.06,25.67,83810
"Feb 04, 2020",26.20,26.21,26.08,26.10,25.70,114249
"Feb 03, 2020",26.17,26.20,26.13,26.16,25.76,58794
"Jan 31, 2020",26.16,26.28,26.08,26.17,25.77,367348
"Jan 30, 2020",26.10,26.24,26.10,26.22,25.82,76550
"Jan 29, 2020",26.15,26.16,26.11,26.14,25.74,62900
"Jan 28, 2020",26.08,26.13,26.05,26.08,25.69,117412
"Jan 27, 2020",26.09,26.12,26.07,26.09,25.69,65806
"Jan 24, 2020",26.13,26.14,26.11,26.13,25.73,73222
"Jan 23, 2020",26.21,26.21,26.09,26.13,25.73,124648
"Jan 22, 2020",26.23,26.23,26.16,26.22,25.82,68999
"Jan 21, 2020",26.17,26.25,26.16,26.22,25.82,55766
"Jan 17, 2020",26.13,26.29,26.12,26.20,25.80,159557
"Jan 16, 2020",26.17,26.22,26.11,26.17,25.77,91061
"Jan 15, 2020",26.23,26.27,26.20,26.23,25.83,63581
"Jan 14, 2020",26.25,26.28,26.23,26.25,25.85,78283
