Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",20.63,20.99,19.54,20.04,20.04,40400
"Apr 02, 2020",20.08,20.36,20.08,20.35,20.35,11200
"Apr 01, 2020",20.65,21.25,20.25,20.29,20.29,25800
"Mar 31, 2020",20.98,21.56,20.98,21.30,21.30,21100
"Mar 30, 2020",21.00,21.45,20.81,21.45,21.45,33700
"Mar 27, 2020",21.50,21.50,20.54,21.44,21.44,43400
"Mar 26, 2020",20.93,21.95,20.93,21.70,21.70,76800
"Mar 25, 2020",19.10,20.90,18.83,20.11,20.11,79600
"Mar 24, 2020",18.07,19.49,18.07,19.02,19.02,42400
"Mar 23, 2020",19.50,19.51,16.70,17.72,17.72,113200
"Mar 20, 2020",18.99,20.35,18.49,19.51,19.51,66600
"Mar 19, 2020",18.39,19.25,16.51,18.49,18.49,60200
"Mar 18, 2020",18.27,18.94,16.95,18.51,18.51,71100
"Mar 17, 2020",20.19,20.19,19.65,19.67,19.67,78200
"Mar 16, 2020",20.80,21.46,19.58,19.70,19.70,88800
"Mar 13, 2020",22.10,23.29,21.17,21.59,21.59,26700
"Mar 12, 2020",22.36,22.36,21.00,21.25,21.25,150800
"Mar 11, 2020",23.00,23.31,22.72,22.73,22.73,36400
"Mar 10, 2020",23.91,23.91,23.03,23.31,23.31,24000
"Mar 09, 2020",23.52,24.00,22.81,23.04,23.04,37000
"Mar 06, 2020",23.93,24.48,23.93,24.12,24.12,41000
"Mar 05, 2020",24.07,24.56,24.07,24.24,24.24,10600
"Mar 04, 2020",24.47,24.61,24.28,24.50,24.50,22700
"Mar 03, 2020",23.67,24.44,23.67,24.28,24.28,35800
"Mar 02, 2020",23.43,23.72,23.20,23.63,23.63,31700
"Feb 28, 2020",23.01,23.57,22.50,23.14,23.14,59300
"Feb 27, 2020",23.89,23.95,22.40,23.51,23.51,91100
"Feb 26, 2020",23.96,24.27,23.71,23.89,23.89,25300
"Feb 25, 2020",24.50,24.50,23.91,23.92,23.92,50500
"Feb 24, 2020",24.69,24.80,24.43,24.43,24.43,16100
"Feb 21, 2020",24.87,24.93,24.75,24.75,24.75,16900
"Feb 20, 2020",24.80,24.93,24.80,24.88,24.88,23300
"Feb 19, 2020",24.88,24.93,24.75,24.75,24.75,24500
"Feb 18, 2020",24.95,24.95,24.85,24.85,24.85,20100
"Feb 14, 2020",24.81,24.95,24.81,24.95,24.95,34600
"Feb 13, 2020",24.91,24.95,24.86,24.92,24.92,7900
"Feb 12, 2020",24.94,24.95,24.82,24.91,24.91,19000
"Feb 11, 2020",24.91,24.98,24.87,24.96,24.96,14500
"Feb 10, 2020",24.95,24.96,24.82,24.90,24.90,33200
"Feb 07, 2020",24.98,24.98,24.84,24.84,24.84,32500
"Feb 06, 2020",24.85,24.98,24.84,24.98,24.98,14700
"Feb 05, 2020",24.83,24.90,24.78,24.87,24.87,21000
"Feb 04, 2020",24.79,24.89,24.76,24.85,24.85,23000
"Feb 03, 2020",24.72,24.83,24.70,24.75,24.75,13400
"Jan 31, 2020",24.75,24.77,24.50,24.74,24.74,103600
"Jan 30, 2020",24.72,24.75,24.61,24.75,24.75,29900
"Jan 30, 2020",0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend
"Jan 29, 2020",24.88,24.98,24.85,24.95,24.69,44900
"Jan 28, 2020",24.88,24.92,24.83,24.88,24.63,32400
"Jan 27, 2020",24.89,24.97,24.82,24.88,24.63,68600
"Jan 24, 2020",24.97,24.97,24.89,24.94,24.68,16900
"Jan 23, 2020",24.91,24.94,24.84,24.94,24.68,19600
"Jan 22, 2020",25.00,25.00,24.75,24.87,24.62,65100
"Jan 21, 2020",24.93,25.00,24.83,25.00,24.74,46100
"Jan 17, 2020",24.79,24.89,24.75,24.87,24.62,21700
"Jan 16, 2020",24.70,24.80,24.61,24.76,24.51,34500
"Jan 15, 2020",24.67,24.70,24.54,24.69,24.44,21500
"Jan 14, 2020",24.58,24.72,24.51,24.67,24.42,30300
"Jan 13, 2020",24.57,24.64,24.46,24.64,24.39,41200
"Jan 10, 2020",24.51,24.53,24.42,24.52,24.27,19200
"Jan 09, 2020",24.35,24.52,24.35,24.50,24.25,26400
"Jan 08, 2020",24.53,24.64,24.35,24.44,24.19,40600
"Jan 07, 2020",24.49,24.59,24.49,24.51,24.26,40600
"Jan 06, 2020",24.55,24.65,24.50,24.50,24.25,24100
"Jan 03, 2020",24.55,24.61,24.50,24.60,24.35,20900
"Jan 02, 2020",24.49,24.65,24.40,24.51,24.26,41000
"Dec 31, 2019",24.47,24.56,24.34,24.37,24.12,24900
"Dec 30, 2019",24.58,24.58,24.29,24.42,24.17,9500
"Dec 27, 2019",24.46,24.51,24.44,24.51,24.26,11400
"Dec 26, 2019",24.59,24.63,24.45,24.50,24.25,18000
"Dec 24, 2019",24.68,24.68,24.57,24.62,24.37,13600
"Dec 23, 2019",24.50,24.61,24.41,24.53,24.28,16400
"Dec 20, 2019",24.49,24.50,24.44,24.48,24.23,12400
"Dec 19, 2019",24.49,24.49,24.43,24.49,24.24,12300
"Dec 18, 2019",24.49,24.49,24.32,24.49,24.24,24900
"Dec 17, 2019",24.30,24.49,24.29,24.49,24.24,33000
"Dec 16, 2019",24.40,24.40,24.26,24.30,24.05,16800
"Dec 13, 2019",24.28,24.30,24.27,24.29,24.04,6200
"Dec 12, 2019",24.23,24.25,24.06,24.22,23.97,9500
"Dec 11, 2019",23.88,24.24,23.87,24.20,23.95,40500
"Dec 10, 2019",23.86,23.91,23.86,23.86,23.62,14900
"Dec 09, 2019",23.90,23.99,23.82,23.90,23.66,23400
"Dec 06, 2019",23.84,23.92,23.78,23.90,23.66,26700
"Dec 05, 2019",24.07,24.07,23.80,23.88,23.64,17600
"Dec 04, 2019",24.15,24.15,23.97,24.04,23.79,22600
"Dec 03, 2019",24.15,24.17,24.04,24.05,23.80,19800
"Dec 02, 2019",24.26,24.26,24.01,24.08,23.83,26800
"Nov 29, 2019",24.17,24.30,24.17,24.26,24.01,9500
"Nov 27, 2019",24.17,24.20,24.17,24.19,23.94,13500
"Nov 26, 2019",24.17,24.23,24.15,24.23,23.98,10700
"Nov 25, 2019",24.11,24.27,24.11,24.20,23.95,16600
"Nov 22, 2019",24.25,24.30,24.15,24.15,23.90,24800
"Nov 21, 2019",24.22,24.25,24.13,24.15,23.90,20200
"Nov 20, 2019",24.35,24.35,24.23,24.25,24.00,12500
"Nov 19, 2019",24.26,24.35,24.23,24.24,23.99,18400
"Nov 18, 2019",24.30,24.35,24.26,24.29,24.04,27300
"Nov 15, 2019",24.34,24.34,24.21,24.29,24.04,14700
"Nov 14, 2019",24.23,24.24,24.05,24.24,23.99,13300
"Nov 13, 2019",24.13,24.17,24.03,24.16,23.91,23400
"Nov 12, 2019",24.12,24.12,24.00,24.03,23.78,13000
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
