Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1225.01,1240.86,1225.01,1230.05,1230.05,7600
"Apr 02, 2020",1201.14,1240.00,1192.65,1235.00,1235.00,18500
"Apr 01, 2020",1233.00,1244.00,1195.00,1201.86,1201.86,17300
"Mar 31, 2020",1284.00,1295.90,1255.00,1266.02,1266.02,8800
"Mar 31, 2020",18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend
"Mar 30, 2020",1272.00,1294.00,1266.20,1294.00,1275.88,7100
"Mar 27, 2020",1259.00,1287.97,1230.21,1269.74,1251.95,5400
"Mar 26, 2020",1331.65,1449.99,1276.26,1280.00,1262.07,42000
"Mar 25, 2020",1219.99,1383.90,1214.99,1340.50,1321.72,15100
"Mar 24, 2020",1179.97,1220.00,1126.01,1190.32,1173.65,12300
"Mar 23, 2020",1156.01,1159.99,1085.01,1117.81,1102.15,16700
"Mar 20, 2020",1155.45,1198.20,1135.01,1171.98,1155.56,47000
"Mar 19, 2020",1055.85,1185.01,1050.00,1121.00,1105.30,23100
"Mar 18, 2020",1209.98,1213.00,1050.00,1062.06,1047.18,25900
"Mar 17, 2020",1238.83,1238.83,1208.00,1227.00,1209.81,17100
"Mar 16, 2020",1244.00,1260.98,1201.00,1201.00,1184.18,24900
"Mar 13, 2020",1320.25,1355.98,1246.00,1254.07,1236.50,67000
"Mar 12, 2020",1420.20,1422.78,1225.51,1296.76,1278.60,23800
"Mar 11, 2020",1490.30,1506.50,1451.05,1462.95,1442.46,11200
"Mar 10, 2020",1518.01,1534.50,1505.00,1505.00,1483.92,6000
"Mar 09, 2020",1516.95,1526.40,1441.00,1517.50,1496.24,12800
"Mar 06, 2020",1525.38,1610.00,1514.02,1536.41,1514.89,19100
"Mar 05, 2020",1533.99,1543.15,1530.00,1533.89,1512.40,49100
"Mar 04, 2020",1535.00,1552.99,1535.00,1539.45,1517.89,12900
"Mar 03, 2020",1520.02,1539.83,1520.02,1537.00,1515.47,40100
"Mar 02, 2020",1504.00,1538.10,1504.00,1520.50,1499.20,15400
"Feb 28, 2020",1508.00,1514.00,1480.07,1500.00,1478.99,15200
"Feb 27, 2020",1539.97,1539.97,1506.65,1518.00,1496.74,25200
"Feb 26, 2020",1542.12,1545.15,1537.48,1542.11,1520.51,18100
"Feb 25, 2020",1562.20,1571.30,1544.15,1544.25,1522.62,7400
"Feb 24, 2020",1563.51,1577.80,1563.51,1566.00,1544.07,7800
"Feb 21, 2020",1572.28,1581.73,1572.28,1577.00,1554.91,1200
"Feb 20, 2020",1564.10,1579.99,1556.68,1577.00,1554.91,3000
"Feb 19, 2020",1569.02,1569.02,1565.00,1567.50,1545.54,2300
"Feb 18, 2020",1562.00,1571.01,1557.54,1571.01,1549.00,2500
"Feb 14, 2020",1563.50,1565.00,1556.00,1565.00,1543.08,1300
"Feb 13, 2020",1567.20,1568.90,1556.63,1560.00,1538.15,5400
"Feb 12, 2020",1569.83,1571.37,1556.27,1562.41,1540.53,1800
"Feb 11, 2020",1563.05,1571.40,1545.62,1569.83,1547.84,1500
"Feb 10, 2020",1552.05,1566.85,1552.05,1566.85,1544.90,4700
"Feb 07, 2020",1547.55,1562.79,1547.55,1559.00,1537.16,2400
"Feb 06, 2020",1547.00,1556.40,1543.20,1554.00,1532.23,11600
"Feb 05, 2020",1556.01,1558.99,1543.28,1547.47,1525.79,8800
"Feb 04, 2020",1562.26,1564.66,1555.67,1555.67,1533.88,4800
"Feb 03, 2020",1570.85,1572.19,1557.00,1566.50,1544.56,5700
"Jan 31, 2020",1556.96,1572.70,1545.41,1572.70,1550.67,23400
"Jan 30, 2020",1553.12,1572.95,1543.14,1556.96,1535.15,7200
"Jan 29, 2020",1551.25,1563.15,1550.00,1561.26,1539.39,7600
"Jan 28, 2020",1533.00,1557.20,1530.13,1553.78,1532.02,17500
"Jan 27, 2020",1525.02,1540.74,1525.02,1538.01,1516.47,6900
"Jan 24, 2020",1516.00,1539.00,1510.51,1539.00,1517.44,8400
"Jan 23, 2020",1507.35,1526.80,1507.35,1519.99,1498.70,5700
"Jan 22, 2020",1502.86,1515.40,1501.19,1514.00,1492.79,3200
"Jan 21, 2020",1496.01,1504.47,1496.01,1504.47,1483.40,9800
"Jan 17, 2020",1498.01,1500.00,1496.63,1497.60,1476.62,3200
"Jan 16, 2020",1503.50,1503.88,1496.33,1501.24,1480.21,2700
"Jan 15, 2020",1494.65,1505.48,1489.70,1504.94,1483.86,7600
"Jan 14, 2020",1495.90,1499.00,1487.65,1499.00,1478.00,2000
"Jan 13, 2020",1493.98,1498.49,1488.64,1497.55,1476.57,6500
"Jan 10, 2020",1478.00,1494.34,1472.51,1491.42,1470.53,7400
"Jan 09, 2020",1477.65,1483.99,1471.00,1482.00,1461.24,6000
"Jan 08, 2020",1470.52,1483.17,1470.00,1478.75,1458.04,8700
"Jan 07, 2020",1464.45,1482.49,1464.45,1474.76,1454.10,3400
"Jan 06, 2020",1462.00,1470.79,1461.50,1468.70,1448.13,4200
"Jan 03, 2020",1452.95,1464.82,1450.51,1464.59,1444.08,4000
"Jan 02, 2020",1446.89,1456.64,1445.26,1455.50,1435.11,5700
"Dec 31, 2019",1450.61,1462.70,1448.25,1449.00,1428.70,10800
"Dec 30, 2019",1461.00,1465.80,1447.00,1465.79,1445.26,8900
"Dec 30, 2019",18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend,18.125 Dividend
"Dec 27, 2019",1475.61,1477.57,1470.75,1474.90,1436.37,2800
"Dec 26, 2019",1480.00,1483.78,1471.77,1474.36,1435.84,1900
"Dec 24, 2019",1473.52,1475.00,1470.50,1475.00,1436.47,2200
"Dec 23, 2019",1470.20,1477.78,1470.00,1473.52,1435.03,4300
"Dec 20, 2019",1470.00,1476.50,1468.61,1470.00,1431.60,3000
"Dec 19, 2019",1467.16,1469.57,1467.16,1469.56,1431.17,7500
"Dec 18, 2019",1470.02,1475.50,1468.01,1470.00,1431.60,10200
"Dec 17, 2019",1472.25,1475.23,1469.76,1469.76,1431.36,5900
"Dec 16, 2019",1473.00,1476.99,1473.00,1474.33,1435.81,2300
"Dec 13, 2019",1469.20,1478.26,1469.20,1475.00,1436.47,4300
"Dec 12, 2019",1480.17,1483.95,1470.01,1472.21,1433.75,10900
"Dec 11, 2019",1478.77,1483.95,1475.04,1483.95,1445.18,5400
"Dec 10, 2019",1476.00,1483.69,1476.00,1481.60,1442.89,3200
"Dec 09, 2019",1477.13,1480.35,1475.50,1478.73,1440.10,1100
"Dec 06, 2019",1475.00,1482.89,1468.00,1481.02,1442.33,3900
"Dec 05, 2019",1474.37,1481.20,1474.01,1474.01,1435.50,2200
"Dec 04, 2019",1483.00,1483.00,1473.90,1479.56,1440.91,4600
"Dec 03, 2019",1470.10,1483.91,1468.50,1477.80,1439.19,6200
"Dec 02, 2019",1480.02,1483.96,1463.08,1471.95,1433.50,10500
"Nov 29, 2019",1481.00,1489.00,1479.55,1480.00,1441.34,2100
"Nov 27, 2019",1486.75,1491.65,1483.13,1483.70,1444.94,3500
"Nov 26, 2019",1477.50,1486.99,1477.50,1486.88,1448.04,900
"Nov 25, 2019",1476.00,1479.00,1472.00,1477.00,1438.42,3500
"Nov 22, 2019",1476.08,1477.99,1474.80,1477.02,1438.43,7400
"Nov 21, 2019",1476.20,1478.00,1471.87,1475.99,1437.43,5400
"Nov 20, 2019",1473.75,1481.81,1470.16,1477.22,1438.63,1500
"Nov 19, 2019",1473.92,1475.00,1471.50,1473.73,1435.23,1200
"Nov 18, 2019",1467.01,1475.00,1467.01,1473.00,1434.52,21300
"Nov 15, 2019",1469.80,1474.99,1468.02,1470.00,1431.60,11800
"Nov 14, 2019",1464.00,1474.99,1464.00,1474.89,1436.36,5800
"Nov 13, 2019",1458.00,1464.99,1458.00,1462.71,1424.50,3000
