Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",19.46,19.73,19.26,19.55,19.55,14117
"Apr 02, 2020",19.00,20.26,19.00,20.26,20.26,23588
"Apr 01, 2020",19.02,20.13,19.01,19.08,19.08,21054
"Mar 31, 2020",20.11,20.58,20.01,20.58,20.58,8830
"Mar 30, 2020",20.27,20.68,20.07,20.29,20.29,14063
"Mar 27, 2020",20.00,20.62,20.00,20.31,20.31,8714
"Mar 26, 2020",21.06,21.08,19.73,20.72,20.72,39845
"Mar 25, 2020",18.09,21.32,17.94,19.33,19.33,41185
"Mar 24, 2020",16.34,18.50,16.34,18.50,18.50,35069
"Mar 23, 2020",17.64,17.99,15.57,16.25,16.25,75803
"Mar 20, 2020",17.60,19.34,17.60,17.66,17.66,39051
"Mar 19, 2020",16.97,18.47,16.28,17.82,17.82,82596
"Mar 18, 2020",19.45,19.45,16.81,17.17,17.17,36245
"Mar 17, 2020",20.20,20.74,19.41,19.50,19.50,33401
"Mar 16, 2020",21.64,21.64,20.01,20.13,20.13,17670
"Mar 13, 2020",22.10,23.01,22.01,22.27,22.27,67050
"Mar 12, 2020",21.70,22.25,20.10,22.11,22.11,59125
"Mar 11, 2020",23.20,23.20,22.63,22.70,22.70,22945
"Mar 10, 2020",23.14,23.31,23.01,23.20,23.20,13394
"Mar 09, 2020",23.48,23.82,23.00,23.05,23.05,19776
"Mar 06, 2020",24.25,24.27,24.03,24.13,24.13,15494
"Mar 05, 2020",24.49,24.52,24.01,24.38,24.38,8659
"Mar 04, 2020",24.52,24.79,24.25,24.60,24.60,20767
"Mar 03, 2020",23.50,24.56,23.50,24.50,24.50,72021
"Mar 02, 2020",23.25,23.71,23.01,23.68,23.68,56989
"Feb 28, 2020",23.20,23.30,22.85,23.00,23.00,37671
"Feb 27, 2020",23.55,23.58,23.03,23.20,23.20,35305
"Feb 26, 2020",23.56,23.75,23.50,23.61,23.61,15361
"Feb 25, 2020",24.30,24.33,23.60,23.65,23.65,28904
"Feb 24, 2020",24.48,24.78,24.23,24.27,24.27,25824
"Feb 21, 2020",24.75,24.80,24.55,24.55,24.55,22718
"Feb 20, 2020",24.75,24.84,24.75,24.76,24.76,20776
"Feb 19, 2020",24.76,24.92,24.74,24.80,24.80,32189
"Feb 18, 2020",24.76,24.82,24.66,24.76,24.76,11333
"Feb 14, 2020",24.72,24.88,24.67,24.87,24.87,16669
"Feb 13, 2020",24.85,24.85,24.58,24.70,24.70,19284
"Feb 13, 2020",0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend
"Feb 12, 2020",24.91,25.00,24.79,24.97,24.71,15134
"Feb 11, 2020",24.84,25.11,24.80,24.96,24.70,42556
"Feb 10, 2020",24.90,24.97,24.76,24.87,24.61,19065
"Feb 07, 2020",24.97,24.99,24.86,24.92,24.67,9954
"Feb 06, 2020",24.84,24.96,24.84,24.95,24.69,9717
"Feb 05, 2020",24.90,24.90,24.73,24.84,24.59,23650
"Feb 04, 2020",24.90,24.99,24.74,24.93,24.68,16708
"Feb 03, 2020",25.00,25.08,24.78,24.90,24.65,25373
"Jan 31, 2020",24.60,25.17,24.47,25.05,24.79,70380
"Jan 30, 2020",24.54,24.76,24.35,24.76,24.51,23668
"Jan 29, 2020",24.63,24.72,24.32,24.65,24.40,55070
"Jan 28, 2020",24.23,24.77,24.16,24.63,24.38,22088
"Jan 27, 2020",24.14,24.24,24.05,24.24,23.99,11869
"Jan 24, 2020",24.22,24.29,24.19,24.19,23.94,22303
"Jan 23, 2020",24.26,24.29,24.11,24.20,23.95,25186
"Jan 22, 2020",24.28,24.28,24.16,24.26,24.01,24793
"Jan 21, 2020",24.29,24.29,24.17,24.20,23.95,39207
"Jan 17, 2020",24.29,24.29,24.04,24.16,23.91,25606
"Jan 16, 2020",24.23,24.29,24.20,24.29,24.04,21193
"Jan 15, 2020",24.06,24.29,24.06,24.22,23.97,29638
"Jan 14, 2020",24.02,24.28,23.94,24.11,23.86,26249
"Jan 13, 2020",23.82,24.13,23.82,23.94,23.70,49862
"Jan 10, 2020",23.94,23.94,23.82,23.83,23.59,26583
"Jan 09, 2020",23.69,23.92,23.67,23.84,23.60,37267
"Jan 08, 2020",23.56,23.69,23.55,23.65,23.41,23530
"Jan 07, 2020",23.50,23.64,23.46,23.46,23.22,26320
"Jan 06, 2020",23.49,23.58,23.49,23.53,23.29,23918
"Jan 03, 2020",23.43,23.58,23.43,23.54,23.30,21228
"Jan 02, 2020",23.35,23.59,23.35,23.55,23.31,50898
"Dec 31, 2019",23.25,23.35,23.25,23.33,23.09,14516
"Dec 30, 2019",23.40,23.40,23.21,23.21,22.97,39820
"Dec 27, 2019",23.35,23.45,23.35,23.40,23.16,22326
"Dec 26, 2019",23.53,23.53,23.38,23.39,23.15,13433
"Dec 24, 2019",23.50,23.51,23.45,23.51,23.27,10791
"Dec 23, 2019",23.43,23.53,23.40,23.45,23.21,22077
"Dec 20, 2019",23.45,23.53,23.40,23.43,23.19,29682
"Dec 19, 2019",23.37,23.44,23.35,23.40,23.16,30456
"Dec 18, 2019",23.45,23.45,23.34,23.40,23.16,30011
"Dec 17, 2019",23.33,23.49,23.30,23.43,23.19,38434
"Dec 16, 2019",23.31,23.36,23.29,23.31,23.07,11449
"Dec 13, 2019",23.27,23.37,23.27,23.32,23.08,31066
"Dec 12, 2019",23.27,23.28,23.18,23.26,23.02,14440
"Dec 11, 2019",23.20,23.33,23.20,23.33,23.09,20879
"Dec 10, 2019",23.16,23.27,23.16,23.18,22.94,25620
"Dec 09, 2019",23.35,23.35,23.15,23.15,22.91,18455
"Dec 06, 2019",23.15,23.37,23.14,23.21,22.98,18552
"Dec 05, 2019",23.23,23.40,23.13,23.17,22.93,30049
"Dec 04, 2019",23.29,23.29,23.11,23.18,22.94,22033
"Dec 03, 2019",23.15,23.24,23.07,23.23,22.99,30844
"Dec 02, 2019",23.20,23.22,23.04,23.15,22.91,20278
"Nov 29, 2019",23.25,23.25,23.14,23.14,22.90,17388
"Nov 27, 2019",23.29,23.29,23.15,23.24,23.00,12632
"Nov 26, 2019",23.12,23.31,23.12,23.29,23.05,32860
"Nov 25, 2019",23.08,23.16,23.08,23.11,22.87,13793
"Nov 22, 2019",23.04,23.09,23.04,23.05,22.81,11589
"Nov 21, 2019",23.13,23.14,23.09,23.09,22.85,10636
"Nov 20, 2019",23.09,23.10,23.05,23.09,22.85,12428
"Nov 19, 2019",23.12,23.12,23.06,23.06,22.82,13930
"Nov 18, 2019",23.08,23.10,23.00,23.06,22.82,40845
"Nov 15, 2019",23.00,23.05,22.95,23.03,22.79,22322
"Nov 14, 2019",22.92,23.02,22.88,22.96,22.72,29171
