Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",19.00,19.05,18.70,18.91,18.91,25433
"Apr 02, 2020",18.50,19.31,18.50,19.00,19.00,38283
"Apr 01, 2020",19.80,19.83,18.66,18.66,18.66,35025
"Mar 31, 2020",20.40,20.50,19.98,20.15,20.15,16461
"Mar 30, 2020",20.13,20.44,19.97,20.40,20.40,14156
"Mar 27, 2020",20.25,20.54,19.85,20.26,20.26,19573
"Mar 26, 2020",20.00,21.12,20.00,21.12,21.12,41830
"Mar 25, 2020",18.09,20.79,18.09,19.75,19.75,53030
"Mar 24, 2020",17.16,19.37,17.16,18.09,18.09,67730
"Mar 23, 2020",17.81,17.81,15.95,16.66,16.66,99001
"Mar 20, 2020",17.63,18.57,17.00,17.50,17.50,72170
"Mar 19, 2020",16.83,17.95,16.10,17.42,17.42,107219
"Mar 18, 2020",18.80,19.03,16.48,17.33,17.33,109178
"Mar 17, 2020",19.52,19.96,18.97,18.97,18.97,82703
"Mar 16, 2020",20.16,20.59,19.51,19.66,19.66,33378
"Mar 13, 2020",20.81,21.30,20.51,21.15,21.15,41046
"Mar 12, 2020",21.25,21.25,19.96,20.57,20.57,118734
"Mar 11, 2020",22.75,22.89,21.91,22.00,22.00,51729
"Mar 10, 2020",23.26,23.49,22.82,23.00,23.00,22422
"Mar 09, 2020",23.19,23.76,22.79,22.98,22.98,44218
"Mar 06, 2020",23.90,24.37,23.89,24.15,24.15,20580
"Mar 05, 2020",24.61,24.74,24.23,24.44,24.44,16173
"Mar 04, 2020",24.57,24.78,24.38,24.75,24.75,28697
"Mar 03, 2020",23.80,24.60,23.80,24.38,24.38,58691
"Mar 02, 2020",23.50,23.84,23.31,23.76,23.76,26471
"Feb 28, 2020",23.04,23.50,23.04,23.21,23.21,81433
"Feb 27, 2020",23.50,23.59,23.11,23.35,23.35,47168
"Feb 26, 2020",23.49,23.86,23.49,23.81,23.81,41259
"Feb 25, 2020",24.45,24.48,23.51,23.60,23.60,72846
"Feb 24, 2020",24.49,24.69,24.42,24.45,24.45,25160
"Feb 21, 2020",24.77,24.87,24.55,24.59,24.59,28185
"Feb 20, 2020",24.72,24.72,24.56,24.65,24.65,23190
"Feb 19, 2020",24.84,24.88,24.52,24.52,24.52,25738
"Feb 18, 2020",24.82,24.90,24.65,24.80,24.80,28337
"Feb 14, 2020",24.80,24.96,24.80,24.88,24.88,22072
"Feb 13, 2020",24.76,24.85,24.76,24.79,24.79,15515
"Feb 12, 2020",24.78,24.85,24.75,24.85,24.85,8811
"Feb 11, 2020",24.83,24.85,24.71,24.80,24.80,15689
"Feb 10, 2020",24.75,24.85,24.66,24.83,24.83,26185
"Feb 07, 2020",24.72,24.81,24.64,24.79,24.79,31949
"Feb 06, 2020",24.67,24.74,24.62,24.73,24.73,33102
"Feb 05, 2020",24.75,24.75,24.70,24.75,24.75,14599
"Feb 04, 2020",24.61,24.80,24.61,24.75,24.75,22179
"Feb 03, 2020",24.62,24.79,24.45,24.74,24.74,55080
"Jan 31, 2020",24.57,24.78,24.50,24.73,24.73,126067
"Jan 30, 2020",24.48,24.57,24.26,24.57,24.57,52477
"Jan 30, 2020",0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend,0.25556 Dividend
"Jan 29, 2020",24.37,24.70,24.37,24.70,24.44,19959
"Jan 28, 2020",24.34,24.45,24.27,24.44,24.19,20090
"Jan 27, 2020",24.27,24.36,24.20,24.31,24.05,17830
"Jan 24, 2020",24.28,24.34,24.22,24.33,24.08,31571
"Jan 23, 2020",24.22,24.32,24.16,24.26,24.01,25573
"Jan 22, 2020",24.27,24.38,24.20,24.25,24.00,33178
"Jan 21, 2020",24.30,24.45,24.30,24.38,24.13,34534
"Jan 17, 2020",24.55,24.65,24.26,24.32,24.07,19709
"Jan 16, 2020",24.66,24.70,24.45,24.55,24.30,33358
"Jan 15, 2020",24.63,24.64,24.50,24.64,24.39,12110
"Jan 14, 2020",24.51,24.63,24.51,24.63,24.38,18206
"Jan 13, 2020",24.43,24.65,24.43,24.56,24.31,20322
"Jan 10, 2020",24.40,24.55,24.36,24.49,24.24,21242
"Jan 09, 2020",24.30,24.52,24.30,24.47,24.22,32792
"Jan 08, 2020",24.36,24.56,24.35,24.40,24.15,36201
"Jan 07, 2020",24.38,24.58,24.26,24.26,24.01,21174
"Jan 06, 2020",24.39,24.51,24.31,24.45,24.20,31636
"Jan 03, 2020",24.30,24.46,24.30,24.35,24.10,23554
"Jan 02, 2020",24.03,24.40,24.02,24.28,24.03,29765
"Dec 31, 2019",24.12,24.28,24.02,24.07,23.82,33824
"Dec 30, 2019",24.32,24.32,24.11,24.20,23.95,26427
"Dec 27, 2019",24.41,24.41,24.28,24.34,24.09,19973
"Dec 26, 2019",24.68,24.69,24.35,24.39,24.14,35013
"Dec 24, 2019",24.48,24.75,24.48,24.72,24.47,11414
"Dec 23, 2019",24.40,24.83,24.40,24.67,24.41,23560
"Dec 20, 2019",24.42,24.52,24.25,24.52,24.26,17548
"Dec 19, 2019",24.16,24.31,24.16,24.27,24.01,25224
"Dec 18, 2019",24.03,24.22,24.03,24.22,23.97,10423
"Dec 17, 2019",24.00,24.19,24.00,24.03,23.78,27054
