Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",268700.00,270205.00,263242.00,267954.00,267954.00,300
"Apr 02, 2020",262131.00,271475.00,261895.00,271475.00,271475.00,900
"Apr 01, 2020",265900.00,267850.00,261180.00,261250.00,261250.00,900
"Mar 31, 2020",272636.00,279140.00,270845.00,272000.00,272000.00,500
"Mar 30, 2020",269410.00,276000.00,267020.00,274021.00,274021.00,400
"Mar 27, 2020",267600.00,276363.00,265337.00,268126.00,268126.00,600
"Mar 26, 2020",270800.00,277163.00,269500.00,276095.00,276095.00,800
"Mar 25, 2020",269200.00,283325.00,262710.00,270759.00,270759.00,1000
"Mar 24, 2020",255226.00,268500.00,254500.00,267090.00,267090.00,1200
"Mar 23, 2020",249000.00,250000.00,239440.00,240000.00,240000.00,1300
"Mar 20, 2020",265000.00,265000.00,251000.00,257346.00,257346.00,1200
"Mar 19, 2020",251100.00,264440.00,250000.00,261690.00,261690.00,1100
"Mar 18, 2020",266000.00,270874.00,251101.00,256300.00,256300.00,1500
"Mar 17, 2020",275000.00,280619.00,268000.00,280248.00,280248.00,1200
"Mar 16, 2020",260000.00,283480.00,260000.00,268000.00,268000.00,700
"Mar 13, 2020",283500.00,295972.00,270210.00,289000.00,289000.00,1100
"Mar 12, 2020",276550.00,282000.00,266800.00,272000.00,272000.00,1900
"Mar 11, 2020",296550.00,297473.00,290400.00,292130.00,292130.00,600
"Mar 10, 2020",301950.00,304199.00,293500.00,303561.00,303561.00,700
"Mar 09, 2020",292300.00,298670.00,290000.00,290005.00,290005.00,1100
"Mar 06, 2020",309000.00,311258.00,304767.00,310894.00,310894.00,500
"Mar 05, 2020",318605.00,318605.00,311250.00,315000.00,315000.00,400
"Mar 04, 2020",321000.00,327246.00,314607.00,326125.00,326125.00,400
"Mar 03, 2020",322550.00,327000.00,310000.00,313914.00,313914.00,400
"Mar 02, 2020",314000.00,327937.00,308100.00,324500.00,324500.00,500
"Feb 28, 2020",304000.00,310337.00,300750.00,309096.00,309096.00,700
"Feb 27, 2020",320480.00,322292.00,312501.00,312619.00,312619.00,500
"Feb 26, 2020",328200.00,330603.00,324301.00,324301.00,324301.00,400
"Feb 25, 2020",333195.00,335000.00,325900.00,328000.00,328000.00,600
"Feb 24, 2020",335000.00,336163.00,330940.00,333190.00,333190.00,700
"Feb 21, 2020",341850.00,344975.00,340600.00,343449.00,343449.00,200
"Feb 20, 2020",343750.00,344642.00,340965.00,342122.00,342122.00,300
"Feb 19, 2020",340656.00,344428.00,340317.00,344000.00,344000.00,300
"Feb 18, 2020",340224.00,341000.00,338000.00,339745.00,339745.00,200
"Feb 14, 2020",339488.00,340600.00,338437.00,340224.00,340224.00,100
"Feb 13, 2020",340500.00,341048.00,338500.00,338500.00,338500.00,300
"Feb 12, 2020",341900.00,343146.00,340404.00,341000.00,341000.00,200
"Feb 11, 2020",342350.00,342350.00,340461.00,340780.00,340780.00,200
"Feb 10, 2020",340904.00,341078.00,338000.00,340361.00,340361.00,200
"Feb 07, 2020",342000.00,342775.00,340345.00,340900.00,340900.00,200
"Feb 06, 2020",344290.00,345000.00,343070.00,344081.00,344081.00,200
"Feb 05, 2020",340400.00,342910.00,340359.00,342615.00,342615.00,300
"Feb 04, 2020",339220.00,340296.00,337280.00,337421.00,337421.00,200
"Feb 03, 2020",338160.00,339450.00,334580.00,334860.00,334860.00,200
"Jan 31, 2020",339855.00,339855.00,335120.00,335996.00,335996.00,300
"Jan 30, 2020",334360.00,342000.00,334360.00,342000.00,342000.00,200
"Jan 29, 2020",336250.00,339400.00,336250.00,336476.00,336476.00,100
"Jan 28, 2020",335600.00,338000.00,335032.00,336000.00,336000.00,200
"Jan 27, 2020",334450.00,335450.00,332000.00,333621.00,333621.00,500
"Jan 24, 2020",342850.00,343520.00,339139.00,340199.00,340199.00,300
"Jan 23, 2020",343596.00,344600.00,341150.00,344414.00,344414.00,200
"Jan 22, 2020",343100.00,345500.00,342680.00,344700.00,344700.00,200
"Jan 21, 2020",345000.00,346700.00,342185.00,342650.00,342650.00,300
"Jan 17, 2020",345000.00,347400.00,344550.00,344970.00,344970.00,200
"Jan 16, 2020",343155.00,345000.00,342806.00,344505.00,344505.00,200
"Jan 15, 2020",340450.00,342950.00,340450.00,342550.00,342550.00,100
"Jan 14, 2020",341101.00,342500.00,340490.00,340706.00,340706.00,200
"Jan 13, 2020",340600.00,342855.00,339560.00,342855.00,342855.00,200
"Jan 10, 2020",342796.00,342850.00,340000.00,340185.00,340185.00,100
"Jan 09, 2020",341100.00,343263.00,340800.00,343263.00,343263.00,300
"Jan 08, 2020",339450.00,341580.00,338850.00,339188.00,339188.00,200
"Jan 07, 2020",340000.00,340000.00,338200.00,338901.00,338901.00,300
"Jan 06, 2020",337750.00,340340.00,337100.00,340210.00,340210.00,300
"Jan 03, 2020",338207.00,341040.00,337755.00,339155.00,339155.00,200
"Jan 02, 2020",341150.00,342261.00,340065.00,342261.00,342261.00,400
"Dec 31, 2019",338750.00,340000.00,337920.00,339590.00,339590.00,100
"Dec 30, 2019",339000.00,339960.00,337025.00,338750.00,338750.00,300
"Dec 27, 2019",339600.00,340550.00,338340.00,338920.00,338920.00,200
"Dec 26, 2019",339725.00,339725.00,338439.00,339650.00,339650.00,100
"Dec 24, 2019",337920.00,338390.00,337649.00,338390.00,338390.00,100
"Dec 23, 2019",339000.00,339850.00,337633.00,338045.00,338045.00,200
"Dec 20, 2019",340219.00,341755.00,338567.00,339850.00,339850.00,300
"Dec 19, 2019",337320.00,338499.00,336065.00,337491.00,337491.00,500
"Dec 18, 2019",340250.00,340646.00,337400.00,337500.00,337500.00,200
"Dec 17, 2019",340807.00,342250.00,339000.00,339000.00,339000.00,300
"Dec 16, 2019",339850.00,341785.00,339313.00,340380.00,340380.00,300
"Dec 13, 2019",337754.00,339704.00,336000.00,338080.00,338080.00,200
"Dec 12, 2019",334330.00,339770.00,334330.00,338800.00,338800.00,600
"Dec 11, 2019",331424.00,333900.00,331424.00,333600.00,333600.00,300
"Dec 10, 2019",331904.00,333005.00,330670.00,332120.00,332120.00,500
"Dec 09, 2019",333640.00,334998.00,331770.00,331904.00,331904.00,200
"Dec 06, 2019",332870.00,334460.00,332600.00,333640.00,333640.00,400
"Dec 05, 2019",328200.00,329799.00,327500.00,329799.00,329799.00,200
"Dec 04, 2019",326782.00,328100.00,326780.00,327501.00,327501.00,200
"Dec 03, 2019",327600.00,328000.00,324900.00,327539.00,327539.00,200
"Dec 02, 2019",330802.00,332008.00,330374.00,330609.00,330609.00,300
"Nov 29, 2019",330424.00,330880.00,329705.00,330495.00,330495.00,300
"Nov 27, 2019",328875.00,330910.00,327720.00,330685.00,330685.00,300
"Nov 26, 2019",328301.00,328794.00,326780.00,328402.00,328402.00,200
"Nov 25, 2019",328000.00,328900.00,327521.00,328301.00,328301.00,200
"Nov 22, 2019",325695.00,326975.00,325305.00,326962.00,326962.00,100
"Nov 21, 2019",326000.00,326703.00,324580.00,325102.00,325102.00,200
"Nov 20, 2019",327600.00,327770.00,324200.00,326712.00,326712.00,300
"Nov 19, 2019",329860.00,329900.00,328315.00,328601.00,328601.00,300
"Nov 18, 2019",330000.00,330500.00,327800.00,329225.00,329225.00,200
"Nov 15, 2019",329400.00,330269.00,328455.00,329405.00,329405.00,300
"Nov 14, 2019",329500.00,329892.00,327120.00,329302.00,329302.00,200
"Nov 13, 2019",329150.00,330025.00,328240.00,329402.00,329402.00,200
"Nov 12, 2019",331850.00,333171.00,330950.00,331106.00,331106.00,100
"Nov 11, 2019",330380.00,331650.00,330380.00,330986.00,330986.00,100
