Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",178.59,180.22,175.44,178.34,178.34,6643700
"Apr 02, 2020",175.00,180.31,174.23,179.73,179.73,7271900
"Apr 01, 2020",176.18,178.67,174.19,175.95,175.95,8682700
"Mar 31, 2020",182.05,186.17,180.57,182.83,182.83,8996800
"Mar 30, 2020",180.04,184.11,178.00,183.18,183.18,7672600
"Mar 27, 2020",178.50,184.24,176.72,179.66,179.66,10259500
"Mar 26, 2020",181.29,184.96,179.59,183.90,183.90,14131400
"Mar 25, 2020",180.01,189.07,175.17,180.47,180.47,13851200
"Mar 24, 2020",170.91,179.14,169.53,178.20,178.20,14075100
"Mar 23, 2020",165.30,166.69,159.50,162.13,162.13,16501500
"Mar 20, 2020",176.30,177.18,167.29,170.06,170.06,15213600
"Mar 19, 2020",170.21,176.18,166.00,174.68,174.68,12488100
"Mar 18, 2020",177.29,181.39,167.00,172.44,172.44,16669300
"Mar 17, 2020",181.88,187.81,177.00,187.60,187.60,15072400
"Mar 16, 2020",174.00,188.38,173.62,177.77,177.77,14168600
"Mar 13, 2020",187.45,196.50,178.41,196.40,196.40,14859100
"Mar 12, 2020",183.60,187.67,175.00,175.97,175.97,22293800
"Mar 11, 2020",197.32,198.13,192.87,194.64,194.64,9573900
"Mar 10, 2020",201.35,202.86,195.05,202.73,202.73,10929200
"Mar 09, 2020",195.00,198.48,192.26,193.13,193.13,13950500
"Mar 06, 2020",203.48,207.41,202.35,205.98,205.98,9443500
"Mar 05, 2020",212.55,212.75,207.01,208.96,208.96,8112700
"Mar 04, 2020",212.14,218.34,209.26,217.86,217.86,7408700
"Mar 03, 2020",217.39,218.15,206.20,208.81,208.81,10716100
"Mar 02, 2020",207.25,218.80,204.43,217.63,217.63,10395800
"Feb 28, 2020",201.92,206.44,199.68,206.34,206.34,15147200
"Feb 27, 2020",212.90,214.38,207.28,207.67,207.67,10941800
"Feb 26, 2020",219.65,220.63,215.94,216.06,216.06,6901700
"Feb 25, 2020",222.20,223.24,216.76,218.05,218.05,8558600
"Feb 24, 2020",221.31,223.94,220.27,221.69,221.69,7932400
"Feb 21, 2020",227.53,230.07,226.98,229.33,229.33,4699100
"Feb 20, 2020",229.76,229.79,227.15,228.17,228.17,3547700
"Feb 19, 2020",227.68,229.71,226.93,229.24,229.24,3187000
"Feb 18, 2020",226.39,227.38,225.27,226.77,226.77,3153000
"Feb 14, 2020",226.49,227.14,225.52,226.80,226.80,2506200
"Feb 13, 2020",226.53,227.40,226.10,226.47,226.47,2838500
"Feb 12, 2020",227.60,228.84,226.91,227.44,227.44,3785200
"Feb 11, 2020",228.59,228.59,227.02,227.33,227.33,2916400
"Feb 10, 2020",227.17,227.75,225.13,227.11,227.11,2944600
"Feb 07, 2020",228.07,228.62,226.67,227.38,227.38,2882800
"Feb 06, 2020",229.56,230.08,228.53,229.61,229.61,2799400
"Feb 05, 2020",226.91,228.68,226.75,228.65,228.65,3360500
"Feb 04, 2020",226.15,226.94,224.79,225.08,225.08,3642600
"Feb 03, 2020",225.48,226.32,223.00,223.47,223.47,3525000
"Jan 31, 2020",226.49,226.97,223.43,224.43,224.43,3948200
"Jan 30, 2020",223.11,228.08,222.48,227.88,227.88,3350900
"Jan 29, 2020",224.75,226.40,224.31,224.50,224.50,2310400
"Jan 28, 2020",223.44,225.35,223.16,224.03,224.03,3609300
"Jan 27, 2020",223.70,223.90,221.11,222.45,222.45,5454000
"Jan 24, 2020",229.40,229.41,226.04,226.86,226.86,4022500
"Jan 23, 2020",229.43,229.77,227.35,229.38,229.38,4750000
"Jan 22, 2020",229.00,230.38,228.41,229.54,229.54,3164300
"Jan 21, 2020",229.85,231.13,227.95,228.63,228.63,5840700
"Jan 17, 2020",230.13,231.61,229.55,230.20,230.20,6603800
"Jan 16, 2020",229.34,230.03,228.52,229.73,229.73,3036400
"Jan 15, 2020",226.80,228.64,226.78,228.35,228.35,2662500
"Jan 14, 2020",227.85,228.39,226.88,227.17,227.17,3355400
"Jan 13, 2020",227.05,228.47,226.13,228.45,228.45,3286700
"Jan 10, 2020",228.50,228.53,226.59,226.62,226.62,2572900
"Jan 09, 2020",226.92,228.85,226.92,228.65,228.65,3497300
"Jan 08, 2020",226.03,227.84,225.87,225.99,225.99,3780300
"Jan 07, 2020",227.26,227.26,225.44,225.92,225.92,3517000
"Jan 06, 2020",224.99,227.13,224.70,226.99,226.99,4263000
"Jan 03, 2020",225.69,227.43,225.48,226.18,226.18,3023900
"Jan 02, 2020",227.51,228.39,226.71,228.39,228.39,3764000
"Dec 31, 2019",226.16,226.72,225.14,226.50,226.50,3145200
"Dec 30, 2019",226.14,226.60,224.67,225.76,225.76,2769700
"Dec 27, 2019",226.86,226.97,225.57,226.14,226.14,2769400
"Dec 26, 2019",225.92,226.51,225.64,226.45,226.45,1725700
"Dec 24, 2019",225.24,225.65,224.88,225.47,225.47,961100
"Dec 23, 2019",226.61,226.67,224.93,225.48,225.48,3504100
"Dec 20, 2019",226.24,227.80,225.56,226.31,226.31,11572200
"Dec 19, 2019",224.66,225.66,224.16,225.21,225.21,4432600
"Dec 18, 2019",227.06,227.20,224.89,225.01,225.01,5962300
"Dec 17, 2019",227.27,228.23,226.55,227.05,227.05,4867400
"Dec 16, 2019",226.77,227.81,226.29,226.85,226.85,4278800
"Dec 13, 2019",225.92,226.50,223.96,225.37,225.37,3160500
"Dec 12, 2019",222.88,226.52,222.53,225.92,225.92,5121900
"Dec 11, 2019",221.21,222.65,221.01,222.57,222.57,3546600
"Dec 10, 2019",222.07,222.07,220.21,221.26,221.26,2688900
"Dec 09, 2019",222.71,223.30,221.19,221.38,221.38,2601000
"Dec 06, 2019",221.64,223.00,221.33,222.61,222.61,3447700
"Dec 05, 2019",218.99,219.75,218.05,219.60,219.60,2319300
"Dec 04, 2019",217.95,218.88,217.54,218.40,218.40,2667700
"Dec 03, 2019",218.82,218.90,216.40,218.08,218.08,4480100
"Dec 02, 2019",220.60,221.38,220.11,220.33,220.33,3888100
"Nov 29, 2019",220.50,220.58,219.83,220.30,220.30,2256500
"Nov 27, 2019",219.25,220.59,218.48,220.50,220.50,3945500
"Nov 26, 2019",219.11,219.20,217.72,218.90,218.90,3717800
"Nov 25, 2019",218.74,219.39,218.26,219.06,219.06,3648500
"Nov 22, 2019",216.96,217.99,216.80,217.96,217.96,2392800
"Nov 21, 2019",217.30,217.71,216.30,216.63,216.63,3707600
"Nov 20, 2019",218.01,218.37,216.01,217.48,217.48,4966000
"Nov 19, 2019",219.93,220.00,218.78,219.03,219.03,3378100
"Nov 18, 2019",219.95,220.05,218.39,219.35,219.35,3894200
"Nov 15, 2019",220.18,220.43,218.74,219.74,219.74,3477000
"Nov 14, 2019",219.77,219.87,217.91,219.36,219.36,2831200
"Nov 13, 2019",219.72,220.27,218.61,219.77,219.77,3190700
"Nov 12, 2019",220.98,222.19,220.54,220.89,220.89,2657700
"Nov 11, 2019",220.20,221.09,219.87,220.85,220.85,2380400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
