Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.70,25.90,25.60,25.84,25.84,216458
"Apr 02, 2020",25.51,25.84,25.41,25.81,25.81,420697
"Apr 01, 2020",25.75,25.86,25.35,25.72,25.72,392263
"Mar 31, 2020",26.24,26.37,26.06,26.15,26.15,337842
"Mar 30, 2020",25.99,26.31,25.51,26.19,26.19,191295
"Mar 27, 2020",25.87,26.09,25.53,25.95,25.95,234452
"Mar 26, 2020",25.58,26.28,25.50,26.25,26.25,506071
"Mar 25, 2020",25.19,26.42,25.10,25.58,25.58,587693
"Mar 24, 2020",24.60,25.34,24.35,25.09,25.09,758502
"Mar 23, 2020",24.19,24.41,22.45,23.76,23.76,805506
"Mar 20, 2020",25.07,25.45,24.10,24.10,24.10,676139
"Mar 19, 2020",23.63,25.48,22.80,24.55,24.55,733531
"Mar 18, 2020",25.20,25.40,23.11,24.41,24.41,1009099
"Mar 17, 2020",25.21,25.76,25.00,25.66,25.66,554303
"Mar 16, 2020",25.55,25.95,25.10,25.15,25.15,720158
"Mar 13, 2020",26.25,26.74,25.88,26.74,26.74,335828
"Mar 12, 2020",26.20,26.54,25.53,26.03,26.03,798070
"Mar 11, 2020",26.98,26.98,26.65,26.92,26.92,354637
"Mar 10, 2020",27.06,27.19,26.75,27.10,27.10,252554
"Mar 09, 2020",26.90,27.17,26.43,26.83,26.83,464366
"Mar 06, 2020",27.60,27.85,27.33,27.50,27.50,212307
"Mar 05, 2020",27.72,27.93,27.71,27.79,27.79,187784
"Mar 04, 2020",27.64,27.98,27.57,27.96,27.96,265647
"Mar 03, 2020",27.43,27.80,27.35,27.46,27.46,431390
"Mar 02, 2020",26.86,27.42,26.86,27.38,27.38,355596
"Feb 28, 2020",26.89,26.94,26.61,26.74,26.74,522812
"Feb 27, 2020",27.17,27.21,26.86,27.07,27.07,308712
"Feb 26, 2020",27.13,27.33,27.11,27.29,27.29,790216
"Feb 25, 2020",27.63,27.63,27.00,27.13,27.13,491822
"Feb 24, 2020",27.56,27.64,27.40,27.54,27.54,436124
"Feb 21, 2020",27.80,27.80,27.70,27.74,27.74,104642
"Feb 20, 2020",27.75,27.84,27.71,27.80,27.80,126966
"Feb 19, 2020",27.84,27.88,27.67,27.70,27.70,125701
"Feb 18, 2020",27.82,27.87,27.81,27.84,27.84,111438
"Feb 14, 2020",27.81,27.84,27.76,27.83,27.83,117447
"Feb 13, 2020",27.86,27.86,27.73,27.77,27.77,277349
"Feb 12, 2020",27.96,27.98,27.80,27.80,27.80,139740
"Feb 11, 2020",27.97,28.03,27.91,27.96,27.96,156938
"Feb 10, 2020",27.95,28.04,27.93,27.96,27.96,176605
"Feb 07, 2020",27.84,27.97,27.79,27.93,27.93,140309
"Feb 06, 2020",27.81,27.84,27.74,27.83,27.83,95132
"Feb 05, 2020",27.93,27.93,27.72,27.80,27.80,313240
"Feb 04, 2020",27.92,27.98,27.88,27.91,27.91,263318
"Feb 03, 2020",27.83,27.92,27.74,27.92,27.92,133513
"Jan 31, 2020",27.81,27.88,27.77,27.83,27.83,184604
"Jan 30, 2020",27.65,27.81,27.58,27.81,27.81,422668
"Jan 30, 2020",0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend
"Jan 29, 2020",27.97,28.05,27.93,28.00,27.63,186889
"Jan 28, 2020",27.98,27.98,27.84,27.96,27.59,377580
"Jan 27, 2020",27.86,27.97,27.82,27.93,27.56,136625
"Jan 24, 2020",28.08,28.16,27.92,27.98,27.61,229715
"Jan 23, 2020",27.93,28.10,27.88,28.10,27.72,352419
"Jan 22, 2020",28.00,28.05,27.83,27.91,27.54,457142
"Jan 21, 2020",28.33,28.39,27.92,27.98,27.61,733618
"Jan 17, 2020",28.52,28.56,28.20,28.33,27.95,537343
"Jan 16, 2020",28.58,28.73,28.50,28.71,28.33,147492
"Jan 15, 2020",28.52,28.63,28.48,28.58,28.20,137865
"Jan 14, 2020",28.54,28.59,28.45,28.59,28.21,101768
"Jan 13, 2020",28.47,28.53,28.41,28.53,28.15,131769
"Jan 10, 2020",28.45,28.48,28.41,28.45,28.07,111584
"Jan 09, 2020",28.54,28.54,28.38,28.47,28.09,86998
"Jan 08, 2020",28.36,28.55,28.36,28.49,28.11,92161
"Jan 07, 2020",28.54,28.54,28.35,28.40,28.02,74945
"Jan 06, 2020",28.65,28.66,28.54,28.54,28.16,131276
"Jan 03, 2020",28.50,28.75,28.47,28.60,28.22,125483
"Jan 02, 2020",28.15,28.52,28.15,28.50,28.12,101152
"Dec 31, 2019",28.21,28.32,28.14,28.14,27.76,89193
"Dec 30, 2019",28.29,28.29,28.21,28.25,27.87,65681
"Dec 27, 2019",28.36,28.36,28.23,28.29,27.91,75805
"Dec 26, 2019",28.33,28.33,28.20,28.33,27.95,27870
"Dec 24, 2019",28.25,28.33,28.16,28.32,27.94,20467
"Dec 23, 2019",28.15,28.26,28.10,28.24,27.86,70346
"Dec 20, 2019",28.14,28.17,28.07,28.12,27.74,45707
"Dec 19, 2019",28.08,28.19,28.03,28.14,27.76,56425
"Dec 18, 2019",28.07,28.10,27.96,28.05,27.67,95041
"Dec 17, 2019",28.04,28.14,27.95,28.02,27.64,81918
"Dec 16, 2019",28.00,28.04,27.86,28.04,27.66,57497
"Dec 13, 2019",27.86,27.99,27.71,27.99,27.62,96013
"Dec 12, 2019",27.77,27.86,27.65,27.86,27.49,134596
"Dec 11, 2019",27.65,27.84,27.65,27.81,27.44,84145
"Dec 10, 2019",27.60,27.66,27.55,27.65,27.28,103775
"Dec 09, 2019",27.69,27.72,27.59,27.59,27.22,73108
"Dec 06, 2019",27.67,27.71,27.52,27.67,27.30,63516
"Dec 05, 2019",27.77,27.77,27.55,27.70,27.33,121399
"Dec 04, 2019",27.77,27.84,25.26,27.75,27.38,197351
"Dec 03, 2019",27.45,27.74,27.45,27.69,27.32,245906
"Dec 02, 2019",27.70,27.70,27.41,27.45,27.08,150263
"Nov 29, 2019",27.81,27.85,27.66,27.66,27.29,218819
"Nov 27, 2019",27.92,27.94,27.77,27.77,27.40,91228
"Nov 26, 2019",27.91,27.93,27.78,27.92,27.55,116664
"Nov 25, 2019",27.95,27.95,27.87,27.87,27.50,36043
"Nov 22, 2019",27.93,28.01,27.86,27.90,27.53,40314
"Nov 21, 2019",27.88,27.93,27.79,27.93,27.56,44550
"Nov 20, 2019",27.84,27.88,27.76,27.86,27.49,53002
"Nov 19, 2019",27.85,27.95,27.76,27.79,27.42,66449
"Nov 18, 2019",27.94,27.97,27.85,27.85,27.48,65672
"Nov 15, 2019",27.84,27.99,27.84,27.88,27.51,57776
"Nov 14, 2019",27.86,27.94,27.85,27.90,27.53,67149
"Nov 13, 2019",27.84,27.85,27.75,27.84,27.47,71168
"Nov 12, 2019",27.79,27.82,27.72,27.79,27.42,91809
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
