Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",155.56,157.72,150.60,151.85,151.85,11990600
"Apr 02, 2020",152.53,158.35,151.29,157.39,157.39,14051100
"Apr 01, 2020",156.32,158.07,151.42,153.11,153.11,12595200
"Mar 31, 2020",166.43,168.19,160.54,161.12,161.12,20613100
"Mar 30, 2020",161.04,165.87,160.69,165.57,165.57,15714500
"Mar 27, 2020",161.08,167.10,158.15,161.56,161.56,14950700
"Mar 26, 2020",162.08,169.53,161.79,168.88,168.88,17062900
"Mar 25, 2020",159.32,168.18,153.58,161.78,161.78,20619600
"Mar 24, 2020",144.84,155.25,143.58,154.53,154.53,24488300
"Mar 23, 2020",141.33,143.35,133.93,135.74,135.74,30344100
"Mar 20, 2020",154.82,158.26,145.67,146.83,146.83,18692100
"Mar 19, 2020",146.92,157.25,141.47,152.25,152.25,19362800
"Mar 18, 2020",148.46,150.68,139.80,148.48,148.48,22787500
"Mar 17, 2020",155.75,163.70,149.25,157.89,157.89,22298000
"Mar 16, 2020",151.14,165.31,147.98,152.01,152.01,23692000
"Mar 13, 2020",168.72,176.32,162.21,175.83,175.83,19948900
"Mar 12, 2020",158.50,172.00,156.99,160.08,160.08,27467700
"Mar 11, 2020",177.65,178.73,170.20,172.95,172.95,14598200
"Mar 10, 2020",179.47,182.61,171.88,182.60,182.60,16119400
"Mar 09, 2020",171.21,179.57,168.31,171.13,171.13,20486400
"Mar 06, 2020",183.54,185.99,179.98,184.36,184.36,15183200
"Mar 05, 2020",191.24,191.92,185.64,186.96,186.96,10106900
"Mar 04, 2020",190.36,194.49,186.17,194.29,194.29,10789100
"Mar 03, 2020",193.20,194.04,184.50,185.73,185.73,15226400
"Mar 02, 2020",186.32,192.44,183.10,192.33,192.33,17434500
"Feb 28, 2020",173.79,182.33,172.98,181.76,181.76,22674700
"Feb 27, 2020",182.12,186.34,180.00,180.01,180.01,17536600
"Feb 26, 2020",190.00,193.51,187.03,187.21,187.21,14214700
"Feb 25, 2020",198.79,199.89,187.72,188.40,188.40,18539000
"Feb 24, 2020",197.89,203.77,194.01,198.79,198.79,13316800
"Feb 21, 2020",209.90,210.22,207.42,208.81,208.81,9231500
"Feb 20, 2020",212.13,213.69,208.28,211.45,211.45,8531900
"Feb 19, 2020",212.52,214.17,211.72,213.31,213.31,5927500
"Feb 18, 2020",210.00,211.50,209.36,211.20,211.20,7651500
"Feb 14, 2020",208.29,210.78,208.01,210.29,210.29,6548800
"Feb 13, 2020",206.62,208.47,206.05,207.40,207.40,9495300
"Feb 13, 2020",0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend
"Feb 12, 2020",205.00,208.15,205.00,207.44,207.14,7355800
"Feb 11, 2020",207.50,207.67,203.64,203.94,203.65,10231900
"Feb 10, 2020",201.97,206.13,201.86,205.99,205.69,6239500
"Feb 07, 2020",201.98,203.83,201.09,202.74,202.45,5691100
"Feb 06, 2020",203.05,204.63,202.48,203.04,202.75,7001200
"Feb 05, 2020",205.50,205.60,199.95,202.81,202.52,8672400
"Feb 04, 2020",203.50,204.92,202.23,203.56,203.27,10205900
"Feb 03, 2020",199.94,202.26,199.85,200.81,200.52,10887900
"Jan 31, 2020",201.49,203.98,198.26,198.97,198.68,16699600
"Jan 30, 2020",204.00,208.50,203.32,208.21,207.91,8571900
"Jan 29, 2020",204.30,205.92,202.51,204.86,204.56,7041700
"Jan 28, 2020",202.39,203.84,201.78,202.85,202.56,7215700
"Jan 27, 2020",200.00,203.33,199.10,201.69,201.40,7198900
"Jan 24, 2020",207.42,207.99,204.21,205.00,204.70,7812900
"Jan 23, 2020",207.90,208.40,205.30,206.52,206.22,8520800
"Jan 22, 2020",207.51,210.13,207.29,207.90,207.60,8065000
"Jan 21, 2020",204.13,208.39,203.80,207.29,206.99,14861700
"Jan 17, 2020",201.76,204.75,199.98,204.70,204.40,12518900
"Jan 16, 2020",201.00,201.50,199.78,200.95,200.66,9983700
"Jan 15, 2020",197.00,200.15,196.32,199.80,199.51,10831100
"Jan 14, 2020",196.74,196.95,195.14,196.05,195.77,6236500
"Jan 13, 2020",194.44,195.60,194.28,195.33,195.05,11290500
"Jan 10, 2020",193.50,194.57,193.11,193.77,193.49,6586400
"Jan 09, 2020",193.00,193.92,192.52,193.25,192.97,6748000
"Jan 08, 2020",189.49,192.50,188.80,191.92,191.64,5712000
"Jan 07, 2020",189.59,190.10,188.60,188.69,188.42,4392300
"Jan 06, 2020",188.00,189.21,187.16,189.19,188.92,10109500
"Jan 03, 2020",188.41,190.96,187.92,189.60,189.33,4899700
"Jan 02, 2020",189.00,191.14,188.72,191.12,190.84,8733000
"Dec 31, 2019",187.06,188.00,186.54,187.90,187.63,5273000
"Dec 30, 2019",189.31,189.48,187.12,187.83,187.56,4833600
"Dec 27, 2019",189.74,189.89,188.47,189.39,189.12,5448600
"Dec 26, 2019",187.89,189.18,187.70,189.16,188.89,5237000
"Dec 24, 2019",187.10,188.02,186.91,187.57,187.30,2420900
"Dec 23, 2019",188.15,188.41,187.00,187.08,186.81,5831700
"Dec 20, 2019",187.60,188.17,186.30,188.00,187.73,11259500
"Dec 19, 2019",184.50,186.58,184.50,186.54,186.27,5854200
"Dec 18, 2019",185.52,186.44,184.90,184.90,184.63,8968500
"Dec 17, 2019",186.50,186.78,184.10,185.52,185.25,10208700
"Dec 16, 2019",186.33,186.82,185.77,186.24,185.97,8249900
"Dec 13, 2019",182.50,185.52,182.04,185.14,184.87,8558100
"Dec 12, 2019",181.66,183.33,180.83,182.64,182.38,11192100
"Dec 11, 2019",183.07,183.08,181.19,182.01,181.75,7138800
"Dec 10, 2019",182.55,183.15,181.90,182.26,182.00,8625700
"Dec 09, 2019",181.90,183.26,181.30,182.92,182.66,10233100
"Dec 06, 2019",182.74,183.28,181.34,182.17,181.91,14526700
"Dec 05, 2019",181.25,182.03,180.07,181.89,181.63,4638600
"Dec 04, 2019",182.66,182.66,180.47,180.60,180.34,10650400
"Dec 03, 2019",179.90,182.14,179.66,181.90,181.64,4543300
"Dec 02, 2019",184.24,184.37,179.87,181.79,181.53,6883200
"Nov 29, 2019",183.93,184.85,183.36,184.51,184.24,3139100
"Nov 27, 2019",183.00,184.54,182.26,184.37,184.10,11452700
"Nov 26, 2019",181.46,182.92,181.21,182.55,182.29,7079000
"Nov 25, 2019",180.40,181.35,180.11,180.97,180.71,5457800
"Nov 22, 2019",180.13,180.47,178.35,179.47,179.21,6865600
"Nov 21, 2019",181.17,181.81,179.32,179.89,179.63,5112200
"Nov 20, 2019",182.31,183.22,180.35,181.66,181.40,6040500
"Nov 19, 2019",180.39,182.98,180.20,182.77,182.51,8549900
"Nov 18, 2019",179.57,180.32,178.98,179.66,179.40,7173700
"Nov 15, 2019",180.03,180.68,179.08,179.77,179.51,7808800
"Nov 14, 2019",179.00,179.77,178.06,179.75,179.49,9811000
"Nov 14, 2019",0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend
"Nov 13, 2019",179.40,180.88,177.90,179.41,178.85,6138300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
