Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1208.50,1214.99,1200.00,1205.00,1205.00,6331
"Apr 02, 2020",1195.23,1225.00,1195.01,1208.00,1208.00,7485
"Apr 01, 2020",1244.00,1244.00,1199.69,1200.50,1200.50,17215
"Mar 31, 2020",1260.00,1287.96,1250.00,1274.02,1274.02,14080
"Mar 30, 2020",1252.15,1270.00,1242.00,1270.00,1270.00,6633
"Mar 27, 2020",1258.98,1258.98,1225.00,1246.00,1246.00,9724
"Mar 26, 2020",1287.00,1350.00,1251.00,1265.00,1265.00,28999
"Mar 25, 2020",1165.50,1299.99,1165.50,1275.55,1275.55,20134
"Mar 24, 2020",1100.00,1154.99,1090.51,1139.00,1139.00,30008
"Mar 23, 2020",1100.20,1100.20,1045.00,1061.00,1061.00,20943
"Mar 20, 2020",1139.40,1150.00,1100.00,1100.00,1100.00,25535
"Mar 19, 2020",1071.98,1130.00,1030.00,1090.01,1090.01,45584
"Mar 18, 2020",1210.00,1221.81,1012.10,1070.00,1070.00,26006
"Mar 17, 2020",1242.00,1242.00,1205.00,1238.00,1238.00,16648
"Mar 16, 2020",1249.90,1250.00,1201.00,1202.00,1202.00,32945
"Mar 13, 2020",1296.98,1339.98,1290.00,1290.00,1290.00,30348
"Mar 12, 2020",1426.25,1426.25,1259.94,1259.94,1259.94,28211
"Mar 11, 2020",1480.00,1480.00,1437.00,1468.21,1468.21,13362
"Mar 10, 2020",1513.36,1513.36,1481.12,1491.88,1491.88,7644
"Mar 09, 2020",1500.00,1510.01,1490.00,1505.00,1505.00,19520
"Mar 06, 2020",1517.25,1537.22,1517.25,1530.15,1530.15,23516
"Mar 05, 2020",1534.50,1534.50,1527.30,1530.00,1530.00,14415
"Mar 04, 2020",1520.41,1540.10,1520.41,1540.00,1540.00,19946
"Mar 03, 2020",1510.00,1521.38,1508.15,1520.00,1520.00,4970
"Mar 02, 2020",1507.01,1528.33,1502.00,1512.21,1512.21,9339
"Feb 28, 2020",1494.02,1509.49,1480.00,1505.00,1505.00,28054
"Feb 27, 2020",1515.00,1517.00,1490.00,1502.01,1502.01,16662
"Feb 27, 2020",18.75 Dividend,18.75 Dividend,18.75 Dividend,18.75 Dividend,18.75 Dividend,18.75 Dividend
"Feb 26, 2020",1532.00,1537.30,1530.06,1535.01,1516.26,13023
"Feb 25, 2020",1551.00,1554.27,1535.25,1538.38,1519.59,6475
"Feb 24, 2020",1560.00,1575.18,1550.00,1550.00,1531.07,10328
"Feb 21, 2020",1550.10,1560.00,1550.10,1560.00,1540.94,4715
"Feb 20, 2020",1549.93,1550.90,1549.93,1550.90,1531.96,1340
"Feb 19, 2020",1544.89,1547.00,1543.00,1543.00,1524.15,4932
"Feb 18, 2020",1543.89,1543.89,1543.89,1543.89,1525.03,-
"Feb 14, 2020",1535.00,1543.89,1534.95,1543.89,1525.03,6681
"Feb 13, 2020",1537.50,1537.50,1534.01,1534.95,1516.20,10675
"Feb 12, 2020",1537.50,1539.50,1537.50,1538.00,1519.21,4685
"Feb 11, 2020",1540.20,1540.20,1540.20,1540.20,1521.39,-
"Feb 10, 2020",1538.01,1542.00,1535.63,1540.20,1521.39,3543
"Feb 07, 2020",1529.50,1537.00,1529.50,1535.50,1516.74,1997
"Feb 06, 2020",1527.50,1531.00,1526.05,1526.15,1507.51,15441
"Feb 05, 2020",1538.02,1538.24,1525.00,1526.25,1507.61,17197
"Feb 04, 2020",1545.00,1545.00,1540.20,1541.35,1522.52,6145
"Feb 03, 2020",1548.01,1548.01,1545.00,1545.00,1526.13,3425
"Jan 31, 2020",1550.00,1554.00,1545.00,1545.56,1526.68,40164
"Jan 30, 2020",1550.00,1554.80,1547.51,1549.50,1530.57,11687
"Jan 29, 2020",1544.02,1558.00,1544.02,1549.22,1530.30,16702
"Jan 28, 2020",1539.15,1554.00,1538.44,1551.00,1532.05,18201
"Jan 27, 2020",1525.25,1545.00,1525.25,1543.85,1524.99,3075
"Jan 24, 2020",1522.00,1530.00,1520.00,1530.00,1511.31,3852
"Jan 23, 2020",1512.25,1529.97,1510.21,1518.01,1499.47,16362
"Jan 22, 2020",1502.00,1508.97,1502.00,1508.97,1490.54,3901
"Jan 21, 2020",1499.96,1508.32,1497.00,1508.32,1489.90,4882
"Jan 17, 2020",1500.00,1503.00,1499.96,1500.00,1481.68,8275
"Jan 16, 2020",1499.00,1500.00,1499.00,1500.00,1481.68,3797
"Jan 15, 2020",1497.95,1503.00,1495.25,1497.68,1479.39,12310
"Jan 14, 2020",1490.00,1496.79,1488.03,1496.79,1478.51,11586
"Jan 13, 2020",1483.00,1496.22,1483.00,1490.00,1471.80,5089
"Jan 10, 2020",1481.80,1484.49,1478.00,1478.00,1459.95,4629
"Jan 09, 2020",1478.00,1481.00,1477.00,1481.00,1462.91,5472
"Jan 08, 2020",1474.00,1480.07,1471.26,1480.00,1461.92,16602
"Jan 07, 2020",1466.98,1474.81,1465.42,1473.50,1455.50,3820
"Jan 06, 2020",1459.50,1467.47,1457.01,1467.47,1449.54,10493
"Jan 03, 2020",1452.80,1457.68,1452.80,1457.00,1439.20,4851
"Jan 02, 2020",1452.00,1458.19,1448.26,1452.51,1434.77,13938
"Dec 31, 2019",1451.01,1452.00,1444.51,1450.00,1432.29,17447
"Dec 30, 2019",1455.99,1465.24,1448.00,1451.23,1433.50,11135
"Dec 27, 2019",1452.00,1454.21,1448.50,1454.21,1436.45,4468
"Dec 26, 2019",1449.00,1452.05,1448.07,1452.05,1434.31,3108
"Dec 24, 2019",1446.15,1447.00,1446.15,1447.00,1429.33,2092
"Dec 23, 2019",1447.00,1448.00,1446.00,1446.15,1428.49,4861
"Dec 20, 2019",1443.04,1446.00,1443.04,1445.50,1427.84,6226
"Dec 19, 2019",1447.34,1449.00,1443.40,1444.00,1426.36,7252
"Dec 18, 2019",1447.00,1449.00,1447.00,1449.00,1431.30,2829
