Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.52,22.53,22.17,22.53,22.53,53178
"Apr 02, 2020",22.67,22.67,21.79,22.54,22.54,97229
"Apr 01, 2020",22.98,23.07,22.51,22.80,22.80,79768
"Mar 31, 2020",22.97,23.46,22.97,23.45,23.45,90294
"Mar 30, 2020",23.09,23.25,22.60,23.04,23.04,69392
"Mar 27, 2020",22.68,23.36,22.67,23.08,23.08,96262
"Mar 26, 2020",23.47,24.12,23.07,23.65,23.65,136626
"Mar 25, 2020",21.64,23.75,21.17,22.84,22.84,146272
"Mar 24, 2020",19.63,21.12,19.63,20.91,20.91,119648
"Mar 23, 2020",20.09,20.22,18.50,19.00,19.00,147596
"Mar 20, 2020",21.37,22.03,20.59,20.83,20.83,129125
"Mar 19, 2020",18.31,21.87,17.84,21.40,21.40,162032
"Mar 18, 2020",21.99,22.14,17.51,18.96,18.96,206167
"Mar 17, 2020",22.11,22.60,22.11,22.39,22.39,122755
"Mar 16, 2020",23.16,23.24,22.00,22.05,22.05,150761
"Mar 13, 2020",23.70,23.98,23.24,23.71,23.71,101363
"Mar 12, 2020",24.45,24.50,23.25,23.25,23.25,156910
"Mar 11, 2020",24.95,24.99,24.82,24.88,24.88,153128
"Mar 10, 2020",24.95,25.15,24.85,25.08,25.08,77446
"Mar 09, 2020",24.85,25.07,24.29,24.75,24.75,233479
"Mar 06, 2020",25.32,25.32,25.08,25.24,25.24,68879
"Mar 05, 2020",25.30,25.48,25.30,25.46,25.46,27156
"Mar 04, 2020",25.39,25.55,25.39,25.55,25.55,34570
"Mar 03, 2020",25.29,25.52,25.21,25.34,25.34,68703
"Mar 02, 2020",25.07,25.32,25.00,25.30,25.30,57834
"Feb 28, 2020",24.92,25.08,24.79,24.92,24.92,251107
"Feb 27, 2020",25.05,25.10,24.95,25.08,25.08,233826
"Feb 27, 2020",0.325 Dividend,0.325 Dividend,0.325 Dividend,0.325 Dividend,0.325 Dividend,0.325 Dividend
"Feb 26, 2020",25.28,25.40,25.28,25.37,25.05,83221
"Feb 25, 2020",25.47,25.50,25.26,25.35,25.03,67449
"Feb 24, 2020",25.49,25.55,25.45,25.50,25.17,54341
"Feb 21, 2020",25.56,25.58,25.55,25.58,25.25,36340
"Feb 20, 2020",25.55,25.61,25.55,25.55,25.23,59408
"Feb 19, 2020",25.59,25.60,25.49,25.49,25.16,123770
"Feb 18, 2020",25.55,25.59,25.55,25.59,25.26,12545
"Feb 14, 2020",25.51,25.58,25.51,25.57,25.24,14835
"Feb 13, 2020",25.48,25.54,25.48,25.51,25.18,26950
"Feb 12, 2020",25.50,25.57,25.50,25.50,25.17,24225
"Feb 11, 2020",25.53,25.53,25.45,25.50,25.17,29854
"Feb 10, 2020",25.46,25.51,25.45,25.51,25.18,26201
"Feb 07, 2020",25.46,25.51,25.42,25.45,25.12,90074
"Feb 06, 2020",25.54,25.54,25.46,25.46,25.13,114738
"Feb 05, 2020",25.46,25.53,25.46,25.53,25.20,27428
"Feb 04, 2020",25.43,25.49,25.43,25.49,25.16,20859
