Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.10,22.10,21.58,21.98,21.98,55923
"Apr 02, 2020",22.04,22.23,21.50,22.00,22.00,153234
"Apr 01, 2020",22.55,22.55,21.85,22.29,22.29,109628
"Mar 31, 2020",22.38,22.98,22.38,22.95,22.95,91533
"Mar 30, 2020",22.72,22.85,22.10,22.45,22.45,78485
"Mar 27, 2020",23.00,23.11,22.41,22.55,22.55,78658
"Mar 26, 2020",22.72,23.85,22.62,23.34,23.34,94601
"Mar 25, 2020",20.83,23.32,20.81,22.55,22.55,151794
"Mar 24, 2020",20.49,21.55,19.83,20.68,20.68,92965
"Mar 23, 2020",20.12,20.15,17.46,18.80,18.80,212495
"Mar 20, 2020",21.80,21.88,20.43,20.55,20.55,119472
"Mar 19, 2020",18.57,21.23,17.80,21.01,21.01,150439
"Mar 18, 2020",21.87,21.97,17.60,18.87,18.87,189677
"Mar 17, 2020",22.12,22.66,21.81,22.20,22.20,180170
"Mar 16, 2020",23.00,23.40,21.98,21.98,21.98,122293
"Mar 13, 2020",23.75,23.96,23.11,23.78,23.78,79759
"Mar 12, 2020",24.25,24.45,23.00,23.11,23.11,162831
"Mar 11, 2020",24.94,24.94,24.76,24.87,24.87,108862
"Mar 10, 2020",24.92,25.08,24.87,25.08,25.08,125299
"Mar 09, 2020",24.60,24.84,24.34,24.80,24.80,150587
"Mar 06, 2020",25.10,25.20,24.99,25.02,25.02,66264
"Mar 05, 2020",25.29,25.33,25.20,25.22,25.22,43089
"Mar 04, 2020",25.22,25.38,25.22,25.38,25.38,33527
"Mar 03, 2020",25.00,25.30,25.00,25.18,25.18,67361
"Mar 02, 2020",24.90,25.14,24.83,25.03,25.03,98335
"Feb 28, 2020",24.86,24.90,24.65,24.65,24.65,314777
"Feb 27, 2020",24.99,25.09,24.86,24.97,24.97,246380
"Feb 27, 2020",0.32031 Dividend,0.32031 Dividend,0.32031 Dividend,0.32031 Dividend,0.32031 Dividend,0.32031 Dividend
"Feb 26, 2020",25.21,25.29,25.19,25.27,24.95,74771
"Feb 25, 2020",25.37,25.37,25.12,25.19,24.87,92272
"Feb 24, 2020",25.40,25.44,25.32,25.32,25.00,81592
"Feb 21, 2020",25.49,25.50,25.48,25.49,25.17,38612
