Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.42,22.47,22.05,22.26,22.26,47333
"Apr 02, 2020",22.41,22.65,21.83,22.36,22.36,98806
"Apr 01, 2020",22.99,22.99,22.49,22.63,22.63,63084
"Mar 31, 2020",22.86,23.47,22.86,23.25,23.25,77351
"Mar 30, 2020",23.02,23.14,22.52,23.05,23.05,61831
"Mar 27, 2020",22.68,23.40,22.56,23.09,23.09,61667
"Mar 26, 2020",22.81,24.20,22.76,23.52,23.52,100878
"Mar 25, 2020",21.18,23.73,21.17,22.81,22.81,117863
"Mar 24, 2020",20.76,21.08,20.60,20.93,20.93,99765
"Mar 23, 2020",20.50,20.50,18.36,19.05,19.05,217275
"Mar 20, 2020",21.12,21.71,20.28,20.74,20.74,88290
"Mar 19, 2020",17.77,21.24,17.76,21.16,21.16,149488
"Mar 18, 2020",22.10,22.21,18.04,18.58,18.58,155334
"Mar 17, 2020",22.13,22.76,22.01,22.44,22.44,96317
"Mar 16, 2020",23.05,23.16,21.83,22.09,22.09,104635
"Mar 13, 2020",23.58,24.00,23.36,23.85,23.85,65098
"Mar 12, 2020",24.50,24.50,23.03,23.09,23.09,107383
"Mar 11, 2020",24.94,24.99,24.79,24.89,24.89,145407
"Mar 10, 2020",24.90,25.13,24.84,25.10,25.10,74465
"Mar 09, 2020",24.75,24.99,24.57,24.67,24.67,136271
"Mar 06, 2020",25.24,25.34,25.03,25.14,25.14,31968
"Mar 05, 2020",25.30,25.43,25.22,25.33,25.33,24340
"Mar 04, 2020",25.31,25.42,25.30,25.41,25.41,12121
"Mar 03, 2020",25.29,25.43,25.22,25.28,25.28,35904
"Mar 02, 2020",24.99,25.32,24.99,25.32,25.32,29227
"Feb 28, 2020",24.75,25.11,24.75,24.90,24.90,205070
"Feb 27, 2020",25.05,25.08,24.98,25.05,25.05,110647
"Feb 27, 2020",0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend
"Feb 26, 2020",25.30,25.44,25.30,25.40,25.07,42008
"Feb 25, 2020",25.43,25.45,25.25,25.29,24.96,57898
"Feb 24, 2020",25.50,25.54,25.41,25.42,25.09,9716
"Feb 21, 2020",25.57,25.60,25.56,25.57,25.24,20178
"Feb 20, 2020",25.57,25.60,25.53,25.57,25.24,24778
"Feb 19, 2020",25.61,25.62,25.52,25.53,25.20,53418
"Feb 18, 2020",25.65,25.67,25.61,25.62,25.29,13109
"Feb 14, 2020",25.63,25.68,25.62,25.63,25.30,16690
"Feb 13, 2020",25.60,25.69,25.60,25.67,25.34,8086
"Feb 12, 2020",25.71,25.72,25.65,25.70,25.37,21123
"Feb 11, 2020",25.67,25.71,25.63,25.71,25.38,32674
"Feb 10, 2020",25.56,25.71,25.56,25.71,25.38,25780
"Feb 07, 2020",25.70,25.70,25.53,25.64,25.31,37971
"Feb 06, 2020",25.57,25.64,25.51,25.64,25.31,57615
"Feb 05, 2020",25.45,25.57,25.45,25.57,25.24,59730
"Feb 04, 2020",25.48,25.50,25.43,25.47,25.14,20787
"Feb 03, 2020",25.45,25.47,25.42,25.47,25.14,11577
"Jan 31, 2020",25.33,25.43,25.32,25.42,25.09,205092
"Jan 30, 2020",25.43,25.43,25.31,25.34,25.01,73657
"Jan 29, 2020",25.38,25.45,25.38,25.44,25.11,17161
"Jan 28, 2020",25.42,25.45,25.38,25.38,25.05,17049
"Jan 27, 2020",25.46,25.48,25.40,25.42,25.09,28740
"Jan 24, 2020",25.40,25.54,25.40,25.50,25.17,45922
"Jan 23, 2020",25.48,25.48,25.38,25.41,25.08,19892
"Jan 22, 2020",25.54,25.56,25.48,25.48,25.15,19058
"Jan 21, 2020",25.48,25.61,25.47,25.52,25.19,30719
"Jan 17, 2020",25.62,25.63,25.55,25.59,25.26,42215
"Jan 16, 2020",25.66,25.70,25.63,25.66,25.33,34774
"Jan 15, 2020",25.70,25.75,25.65,25.74,25.41,62310
"Jan 14, 2020",25.72,25.77,25.71,25.77,25.44,17217
"Jan 13, 2020",25.70,25.77,25.70,25.77,25.44,41775
"Jan 10, 2020",25.64,25.70,25.61,25.70,25.37,44999
"Jan 09, 2020",25.61,25.65,25.59,25.62,25.29,35647
"Jan 08, 2020",25.56,25.60,25.54,25.60,25.27,32501
"Jan 07, 2020",25.58,25.59,25.51,25.53,25.20,20008
"Jan 06, 2020",25.56,25.65,25.51,25.52,25.19,18207
"Jan 03, 2020",25.53,25.59,25.51,25.56,25.23,28207
"Jan 02, 2020",25.46,25.59,25.38,25.59,25.26,44097
"Dec 31, 2019",25.30,25.47,25.30,25.47,25.14,65473
"Dec 30, 2019",25.32,25.38,25.29,25.38,25.05,24992
"Dec 27, 2019",25.33,25.37,25.30,25.31,24.98,13868
"Dec 26, 2019",25.31,25.37,25.30,25.31,24.98,22830
"Dec 24, 2019",25.30,25.32,25.29,25.31,24.98,10875
"Dec 23, 2019",25.28,25.31,25.28,25.31,24.98,15121
"Dec 20, 2019",25.26,25.31,25.25,25.30,24.98,24768
"Dec 19, 2019",25.24,25.27,25.23,25.25,24.92,30684
"Dec 18, 2019",25.25,25.26,25.20,25.24,24.91,106230
"Dec 17, 2019",25.25,25.28,25.25,25.27,24.94,53022
"Dec 16, 2019",25.25,25.28,25.23,25.27,24.94,75503
"Dec 13, 2019",25.20,25.24,25.20,25.22,24.89,24657
"Dec 12, 2019",25.22,25.25,25.19,25.21,24.88,37346
"Dec 11, 2019",25.20,25.25,25.19,25.24,24.91,18391
"Dec 10, 2019",25.21,25.22,25.17,25.22,24.89,28932
"Dec 09, 2019",25.20,25.21,25.17,25.18,24.85,20276
"Dec 06, 2019",25.17,25.20,25.16,25.20,24.87,32979
"Dec 05, 2019",25.18,25.18,25.16,25.18,24.85,28649
"Dec 04, 2019",25.19,25.24,25.19,25.19,24.87,44741
"Dec 03, 2019",25.19,25.25,25.16,25.21,24.88,76598
"Dec 02, 2019",25.20,25.24,25.12,25.19,24.86,34744
"Nov 29, 2019",25.13,25.28,25.13,25.25,24.92,48341
"Nov 27, 2019",25.23,25.24,25.16,25.19,24.86,59516
"Nov 27, 2019",0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend,0.32813 Dividend
"Nov 26, 2019",25.38,25.48,25.38,25.45,24.80,41869
"Nov 25, 2019",25.38,25.39,25.35,25.37,24.72,23360
"Nov 22, 2019",25.34,25.38,25.34,25.36,24.71,15237
"Nov 21, 2019",25.38,25.38,25.34,25.34,24.69,24711
"Nov 20, 2019",25.38,25.38,25.35,25.38,24.73,25282
"Nov 19, 2019",25.35,25.38,25.35,25.35,24.70,27507
"Nov 18, 2019",25.41,25.41,25.37,25.39,24.74,20710
"Nov 15, 2019",25.36,25.38,25.36,25.37,24.72,15773
"Nov 14, 2019",25.37,25.43,25.36,25.36,24.71,31547
"Nov 13, 2019",25.36,25.42,25.34,25.36,24.71,23516
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
