Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",23.00,23.11,22.49,22.91,22.91,314064
"Apr 02, 2020",23.54,23.56,22.78,22.97,22.97,398222
"Apr 01, 2020",23.90,24.05,23.20,23.66,23.66,279795
"Mar 31, 2020",23.98,24.49,23.87,24.35,24.35,227859
"Mar 30, 2020",23.65,24.25,23.00,24.04,24.04,247202
"Mar 27, 2020",23.16,23.79,22.76,23.34,23.34,239623
"Mar 26, 2020",22.64,23.95,22.64,23.52,23.52,386092
"Mar 25, 2020",21.50,23.90,21.06,22.39,22.39,273148
"Mar 24, 2020",20.39,22.01,20.09,20.68,20.68,303197
"Mar 23, 2020",20.26,20.61,18.10,18.73,18.73,265164
"Mar 20, 2020",19.57,21.65,19.40,20.50,20.50,390513
"Mar 19, 2020",18.86,20.08,16.08,19.10,19.10,441079
"Mar 18, 2020",22.43,22.47,18.41,18.56,18.56,435001
"Mar 17, 2020",22.02,22.81,21.66,22.70,22.70,371504
"Mar 16, 2020",22.99,23.38,21.50,21.54,21.54,420858
"Mar 13, 2020",24.00,24.59,23.68,24.02,24.02,370887
"Mar 12, 2020",24.59,24.74,23.00,23.62,23.62,437764
"Mar 11, 2020",25.63,25.63,25.06,25.16,25.16,462289
"Mar 10, 2020",25.57,25.90,25.38,25.76,25.76,198836
"Mar 09, 2020",25.88,25.88,25.13,25.27,25.27,297053
"Mar 06, 2020",26.32,26.48,26.07,26.29,26.29,108845
"Mar 05, 2020",26.51,26.69,26.47,26.47,26.47,64687
"Mar 04, 2020",26.53,26.77,26.39,26.70,26.70,151808
"Mar 03, 2020",26.34,26.64,26.17,26.18,26.18,280142
"Mar 02, 2020",25.91,26.20,25.74,26.16,26.16,136828
"Feb 28, 2020",25.91,26.02,25.34,25.69,25.69,514781
"Feb 27, 2020",26.48,26.48,26.02,26.02,26.02,327651
"Feb 27, 2020",0.36563 Dividend,0.36563 Dividend,0.36563 Dividend,0.36563 Dividend,0.36563 Dividend,0.36563 Dividend
"Feb 26, 2020",27.03,27.04,26.63,26.82,26.45,196881
"Feb 25, 2020",27.20,27.21,26.90,26.96,26.59,253434
"Feb 24, 2020",27.19,27.25,27.10,27.15,26.78,195512
"Feb 21, 2020",27.39,27.39,27.27,27.31,26.94,98189
