Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.65,25.78,25.13,25.40,25.40,60623
"Apr 02, 2020",25.50,25.90,25.00,25.78,25.78,74915
"Apr 01, 2020",26.02,26.28,25.51,25.77,25.77,63811
"Mar 31, 2020",25.97,26.55,25.97,26.51,26.51,92509
"Mar 30, 2020",25.75,26.35,25.33,25.98,25.98,77831
"Mar 27, 2020",25.57,26.23,25.57,25.77,25.77,90305
"Mar 26, 2020",25.81,26.66,25.80,26.66,26.66,83923
"Mar 25, 2020",24.50,26.11,23.70,25.26,25.26,165067
"Mar 24, 2020",22.74,24.67,22.74,23.54,23.54,131454
"Mar 23, 2020",23.76,24.01,20.64,22.04,22.04,215283
"Mar 20, 2020",23.81,24.78,23.53,24.04,24.04,172995
"Mar 19, 2020",22.60,24.39,20.01,23.71,23.71,216617
"Mar 18, 2020",24.99,25.00,21.43,22.30,22.30,297646
"Mar 17, 2020",25.01,25.30,24.80,25.01,25.01,233992
"Mar 16, 2020",25.00,25.50,24.75,24.91,24.91,581777
"Mar 13, 2020",26.02,26.22,25.56,26.00,26.00,161297
"Mar 12, 2020",26.25,26.75,25.51,25.56,25.56,294770
"Mar 11, 2020",26.90,27.06,26.69,26.85,26.85,291869
"Mar 10, 2020",26.94,27.36,26.85,27.18,27.18,195966
"Mar 09, 2020",27.44,27.44,25.45,26.66,26.66,122097
"Mar 06, 2020",27.94,28.10,27.65,27.90,27.90,442449
"Mar 05, 2020",28.07,28.41,28.06,28.09,28.09,32496
"Mar 04, 2020",28.29,28.43,28.12,28.40,28.40,44624
"Mar 03, 2020",28.06,29.37,27.94,28.00,28.00,37732
"Mar 02, 2020",27.66,28.00,27.24,28.00,28.00,80468
"Feb 28, 2020",27.12,27.75,27.02,27.43,27.43,209219
"Feb 27, 2020",28.29,28.29,27.82,27.91,27.91,72761
"Feb 27, 2020",0.41406 Dividend,0.41406 Dividend,0.41406 Dividend,0.41406 Dividend,0.41406 Dividend,0.41406 Dividend
"Feb 26, 2020",29.00,29.00,28.55,28.75,28.34,63643
"Feb 25, 2020",29.25,29.25,28.75,28.89,28.47,96928
"Feb 24, 2020",29.14,29.27,29.00,29.01,28.59,41133
"Feb 21, 2020",29.50,29.50,29.24,29.26,28.84,55493
"Feb 20, 2020",29.41,29.48,29.29,29.48,29.06,34458
"Feb 19, 2020",29.52,29.54,29.24,29.24,28.82,61665
"Feb 18, 2020",29.55,29.55,29.47,29.52,29.09,25876
"Feb 14, 2020",29.35,29.56,29.35,29.54,29.11,51214
"Feb 13, 2020",29.33,29.39,29.24,29.38,28.96,47969
"Feb 12, 2020",29.34,29.38,29.22,29.22,28.80,39692
"Feb 11, 2020",29.28,29.42,29.28,29.32,28.90,44219
"Feb 10, 2020",29.29,29.33,29.23,29.28,28.86,29034
"Feb 07, 2020",29.22,29.32,29.20,29.26,28.84,55297
"Feb 06, 2020",29.09,29.23,29.07,29.15,28.73,69432
"Feb 05, 2020",28.90,29.09,28.83,29.09,28.67,71728
"Feb 04, 2020",28.84,28.91,28.80,28.89,28.47,54807
"Feb 03, 2020",28.73,28.85,28.73,28.80,28.39,58325
"Jan 31, 2020",28.65,28.75,28.62,28.73,28.32,284687
