Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.45,25.45,25.16,25.36,25.36,15601
"Apr 02, 2020",25.34,25.40,25.13,25.26,25.26,18867
"Apr 01, 2020",25.30,25.38,25.10,25.37,25.37,65324
"Mar 31, 2020",25.34,25.53,25.34,25.51,25.51,70167
"Mar 30, 2020",25.44,25.45,25.31,25.41,25.41,28702
"Mar 27, 2020",25.26,25.48,25.08,25.36,25.36,35996
"Mar 26, 2020",25.33,25.64,25.31,25.51,25.51,162881
"Mar 25, 2020",24.78,25.46,24.70,25.23,25.23,206457
"Mar 24, 2020",23.90,24.70,23.90,24.53,24.53,91578
"Mar 23, 2020",24.15,24.15,22.51,23.44,23.44,140543
"Mar 20, 2020",24.68,24.70,23.50,24.35,24.35,182374
"Mar 19, 2020",24.70,24.72,23.68,24.40,24.40,186379
"Mar 18, 2020",24.76,25.01,24.28,24.93,24.93,309887
"Mar 17, 2020",24.89,25.34,24.66,25.13,25.13,205486
"Mar 16, 2020",24.87,25.08,24.25,25.00,25.00,240322
"Mar 13, 2020",25.18,25.19,24.98,25.19,25.19,90734
"Mar 12, 2020",24.90,25.24,24.49,25.05,25.05,344193
"Mar 11, 2020",25.29,25.31,25.10,25.22,25.22,29030
"Mar 10, 2020",25.28,25.37,25.09,25.32,25.32,49791
"Mar 09, 2020",25.02,25.28,25.00,25.17,25.17,81621
"Mar 06, 2020",25.33,25.34,25.22,25.30,25.30,25585
"Mar 05, 2020",25.25,25.35,25.25,25.33,25.33,43081
"Mar 04, 2020",25.30,25.37,25.30,25.30,25.30,44440
"Mar 03, 2020",25.30,25.42,25.25,25.29,25.29,202399
"Mar 02, 2020",25.16,25.35,25.16,25.21,25.21,39961
"Feb 28, 2020",25.10,25.24,25.10,25.12,25.12,173709
"Feb 27, 2020",25.25,25.27,25.15,25.24,25.24,72071
"Feb 27, 2020",0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend
"Feb 26, 2020",25.54,25.60,25.54,25.60,25.23,77741
"Feb 25, 2020",25.60,25.63,25.54,25.54,25.17,34859
"Feb 24, 2020",25.59,25.63,25.57,25.60,25.23,25644
"Feb 21, 2020",25.65,25.69,25.64,25.67,25.29,41607
"Feb 20, 2020",25.64,25.71,25.64,25.65,25.27,129653
"Feb 19, 2020",25.70,25.70,25.60,25.64,25.26,157737
"Feb 18, 2020",25.62,25.71,25.62,25.66,25.29,80664
"Feb 14, 2020",25.58,25.69,25.56,25.68,25.30,119568
"Feb 13, 2020",25.50,25.63,25.50,25.59,25.22,166915
"Feb 12, 2020",25.50,25.54,25.46,25.49,25.12,178628
"Feb 11, 2020",25.62,25.68,25.62,25.64,25.26,51906
"Feb 10, 2020",25.59,25.63,25.56,25.62,25.24,51935
"Feb 07, 2020",25.58,25.59,25.55,25.56,25.19,159403
"Feb 06, 2020",25.44,25.60,25.42,25.55,25.18,386906
"Feb 05, 2020",25.44,25.50,25.42,25.44,25.07,207363
"Feb 04, 2020",25.44,25.44,25.38,25.42,25.05,68248
"Feb 03, 2020",25.38,25.48,25.36,25.42,25.05,98515
"Jan 31, 2020",25.37,25.41,25.35,25.35,24.98,300438
"Jan 30, 2020",25.41,25.41,25.37,25.37,25.00,81388
"Jan 29, 2020",25.44,25.44,25.37,25.40,25.03,125063
"Jan 28, 2020",25.42,25.42,25.37,25.37,25.00,54731
"Jan 27, 2020",25.37,25.41,25.37,25.38,25.01,73280
"Jan 24, 2020",25.40,25.40,25.35,25.37,25.00,67879
"Jan 23, 2020",25.45,25.45,25.36,25.39,25.02,56227
"Jan 22, 2020",25.37,25.43,25.36,25.43,25.06,74807
"Jan 21, 2020",25.36,25.41,25.34,25.36,24.99,149948
"Jan 17, 2020",25.42,25.42,25.33,25.40,25.03,154892
"Jan 16, 2020",25.40,25.43,25.38,25.39,25.02,80822
"Jan 15, 2020",25.50,25.50,25.37,25.40,25.03,140172
"Jan 14, 2020",25.55,25.55,25.42,25.55,25.18,147229
"Jan 13, 2020",25.57,25.59,25.50,25.53,25.16,114125
"Jan 10, 2020",25.55,25.57,25.51,25.54,25.17,40072
"Jan 09, 2020",25.55,25.55,25.47,25.50,25.13,59180
"Jan 08, 2020",25.47,25.55,25.47,25.52,25.15,56713
"Jan 07, 2020",25.51,25.52,25.48,25.50,25.13,62383
"Jan 06, 2020",25.48,25.55,25.48,25.51,25.14,49411
"Jan 03, 2020",25.46,25.57,25.46,25.48,25.11,122703
"Jan 02, 2020",25.51,25.57,25.49,25.49,25.12,119363
"Dec 31, 2019",25.47,25.55,25.47,25.47,25.10,115107
"Dec 30, 2019",25.52,25.55,25.46,25.50,25.13,39419
"Dec 27, 2019",25.54,25.58,25.46,25.51,25.14,45031
"Dec 26, 2019",25.58,25.58,25.50,25.53,25.16,14392
"Dec 24, 2019",25.61,25.61,25.51,25.51,25.14,51034
"Dec 23, 2019",25.58,25.62,25.55,25.59,25.22,34791
"Dec 20, 2019",25.50,25.64,25.48,25.59,25.22,246924
"Dec 19, 2019",25.45,25.50,25.44,25.50,25.13,40676
"Dec 18, 2019",25.43,25.47,25.40,25.47,25.10,70806
"Dec 17, 2019",25.36,25.43,25.35,25.43,25.06,36829
"Dec 16, 2019",25.39,25.39,25.34,25.36,24.99,58695
"Dec 13, 2019",25.35,25.35,25.30,25.35,24.98,39905
"Dec 12, 2019",25.30,25.35,25.29,25.35,24.98,37094
"Dec 11, 2019",25.26,25.31,25.26,25.30,24.93,22544
"Dec 10, 2019",25.32,25.32,25.25,25.27,24.90,85524
"Dec 09, 2019",25.30,25.33,25.25,25.28,24.91,125903
"Dec 06, 2019",25.28,25.36,25.28,25.32,24.95,68101
"Dec 05, 2019",25.31,25.35,25.26,25.31,24.94,27428
"Dec 04, 2019",25.35,25.35,25.31,25.31,24.94,23580
"Dec 03, 2019",25.32,25.35,25.30,25.33,24.96,57021
"Dec 02, 2019",25.34,25.34,25.30,25.31,24.94,31169
"Nov 29, 2019",25.32,25.35,25.30,25.30,24.93,40333
"Nov 27, 2019",25.38,25.38,25.31,25.34,24.97,68908
