Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.71,24.80,24.47,24.55,24.55,91074
"Apr 02, 2020",24.65,24.82,24.27,24.73,24.73,125104
"Apr 01, 2020",24.65,24.88,24.56,24.79,24.79,223339
"Mar 31, 2020",24.96,25.25,24.95,25.05,25.05,207773
"Mar 30, 2020",24.75,25.03,24.48,25.01,25.01,251605
"Mar 27, 2020",24.66,24.93,24.57,24.74,24.74,298294
"Mar 26, 2020",24.55,25.14,24.39,24.97,24.97,277412
"Mar 25, 2020",23.50,25.09,23.49,24.55,24.55,191300
"Mar 24, 2020",21.55,23.55,21.55,23.24,23.24,263411
"Mar 23, 2020",22.20,22.20,20.50,20.95,20.95,321490
"Mar 20, 2020",23.48,24.20,22.09,22.64,22.64,160286
"Mar 19, 2020",20.13,24.77,19.21,23.28,23.28,347258
"Mar 18, 2020",24.10,24.49,21.10,22.20,22.20,250400
"Mar 17, 2020",24.81,24.90,24.54,24.80,24.80,232336
"Mar 16, 2020",24.48,25.09,24.08,24.90,24.90,599496
"Mar 13, 2020",25.16,25.24,24.81,25.07,25.07,183040
"Mar 12, 2020",23.90,25.08,23.81,24.94,24.94,272915
"Mar 11, 2020",25.17,25.40,25.16,25.40,25.40,117524
"Mar 10, 2020",25.36,25.43,25.20,25.39,25.39,131365
"Mar 09, 2020",25.15,25.30,25.00,25.16,25.16,116213
"Mar 06, 2020",25.57,25.60,25.44,25.44,25.44,215209
"Mar 05, 2020",25.57,25.71,25.57,25.68,25.68,168038
"Mar 04, 2020",25.68,25.68,25.60,25.65,25.65,43491
"Mar 03, 2020",25.59,26.04,25.55,25.59,25.59,58206
"Mar 02, 2020",25.47,25.64,25.45,25.58,25.58,67816
"Feb 28, 2020",25.49,25.58,25.35,25.44,25.44,233439
"Feb 27, 2020",25.54,25.67,25.41,25.52,25.52,83649
"Feb 27, 2020",0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend,0.375 Dividend
"Feb 26, 2020",25.95,25.99,25.93,25.99,25.61,65932
"Feb 25, 2020",25.99,26.02,25.89,25.93,25.56,126657
"Feb 24, 2020",26.01,26.10,25.87,25.94,25.57,317461
"Feb 21, 2020",26.10,26.13,26.05,26.07,25.69,24749
"Feb 20, 2020",26.06,26.10,26.02,26.10,25.72,30550
"Feb 19, 2020",26.12,26.14,26.00,26.00,25.62,112373
"Feb 18, 2020",26.11,26.14,26.09,26.12,25.74,25065
"Feb 14, 2020",26.09,26.17,26.09,26.10,25.72,41246
"Feb 13, 2020",26.09,26.16,26.09,26.12,25.75,185540
"Feb 12, 2020",26.11,26.11,26.05,26.09,25.71,55952
"Feb 11, 2020",26.13,26.15,26.08,26.12,25.74,32575
"Feb 10, 2020",26.16,26.16,26.09,26.12,25.74,25571
"Feb 07, 2020",26.09,26.16,26.07,26.15,25.77,33271
"Feb 06, 2020",26.05,26.14,26.05,26.13,25.75,121473
"Feb 05, 2020",26.14,26.18,26.05,26.12,25.74,44625
"Feb 04, 2020",26.04,26.12,26.03,26.05,25.67,35894
"Feb 03, 2020",26.02,26.06,26.02,26.06,25.68,30981
"Jan 31, 2020",25.96,26.03,25.95,26.02,25.64,380462
"Jan 30, 2020",26.06,26.06,25.95,25.95,25.58,510042
"Jan 29, 2020",26.03,26.06,26.03,26.05,25.67,55054
