Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.10,24.40,23.77,24.09,24.09,40822
"Apr 02, 2020",24.10,24.22,23.67,24.12,24.12,110029
"Apr 01, 2020",23.94,24.45,23.88,24.41,24.41,154216
"Mar 31, 2020",24.00,24.87,24.00,24.75,24.75,134582
"Mar 30, 2020",24.00,24.28,23.73,24.12,24.12,86888
"Mar 27, 2020",24.41,24.50,23.78,24.15,24.15,132215
"Mar 26, 2020",24.23,25.00,24.06,24.77,24.77,206696
"Mar 25, 2020",22.49,24.75,22.37,24.39,24.39,260525
"Mar 24, 2020",21.09,22.28,21.09,22.25,22.25,193878
"Mar 23, 2020",21.20,21.25,19.43,20.51,20.51,306168
"Mar 20, 2020",21.92,22.88,21.00,21.69,21.69,158535
"Mar 19, 2020",18.00,22.40,17.25,22.01,22.01,310876
"Mar 18, 2020",22.75,23.42,17.93,20.60,20.60,370146
"Mar 17, 2020",23.36,23.69,22.56,23.38,23.38,212598
"Mar 16, 2020",23.60,23.99,23.00,23.25,23.25,204602
"Mar 13, 2020",24.07,24.76,23.35,24.57,24.57,190256
"Mar 12, 2020",24.89,24.89,20.62,23.68,23.68,299494
"Mar 11, 2020",25.30,25.30,25.00,25.16,25.16,88390
"Mar 10, 2020",25.52,25.52,25.09,25.38,25.38,71173
"Mar 09, 2020",25.20,25.34,24.92,25.13,25.13,142371
"Mar 06, 2020",25.65,25.67,25.40,25.47,25.47,244746
"Mar 05, 2020",25.78,25.82,25.70,25.75,25.75,29834
"Mar 04, 2020",25.61,25.87,25.60,25.84,25.84,18074
"Mar 03, 2020",25.66,25.89,25.49,25.64,25.64,35440
"Mar 02, 2020",25.27,25.65,25.25,25.61,25.61,77383
"Feb 28, 2020",25.30,25.44,25.21,25.25,25.25,164570
"Feb 27, 2020",25.55,25.64,25.38,25.62,25.62,135618
"Feb 27, 2020",0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend
"Feb 26, 2020",25.93,26.00,25.93,25.98,25.62,65242
"Feb 25, 2020",26.00,26.13,25.88,26.02,25.66,71658
"Feb 24, 2020",26.01,26.12,25.98,26.00,25.64,55859
"Feb 21, 2020",26.15,26.20,26.11,26.11,25.75,29207
"Feb 20, 2020",26.17,26.21,26.11,26.20,25.84,43385
"Feb 19, 2020",26.22,26.23,26.08,26.08,25.72,51274
"Feb 18, 2020",26.20,26.24,26.20,26.21,25.85,18664
"Feb 14, 2020",26.22,26.26,26.20,26.25,25.89,25331
"Feb 13, 2020",26.08,26.22,26.08,26.21,25.85,23052
"Feb 12, 2020",26.16,26.22,26.12,26.13,25.77,34355
"Feb 11, 2020",26.12,26.20,26.12,26.20,25.84,14925
"Feb 10, 2020",26.13,26.16,26.12,26.12,25.76,19525
"Feb 07, 2020",26.18,26.18,26.11,26.16,25.80,15474
"Feb 06, 2020",26.08,26.20,26.05,26.19,25.83,47111
"Feb 05, 2020",25.99,26.14,25.99,26.13,25.77,61694
"Feb 04, 2020",26.02,26.03,25.96,26.01,25.65,79276
"Feb 03, 2020",25.99,25.99,25.97,25.99,25.63,41272
"Jan 31, 2020",25.94,25.99,25.91,25.94,25.58,305326
"Jan 30, 2020",25.97,26.00,25.90,25.95,25.59,683325
"Jan 29, 2020",26.03,26.03,25.98,25.98,25.62,46755
"Jan 28, 2020",26.08,26.08,25.98,25.98,25.62,72700
"Jan 27, 2020",26.02,26.05,25.97,26.00,25.64,80653
"Jan 24, 2020",26.03,26.08,26.01,26.08,25.72,45285
"Jan 23, 2020",26.04,26.07,26.02,26.02,25.66,44319
"Jan 22, 2020",26.10,26.10,26.02,26.05,25.69,43022
"Jan 21, 2020",26.10,26.10,26.02,26.03,25.67,46233
"Jan 17, 2020",26.03,26.09,26.02,26.09,25.73,51010
"Jan 16, 2020",26.00,26.07,25.99,26.03,25.67,98392
"Jan 15, 2020",26.02,26.06,25.99,26.02,25.66,67102
"Jan 14, 2020",26.07,26.10,26.01,26.03,25.67,168723
"Jan 13, 2020",26.16,26.26,26.04,26.06,25.70,175576
"Jan 10, 2020",26.10,26.26,26.10,26.23,25.87,36053
"Jan 09, 2020",26.18,26.23,26.05,26.15,25.79,43752
"Jan 08, 2020",26.12,26.25,26.12,26.24,25.88,42216
"Jan 07, 2020",26.22,26.22,26.10,26.16,25.80,54589
"Jan 06, 2020",26.12,26.25,26.12,26.24,25.88,32156
"Jan 03, 2020",26.18,26.30,26.11,26.18,25.82,51193
"Jan 02, 2020",26.09,26.22,26.07,26.20,25.84,77781
"Dec 31, 2019",25.90,26.15,25.90,26.15,25.79,119982
"Dec 30, 2019",25.91,25.98,25.91,25.95,25.59,40790
"Dec 27, 2019",25.90,25.97,25.90,25.97,25.61,38410
"Dec 26, 2019",25.91,25.95,25.90,25.92,25.56,16511
"Dec 24, 2019",25.89,25.95,25.89,25.95,25.59,8448
"Dec 23, 2019",25.94,25.96,25.88,25.90,25.54,36098
"Dec 20, 2019",25.89,25.96,25.88,25.88,25.53,17169
"Dec 19, 2019",25.92,25.96,25.88,25.88,25.53,31108
"Dec 18, 2019",25.86,25.98,25.86,25.98,25.62,29925
"Dec 17, 2019",25.88,25.92,25.85,25.88,25.53,59456
"Dec 16, 2019",25.90,25.93,25.83,25.88,25.52,87472
"Dec 13, 2019",25.72,25.83,25.72,25.83,25.48,36492
"Dec 12, 2019",25.84,25.84,25.74,25.80,25.45,40452
"Dec 11, 2019",25.73,25.80,25.73,25.76,25.41,25796
"Dec 10, 2019",25.69,25.78,25.69,25.78,25.43,15593
"Dec 09, 2019",25.68,25.77,25.68,25.72,25.37,50586
"Dec 06, 2019",25.68,25.76,25.63,25.70,25.35,40418
"Dec 05, 2019",25.75,25.75,25.61,25.67,25.32,42659
"Dec 04, 2019",25.66,25.72,25.66,25.70,25.35,42978
"Dec 03, 2019",25.62,25.73,25.62,25.66,25.31,42461
"Dec 02, 2019",25.72,25.78,25.67,25.73,25.38,62125
"Nov 29, 2019",25.65,25.83,25.65,25.77,25.42,40181
"Nov 27, 2019",25.73,25.82,25.73,25.80,25.45,30434
"Nov 27, 2019",0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend,0.35625 Dividend
"Nov 26, 2019",26.05,26.14,26.05,26.06,25.35,37135
"Nov 25, 2019",26.02,26.10,26.02,26.06,25.35,34662
"Nov 22, 2019",26.03,26.10,26.00,26.04,25.33,50525
"Nov 21, 2019",26.06,26.12,26.02,26.02,25.31,30980
"Nov 20, 2019",26.09,26.16,26.04,26.10,25.39,40866
"Nov 19, 2019",26.04,26.10,26.03,26.09,25.38,52537
"Nov 18, 2019",26.13,26.14,26.02,26.03,25.32,50074
"Nov 15, 2019",26.15,26.18,26.12,26.13,25.42,16161
"Nov 14, 2019",26.19,26.20,26.11,26.20,25.49,45911
"Nov 13, 2019",26.11,26.18,26.10,26.13,25.42,31402
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
